eye_file,neural_file,eye_n,neural_n,eye_duration_s,neural_duration_s,duration_diff_s
/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/eye_processed_videos/048_Igloo.csv.gz,/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/fNIRS_processed_videos/S48_Igloo_postprocessed_Epoch01_HbO.csv,312658,3053,312.657,312.5248,0.132200000000068
/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/eye_processed_videos/048_Igloo.csv.gz,/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/fNIRS_processed_videos/S48_Igloo_postprocessed_Epoch01_HbR.csv,312658,3053,312.657,312.5248,0.132199999999841
/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/eye_processed_videos/048_Splitscreen.csv.gz,/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/fNIRS_processed_videos/S48_Splitscreen_postprocessed_Epoch01_HbO.csv,144783,1413,144.782,144.5888,0.193200000000019
/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/eye_processed_videos/048_Splitscreen.csv.gz,/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/fNIRS_processed_videos/S48_Splitscreen_postprocessed_Epoch01_HbR.csv,144783,1413,144.782,144.5888,0.193200000000019
/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/eye_processed_videos/048_Zima.csv.gz,/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/fNIRS_processed_videos/S48_Zima_postprocessed_Epoch01_HbO.csv,506680,4948,506.679,506.5728,0.106199999999944
/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/eye_processed_videos/048_Zima.csv.gz,/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/fNIRS_processed_videos/S48_Zima_postprocessed_Epoch01_HbR.csv,506680,4948,506.679,506.5728,0.106199999999944
/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/eye_processed_videos/05_Splitscreen.csv.gz,/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/fNIRS_processed_videos/S05_Splitscreen_postprocessed_Epoch01_HbO.csv,145261,1418,145.26,145.1008,0.159200000000055
/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/eye_processed_videos/05_Splitscreen.csv.gz,/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/fNIRS_processed_videos/S05_Splitscreen_postprocessed_Epoch01_HbR.csv,145261,1418,145.26,145.1008,0.159199999999828
/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/eye_processed_videos/051_Splitscreen.csv.gz,/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/fNIRS_processed_videos/S51_Splitscreen_postprocessed_Epoch01_HbO.csv,145147,1417,145.146,144.9984,0.147599999999983
/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/eye_processed_videos/051_Splitscreen.csv.gz,/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/fNIRS_processed_videos/S51_Splitscreen_postprocessed_Epoch01_HbR.csv,145147,1417,145.146,144.9984,0.147599999999983
/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/eye_processed_videos/051_Turtles.csv.gz,/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/fNIRS_processed_videos/S51_Turtles_postprocessed_Epoch01_HbO.csv,385441,3764,385.44,385.3312,0.108799999999917
/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/eye_processed_videos/051_Turtles.csv.gz,/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/fNIRS_processed_videos/S51_Turtles_postprocessed_Epoch01_HbR.csv,385441,3764,385.44,385.3312,0.108800000000144
/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/eye_processed_videos/051_Zima.csv.gz,/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/fNIRS_processed_videos/S51_Zima_postprocessed_Epoch01_HbO.csv,508318,4964,508.317,508.2112,0.105799999999988
/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/eye_processed_videos/051_Zima.csv.gz,/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/fNIRS_processed_videos/S51_Zima_postprocessed_Epoch01_HbR.csv,508318,4964,508.317,508.2112,0.105800000000045
/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/eye_processed_videos/06_Splitscreen.csv.gz,/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/fNIRS_processed_videos/S06_Splitscreen_postprocessed_Epoch01_HbO.csv,145300,1419,145.299,145.2032,0.0958000000000823
/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/eye_processed_videos/06_Splitscreen.csv.gz,/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/fNIRS_processed_videos/S06_Splitscreen_postprocessed_Epoch01_HbR.csv,145300,1419,145.299,145.2032,0.0957999999999686
/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/eye_processed_videos/06_Winter.csv.gz,/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/fNIRS_processed_videos/S06_Winter_postprocessed_Epoch01_HbO.csv,319123,3116,319.122,318.976,0.145999999999901
/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/eye_processed_videos/06_Winter.csv.gz,/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/fNIRS_processed_videos/S06_Winter_postprocessed_Epoch01_HbR.csv,319123,3116,319.122,318.976,0.146000000000356
/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/eye_processed_videos/06_Zima.csv.gz,/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/fNIRS_processed_videos/S06_Zima_postprocessed_Epoch01_HbO.csv,508427,4966,508.426,508.416,0.0100000000000477
/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/eye_processed_videos/06_Zima.csv.gz,/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/fNIRS_processed_videos/S06_Zima_postprocessed_Epoch01_HbR.csv,508427,4966,508.426,508.416,0.00999999999982037
/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/eye_processed_videos/07_Hexagons.csv.gz,/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/fNIRS_processed_videos/S07_Hexagons_postprocessed_Epoch01_HbO.csv,375720,3669,375.719,375.6032,0.115799999999979
/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/eye_processed_videos/07_Hexagons.csv.gz,/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/fNIRS_processed_videos/S07_Hexagons_postprocessed_Epoch01_HbR.csv,375720,3669,375.719,375.6032,0.115799999999979
