eye_file,neural_file,eye_n,neural_n,eye_duration_s,neural_duration_s,duration_diff_s
/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/eye_processed_SART/data_preprocessedSART_07_2025_03_12_12_01.csv.gz,/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/fNIRS_processed_SART/hbo_hbr_csv/S7_SART_HbR.csv,307243,3000,307.242,307.0976,0.144400000000417
/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/eye_processed_SART/data_preprocessedSART_08_001_2025_03_12_17_54.csv.gz,/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/fNIRS_processed_SART/hbo_hbr_csv/S8_SART_HbO.csv,290107,2834,290.106,290.0992,0.00679999999988468
/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/eye_processed_SART/data_preprocessedSART_08_001_2025_03_12_17_54.csv.gz,/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/fNIRS_processed_SART/hbo_hbr_csv/S8_SART_HbR.csv,290107,2834,290.106,290.0992,0.00679999999988468
/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/eye_processed_SART/data_preprocessedSART_084_001.csv.gz,/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/fNIRS_processed_SART/hbo_hbr_csv/S84_SART_HbO.csv,295643,2887,295.642,295.5264,0.115599999999802
/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/eye_processed_SART/data_preprocessedSART_084_001.csv.gz,/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/fNIRS_processed_SART/hbo_hbr_csv/S84_SART_HbR.csv,295643,2887,295.642,295.5264,0.115599999999802
/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/eye_processed_SART/data_preprocessedSART_09_001_2025_03_13_19_25.csv.gz,/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/fNIRS_processed_SART/hbo_hbr_csv/S9_SART_HbO.csv,284109,2775,284.108,284.0576,0.0504000000001383
/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/eye_processed_SART/data_preprocessedSART_09_001_2025_03_13_19_25.csv.gz,/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/fNIRS_processed_SART/hbo_hbr_csv/S9_SART_HbR.csv,284109,2775,284.108,284.0576,0.0504000000001383
/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/eye_processed_SART/data_preprocessedSART_100_001.csv.gz,/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/fNIRS_processed_SART/hbo_hbr_csv/S100_SART_HbO.csv,297185,2903,297.184,297.1648,0.0192000000002395
/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/eye_processed_SART/data_preprocessedSART_100_001.csv.gz,/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/fNIRS_processed_SART/hbo_hbr_csv/S100_SART_HbR.csv,297185,2903,297.184,297.1648,0.0192000000002395
/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/eye_processed_SART/data_preprocessedSART_102_001.csv.gz,/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/fNIRS_processed_SART/hbo_hbr_csv/S102_SART_HbO.csv,303655,2965,303.654,303.5136,0.140400000000227
/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/eye_processed_SART/data_preprocessedSART_102_001.csv.gz,/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/fNIRS_processed_SART/hbo_hbr_csv/S102_SART_HbR.csv,303655,2965,303.654,303.5136,0.140400000000227
/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/eye_processed_SART/data_preprocessedSART_103_001.csv.gz,/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/fNIRS_processed_SART/hbo_hbr_csv/S103_SART_HbO.csv,301631,2946,301.63,301.568,0.0619999999997845
/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/eye_processed_SART/data_preprocessedSART_103_001.csv.gz,/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/fNIRS_processed_SART/hbo_hbr_csv/S103_SART_HbR.csv,301631,2946,301.63,301.568,0.0619999999997845
/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/eye_processed_SART/data_preprocessedSART_104_001.csv.gz,/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/fNIRS_processed_SART/hbo_hbr_csv/S104_SART_HbO.csv,290680,2838,290.679,290.5088,0.170199999999909
/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/eye_processed_SART/data_preprocessedSART_104_001.csv.gz,/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/fNIRS_processed_SART/hbo_hbr_csv/S104_SART_HbR.csv,290680,2838,290.679,290.5088,0.170199999999909
/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/eye_processed_SART/data_preprocessedSART_105_001.csv.gz,/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/fNIRS_processed_SART/hbo_hbr_csv/S105_SART_HbO.csv,298662,2916,298.661,298.496,0.164999999999907
/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/eye_processed_SART/data_preprocessedSART_105_001.csv.gz,/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/fNIRS_processed_SART/hbo_hbr_csv/S105_SART_HbR.csv,298662,2916,298.661,298.496,0.164999999999907
/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/eye_processed_SART/data_preprocessedSART_106_001.csv.gz,/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/fNIRS_processed_SART/hbo_hbr_csv/S106_SART_HbO.csv,300801,2938,300.8,300.7488,0.0511999999997101
/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/eye_processed_SART/data_preprocessedSART_106_001.csv.gz,/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/fNIRS_processed_SART/hbo_hbr_csv/S106_SART_HbR.csv,300801,2938,300.8,300.7488,0.0511999999997101
/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/eye_processed_SART/data_preprocessedSART_107_001.csv.gz,/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/fNIRS_processed_SART/hbo_hbr_csv/S107_SART_HbO.csv,299691,2927,299.69,299.6224,0.0675999999997998
/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/eye_processed_SART/data_preprocessedSART_107_001.csv.gz,/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/fNIRS_processed_SART/hbo_hbr_csv/S107_SART_HbR.csv,299691,2927,299.69,299.6224,0.0675999999997998
/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/eye_processed_SART/data_preprocessedSART_108_001.csv.gz,/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/fNIRS_processed_SART/hbo_hbr_csv/S108_SART_HbO.csv,291602,2848,291.601,291.5328,0.0681999999998197
/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/eye_processed_SART/data_preprocessedSART_108_001.csv.gz,/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/fNIRS_processed_SART/hbo_hbr_csv/S108_SART_HbR.csv,291602,2848,291.601,291.5328,0.0681999999998197
/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/eye_processed_SART/data_preprocessedSART_109_001.csv.gz,/Users/evansalvarez/Eye-tracking-Loneliness-Mindwandering-ELM-/data/processed/fNIRS_processed_SART/hbo_hbr_csv/S109_SART_HbO.csv,293291,2863,293.29,293.0688,0.22120000000001
