id,n_samples,prop_interp_psl,prop_interp_psr,prop_interp_xpl,prop_interp_ypl,prop_interp_xpr,prop_interp_ypr,prop_interp_any,prop_na_psl,prop_na_psr,prop_na_xpl,prop_na_ypl,prop_na_xpr,prop_na_ypr,prop_na_any
048_003_2025_07_02_13_49,312658,0.014616609842063852,0.01566248104958133,0.014616609842063852,0.014616609842063852,0.01566248104958133,0.01566248104958133,0.018265964728233407,0.014616609842063852,0.01566248104958133,0.014616609842063852,0.014616609842063852,0.01566248104958133,0.01566248104958133,0.018265964728233407
01_2025_02_14_15_53,325796,0.12067367309604783,0.12033910790801607,0.12067367309604783,0.12067367309604783,0.12033910790801607,0.12033910790801607,0.1284730322042014,0.12067367309604783,0.12033910790801607,0.12067367309604783,0.12067367309604783,0.12033910790801607,0.12033910790801607,0.1284730322042014
10_002_2025_03_14_10_53,145294,0.14617947059066444,0.17506572879816096,0.14617947059066444,0.14617947059066444,0.17506572879816096,0.17506572879816096,0.19586493592302504,0.14617947059066444,0.17506572879816096,0.14617947059066444,0.14617947059066444,0.17506572879816096,0.17506572879816096,0.19586493592302504
084_002_2025_10_06_12_46,145264,0.11615403678819253,0.1490940632228219,0.11615403678819253,0.11615403678819253,0.1490940632228219,0.1490940632228219,0.15436722105958806,0.11615403678819253,0.1490940632228219,0.11615403678819253,0.11615403678819253,0.1490940632228219,0.1490940632228219,0.15436722105958806
100_002_2025_11_19_17_03,145223,0.06526514395102705,0.05682295504155678,0.06526514395102705,0.06526514395102705,0.05682295504155678,0.05682295504155678,0.0681916776268222,0.06526514395102705,0.05682295504155678,0.06526514395102705,0.06526514395102705,0.05682295504155678,0.05682295504155678,0.0681916776268222
101_002_2025_11_24_10_32,144904,0.09846519074697731,0.07082620217523326,0.09846519074697731,0.09846519074697731,0.07082620217523326,0.07082620217523326,0.09867912548997958,0.09846519074697731,0.07082620217523326,0.09846519074697731,0.09846519074697731,0.07082620217523326,0.07082620217523326,0.09867912548997958
01b_2025_02_14_15_34,508456,0.0698231508724452,0.06488860393033026,0.0698231508724452,0.0698231508724452,0.06488860393033026,0.06488860393033026,0.07389823308211527,0.0698231508724452,0.06488860393033026,0.0698231508724452,0.0698231508724452,0.06488860393033026,0.06488860393033026,0.07389823308211527
02_2025_02_26_18_01,375635,0.18300744073369096,0.2192766914691123,0.18300744073369096,0.18300744073369096,0.2192766914691123,0.2192766914691123,0.2307292983880629,0.18300744073369096,0.2192766914691123,0.18300744073369096,0.18300744073369096,0.2192766914691123,0.2192766914691123,0.2307292983880629
102_002_2025_11_24_12_33,144921,0.08559836048605791,0.09277468413825464,0.08559836048605791,0.08559836048605791,0.09277468413825464,0.09277468413825464,0.09376832895163571,0.08559836048605791,0.09277468413825464,0.08559836048605791,0.08559836048605791,0.09277468413825464,0.09277468413825464,0.09376832895163571
05_2025_03_05_17_44,325798,0.2777733442194243,0.23763497627364194,0.2777733442194243,0.2777733442194243,0.23763497627364194,0.23763497627364194,0.27854682963063004,0.2777733442194243,0.23763497627364194,0.2777733442194243,0.2777733442194243,0.23763497627364194,0.23763497627364194,0.27854682963063004
