id,n_samples,prop_interp_psl,prop_interp_psr,prop_interp_xpl,prop_interp_ypl,prop_interp_xpr,prop_interp_ypr,prop_interp_any,prop_na_psl,prop_na_psr,prop_na_xpl,prop_na_ypl,prop_na_xpr,prop_na_ypr,prop_na_any
048_001,299728,0.01681190946458122,0.018356643356643356,0.01681190946458122,0.01681190946458122,0.018356643356643356,0.018356643356643356,0.022720600010676346,0.01681190946458122,0.018356643356643356,0.01681190946458122,0.01681190946458122,0.018356643356643356,0.018356643356643356,0.022720600010676346
03_2025_03_03_17_03,295661,0.013792823537767916,0.016146870909589023,0.013792823537767916,0.013792823537767916,0.016146870909589023,0.016146870909589023,0.017719618076107432,0.013792823537767916,0.016146870909589023,0.013792823537767916,0.013792823537767916,0.016146870909589023,0.016146870909589023,0.017719618076107432
054_001,295932,0.08551288809591392,0.08611099847262209,0.08551288809591392,0.08551288809591392,0.08611099847262209,0.08611099847262209,0.09416014489815228,0.08551288809591392,0.08611099847262209,0.08551288809591392,0.08551288809591392,0.08611099847262209,0.08611099847262209,0.09416014489815228
05_2025_03_05_17_55,289898,0.07122160208073185,0.04910002828581087,0.07122160208073185,0.07122160208073185,0.04910002828581087,0.04910002828581087,0.07579217517885602,0.07122160208073185,0.04910002828581087,0.07122160208073185,0.07122160208073185,0.04910002828581087,0.04910002828581087,0.07579217517885602
103_001,301631,0.06904131206673055,0.06823237664563656,0.06904131206673055,0.06904131206673055,0.06823237664563656,0.06823237664563656,0.07127914571115038,0.06904131206673055,0.06823237664563656,0.06904131206673055,0.06904131206673055,0.06823237664563656,0.06823237664563656,0.07127914571115038
09_001_2025_03_13_19_25,284109,0.030724123487816297,7.461924824627168e-4,0.030724123487816297,0.030724123487816297,7.461924824627168e-4,7.461924824627168e-4,0.030724123487816297,0.030724123487816297,7.461924824627168e-4,0.030724123487816297,0.030724123487816297,7.461924824627168e-4,7.461924824627168e-4,0.030724123487816297
102_001,303655,0.0853797895638142,0.08244883173338163,0.0853797895638142,0.0853797895638142,0.08244883173338163,0.08244883173338163,0.08724374701552749,0.0853797895638142,0.08244883173338163,0.0853797895638142,0.0853797895638142,0.08244883173338163,0.08244883173338163,0.08724374701552749
16_001_2025_04_02_18_44,290578,0.07592797802999539,0.03288961999876109,0.07592797802999539,0.07592797802999539,0.03288961999876109,0.03288961999876109,0.07914570270288873,0.07592797802999539,0.03288961999876109,0.07592797802999539,0.07592797802999539,0.03288961999876109,0.03288961999876109,0.07914570270288873
106_001,300801,0.03231704681832839,0.027313738983580506,0.03231704681832839,0.03231704681832839,0.027313738983580506,0.027313738983580506,0.03414217372947563,0.03231704681832839,0.027313738983580506,0.03231704681832839,0.03231704681832839,0.027313738983580506,0.027313738983580506,0.03414217372947563
07_2025_03_12_12_01,307243,0.04776675139873,0.04473006708045423,0.04776675139873,0.04776675139873,0.04473006708045423,0.04473006708045423,0.05470262951474891,0.04776675139873,0.04473006708045423,0.04776675139873,0.04776675139873,0.04473006708045423,0.04473006708045423,0.05470262951474891
