time,S1-D1,S1-D8,S1-D9,S1-D15,S2-D1,S2-D2,S2-D3,S2-D9,S3-D1,S3-D2,S3-D16,S4-D2,S4-D3,S4-D5,S5-D3,S5-D4,S5-D5,S6-D2,S6-D5,S6-D17,S7-D6,S7-D7,S8-D6,S8-D7,S8-D18,S9-D3,S9-D4,S9-D9,S9-D11,S9-D19,S10-D8,S10-D9,S10-D10,S10-D11,S11-D8,S11-D10,S11-D20,S12-D10,S12-D11,S12-D12,S13-D4,S13-D11,S13-D12,S14-D10,S14-D12,S14-D21,S15-D13,S15-D14,S16-D13,S16-D14,S16-D22,SART_Target,SART_NonTarget,SART_Probe
1662.5664,5.31455313062933e-08,-3.28411576190892e-07,-2.75266044884699e-07,-1.6931859550595e-07,-8.80176956748144e-08,-8.80176956747689e-08,NaN,2.13219753578599e-06,-4.86816478740969e-07,-9.56511693644452e-08,-2.12148626982511e-08,-9.56511693642419e-08,1.16165995565819e-07,-3.08413089262585e-08,8.53246866396707e-08,-7.62364702202731e-09,-4.44442973397192e-08,-5.20679443615707e-08,2.27992634686332e-07,NaN,1.84045941118942e-07,5.89715189528225e-07,5.28076737417416e-07,1.11779192694808e-06,NaN,2.89736824572417e-08,1.80556347977141e-07,3.84517720688052e-08,-3.84517720688119e-08,-4.30045877700163e-08,-7.02042868904063e-08,1.25814783790492e-07,5.56104968999728e-08,NaN,3.38269951770444e-08,1.92369211278121e-07,-6.53820061851937e-07,-2.83224933757443e-07,-2.83224933757999e-07,NaN,1.23317511638912e-08,7.52176046121963e-08,NaN,2.05453960797473e-07,7.51834995374847e-08,-3.33863941996297e-07,-2.12754433370035e-07,-2.12754433369794e-07,3.94018448251569e-07,-1.25664657019289e-06,NaN,0,0,0
1662.6688,-3.5055054216576e-08,-3.15775741167365e-07,-3.50830795384045e-07,-1.97241105195989e-07,-8.80297916727291e-08,-8.80297916726798e-08,NaN,3.19136897149163e-06,-7.99022646161335e-07,-1.0038567710495e-07,-2.30457531688258e-08,-1.0038567710475e-07,1.00414889835838e-07,-2.98179566669307e-08,7.05969331690176e-08,-2.22108999194662e-08,-4.13561405915498e-08,-6.3567040510837e-08,2.11216447485148e-07,NaN,1.66507481032735e-07,3.89600464183669e-07,6.72411934138543e-07,1.06201239832477e-06,NaN,2.47207710670953e-08,1.90556007153376e-07,4.12767137464808e-08,-4.12767137464802e-08,-9.14024602663611e-08,-4.29097093628985e-08,1.13938812085627e-07,7.10291027226127e-08,NaN,3.36201496815997e-08,1.99594643276595e-07,-6.45797949981601e-07,-2.96685732597286e-07,-2.96685732597859e-07,NaN,1.55799078907312e-08,7.85611435490386e-08,NaN,2.07643295746094e-07,7.69995948171632e-08,-3.33942167522848e-07,-2.02954001488321e-07,-2.02954001488078e-07,4.27141425068794e-07,-1.21403196939201e-06,NaN,0,0,0
1662.7712,-1.2704162431216e-07,-3.06004629214744e-07,-4.33046253527012e-07,-2.24094541440658e-07,-8.70127061852838e-08,-8.70127061852308e-08,NaN,4.28803239075003e-06,-1.11411711207142e-06,-1.04880714875209e-07,-2.4280237047556e-08,-1.04880714875012e-07,8.26849781195295e-08,-2.9185075170101e-08,5.34999029495391e-08,-3.80710083129551e-08,-3.79082398580338e-08,-7.59792481708069e-08,1.92822334579951e-07,NaN,1.47842315385749e-07,2.06140026364751e-07,7.71674536876007e-07,9.77814563243419e-07,NaN,1.95064173329362e-08,2.01077563632616e-07,4.18142783046069e-08,-4.18142783045991e-08,-1.36873720195008e-07,-1.67711250060958e-08,1.03066942128354e-07,8.62958171221398e-08,NaN,3.39860972640349e-08,2.07147011399087e-07,-6.37201385945414e-07,-3.08299788534546e-07,-3.08299788535133e-07,NaN,1.90269922497782e-08,8.29796046981704e-08,NaN,2.07723038278481e-07,7.76213991550378e-08,-3.33894327587387e-07,-1.94515116694708e-07,-1.94515116694464e-07,4.54371205132566e-07,-1.16591710259247e-06,NaN,0,1,0
1662.8736,-2.19569454076022e-07,-2.99504530144246e-07,-5.19073984220379e-07,-2.48920991033568e-07,-8.51527058286374e-08,-8.51527058285809e-08,NaN,5.38324520536085e-06,-1.42701714628861e-06,-1.09077266268117e-07,-2.50963897108231e-08,-1.09077266267924e-07,6.33940843375033e-08,-2.88692347433846e-08,3.45248495942295e-08,-5.43773311314659e-08,-3.43734607747921e-08,-8.87507919060733e-08,1.73412412886667e-07,NaN,1.28584311617334e-07,4.40223428770974e-08,8.264854845678e-07,8.7050782744766e-07,NaN,1.35716868180027e-08,2.11392667742502e-07,3.91064808086985e-08,-3.91064808086838e-08,-1.78717558472747e-07,7.20740544190752e-09,9.3474783117539e-08,1.00682188559325e-07,NaN,3.47512234948901e-08,2.14345802859679e-07,-6.28353472783071e-07,-3.1761264467436e-07,-3.17612644674961e-07,NaN,2.24476647929473e-08,8.80254721411765e-08,NaN,2.05792373097035e-07,7.7128185344023e-08,-3.33434482790408e-07,-1.87738931583656e-07,-1.87738931583411e-07,4.72858583386546e-07,-1.11408429362925e-06,NaN,0,1,0
1662.976,-3.09309730152826e-07,-2.96350577941255e-07,-6.05660308094195e-07,-2.71070649020593e-07,-8.27405767363591e-08,-8.27405767362999e-08,NaN,6.44256271477925e-06,-1.73291658322009e-06,-1.12911706443386e-07,-2.5634407222925e-08,-1.12911706443196e-07,4.31448484533966e-08,-2.87965100734536e-08,1.43483383800542e-08,-7.03361836269869e-08,-3.10220494680006e-08,-1.013582330948e-07,1.53663687697492e-07,NaN,1.09292794447233e-07,-9.63755009721737e-08,8.44571659351317e-07,7.48196158382003e-07,NaN,7.23304493798739e-09,2.20850752891454e-07,3.2807212438144e-08,-3.28072124381228e-08,-2.16340304681432e-07,2.83022094829945e-08,8.53328999860986e-08,1.1363510946897e-07,NaN,3.57265954561431e-08,2.20600750687795e-07,-6.19374844621262e-07,-3.24386584990032e-07,-3.24386584990646e-07,NaN,2.56421708579611e-08,9.32842317055587e-08,NaN,2.02109343176185e-07,7.57555955267585e-08,-3.32281853952926e-07,-1.82716353360059e-07,-1.82716353359811e-07,4.81849412461493e-07,-1.06148049339743e-06,NaN,0,1,0
1663.0784,-3.93173865719055e-07,-2.96293343634646e-07,-6.89467209353818e-07,-2.90153214528903e-07,-8.01046215494868e-08,-8.01046215494256e-08,NaN,7.43982294606879e-06,-2.02742092445739e-06,-1.16322997139833e-07,-2.59872435321939e-08,-1.16322997139646e-07,2.2643171030757e-08,-2.88859311612521e-08,-6.2427601303834e-09,-8.52828482492321e-08,-2.80784846930399e-08,-1.13361332942083e-07,1.34250735930747e-07,NaN,9.05056843683043e-08,-2.18361745436006e-07,8.38587298341509e-07,6.20225552908453e-07,NaN,8.44180724768809e-10,2.28951861070792e-07,2.31582682188673e-08,-2.31582682188399e-08,-2.49271781319094e-07,4.61183857221622e-08,7.86967669256508e-08,1.24815152647688e-07,NaN,3.67390330890534e-08,2.25479211583808e-07,-6.10168525381498e-07,-3.28632562504778e-07,-3.28632562505404e-07,NaN,2.84562534754848e-08,9.84144554659111e-08,NaN,1.97071370406769e-07,7.38282337849387e-08,-3.30178874969899e-07,-1.79326476544742e-07,-1.79326476544494e-07,4.82496724971746e-07,-1.01178490580167e-06,NaN,0,0,0
1663.1808,-4.6865265763755e-07,-2.98843096515453e-07,-7.67495754153122e-07,-3.06004030542265e-07,-7.75555050593438e-08,-7.75555050592812e-08,NaN,8.36090139828051e-06,-2.3068025483936e-06,-1.1927258861728e-07,-2.6212795829951e-08,-1.19272588617096e-07,2.58147606437818e-09,-2.90464702469351e-08,-2.64649941824445e-08,-9.87559630749777e-08,-2.56932495787663e-08,-1.24449212653553e-07,1.1576073179974e-07,NaN,7.2683657616748e-08,-3.27562830468143e-07,8.23104608755822e-07,4.95541778290712e-07,NaN,-5.24854091801015e-09,2.3537873942226e-07,1.08496671923286e-08,-1.08496671922955e-08,-2.77230358167213e-07,6.05971654638805e-08,7.35010299618353e-08,1.34098195425589e-07,NaN,3.76503853702638e-08,2.28742472744738e-07,-6.00431305357914e-07,-3.30607934030819e-07,-3.30607934031455e-07,NaN,3.07916413599594e-08,1.0316459247958e-07,NaN,1.91165304169191e-07,7.16787086484972e-08,-3.26937319449565e-07,-1.77280213022121e-07,-1.77280213021871e-07,4.77049874964649e-07,-9.68633966434278e-07,NaN,0,0,0
1663.2832,-5.34078358919224e-07,-3.03393496578931e-07,-8.37471855498272e-07,-3.18685664810459e-07,-7.53485575839937e-08,-7.53485575839303e-08,NaN,9.20536915086074e-06,-2.56813820726619e-06,-1.2177823041777e-07,-2.63532080916707e-08,-1.21778230417588e-07,-1.64920442290717e-08,-2.91837095360503e-08,-4.56757537650085e-08,-1.10549756992112e-07,-2.39309162210906e-08,-1.3448067321301e-07,9.86162510806625e-08,NaN,5.61527691953977e-08,-4.30284057368786e-07,8.11901978164628e-07,3.81617920798952e-07,NaN,-1.07415950114299e-08,2.39986229182868e-07,-3.16719751184419e-09,3.16719751188234e-09,-3.00175350473088e-07,7.19651039928886e-08,6.95692707305161e-08,1.41534374723276e-07,NaN,3.83632816129369e-08,2.30340540852078e-07,-5.89728858111327e-07,-3.30774224735588e-07,-3.30774224736235e-07,NaN,3.26067827509052e-08,1.07367654722823e-07,NaN,1.84903769156452e-07,6.95654381952233e-08,-3.22506193333695e-07,-1.76197299022035e-07,-1.76197299021783e-07,4.68016597894303e-07,-9.34864552738085e-07,NaN,0,0,0
1663.3856,-5.88747255090961e-07,-3.09342486552352e-07,-8.9808974164343e-07,-3.2850650224638e-07,-7.3662777211418e-08,-7.36627772113551e-08,NaN,9.98507891460651e-06,-2.80921340821628e-06,-1.23947675330378e-07,-2.64483766313297e-08,-1.23947675330197e-07,-3.42852848104549e-08,-2.92153290102283e-08,-6.35006138205689e-08,-1.20733112101785e-07,-2.27725431641209e-08,-1.43505655265711e-07,8.30217023974681e-08,NaN,4.10579917981037e-08,-5.31941226140093e-07,8.16004197473959e-07,2.84062971337048e-07,NaN,-1.53960408343312e-08,2.42758293292203e-07,-1.78703493261388e-08,1.78703493261811e-08,-3.18305677378644e-07,8.06311430013431e-08,6.66437881636062e-08,1.4727493116482e-07,NaN,3.88183794164615e-08,2.30369009696551e-07,-5.77623896581173e-07,-3.29717032207357e-07,-3.29717032208012e-07,NaN,3.39088343430358e-08,1.10921307111398e-07,NaN,1.78759464872483e-07,6.76128004681469e-08,-3.17024502493707e-07,-1.75689285689328e-07,-1.75689285689074e-07,4.57725351585625e-07,-9.12058635547755e-07,NaN,0,0,0
1663.488,-6.32867557307327e-07,-3.16176217392104e-07,-9.49043774699547e-07,-3.36007424462927e-07,-7.25928582126079e-08,-7.2592858212546e-08,NaN,1.07202440713357e-05,-3.02819220399558e-06,-1.25984355290341e-07,-2.65373977371767e-08,-1.25984355290162e-07,-5.08098508633144e-08,-2.90873389810499e-08,-7.98971898442489e-08,-1.29613625813692e-07,-2.21301394526072e-08,-1.51743765266103e-07,6.89530169400275e-08,NaN,2.73482104036601e-08,-6.35835071096315e-07,8.42417064708007e-07,2.06581993614938e-07,NaN,-1.9049455087795e-08,2.43752931456464e-07,-3.23247744517444e-08,3.23247744517906e-08,-3.32003287275174e-07,8.7067600578479e-08,6.44281087036286e-08,1.51495709281977e-07,NaN,3.89891374116514e-08,2.29006314393227e-07,-5.63803431025596e-07,-3.28039618910269e-07,-3.28039618910932e-07,NaN,3.47395503643808e-08,1.13764393016091e-07,NaN,1.73109468639846e-07,6.58027322354572e-08,-3.10804456236156e-07,-1.75416456374623e-07,-1.75416456374366e-07,4.48219210699668e-07,-9.00411539325342e-07,NaN,0,0,0
