time,S1-D1,S1-D8,S1-D9,S1-D15,S2-D1,S2-D2,S2-D3,S2-D9,S3-D1,S3-D2,S3-D16,S4-D2,S4-D3,S4-D5,S5-D3,S5-D4,S5-D5,S6-D2,S6-D5,S6-D17,S7-D6,S7-D7,S8-D6,S8-D7,S8-D18,S9-D3,S9-D4,S9-D9,S9-D11,S9-D19,S10-D8,S10-D9,S10-D10,S10-D11,S11-D8,S11-D10,S11-D20,S12-D10,S12-D11,S12-D12,S13-D4,S13-D11,S13-D12,S14-D10,S14-D12,S14-D21,S15-D13,S15-D14,S16-D13,S16-D14,S16-D22
513.3312,-0.287996629982826,0.787098737714678,NaN,NaN,-0.59026765292605,-0.653376653591028,NaN,NaN,-1.01734145941812,-0.657805075118446,-0.764208608841169,-0.657805075117868,1.09374342733898,0.199538749424431,1.58628789553267,NaN,1.51718313351024,-2.38376747305462,-2.61105037508028,-0.424496576140539,-2.61105037508106,-2.68420036071119,NaN,NaN,-1.10197175746531,0.829783423451691,NaN,1.8985526593755,-1.89855265937579,-0.224132790699228,1.58855862624179,-0.473749733350758,NaN,NaN,0.822276165693458,1.06049176017917,0.524013610459861,-3.45742454048102,-3.45742454048179,-0.604375660263225,-1.3119133804066,-0.995744116164127,0.223021912587148,1.14423242082393,1.04931922700257,-0.471094030119281,0.185520830849181,0.18552083084983,NaN,1.6268206532623,0.520640365408577
513.4336,-0.239094306029623,0.777346513886036,NaN,NaN,-0.586240461592978,-0.613048378002099,NaN,NaN,-0.964696949709074,-0.598276778795493,-0.71121483383673,-0.598276778794913,1.10205320504626,0.215580628193833,1.6134903218928,NaN,1.50229337008224,-2.40993606899242,-2.62725196245002,-0.408933061795702,-2.62725196245081,-2.73411446330329,NaN,NaN,-1.08528536220592,0.865859896666203,NaN,1.87396340098667,-1.87396340098694,-0.286453923329705,1.5186036617801,-0.416691754421909,NaN,NaN,0.840238816519816,1.04961976594231,0.593894915160079,-3.46894864641642,-3.46894864641719,-0.611169775573582,-1.31623960539142,-1.00320872343359,0.193548521034379,1.16788599926061,1.0328849840663,-0.478094441841011,0.187053929424675,0.187053929425347,NaN,1.64975125347948,0.529958237974098
513.536,-0.189481203415111,0.766820695904886,NaN,NaN,-0.581381659911589,-0.570977503589062,NaN,NaN,-0.910842259162064,-0.538195076465495,-0.657855834001327,-0.53819507646491,1.10922881996174,0.231809523073426,1.63945870755448,NaN,1.48691232764687,-2.43407753351581,-2.64165688771217,-0.3918646100621,-2.64165688771296,-2.77954112296501,NaN,NaN,-1.06678844810622,0.903402947568567,NaN,1.84838282307534,-1.84838282307561,-0.348715593278538,1.44689433681601,-0.35984717945885,NaN,NaN,0.857753963389875,1.03663406769065,0.663874565733948,-3.47897466783211,-3.4789746678329,-0.616311702847955,-1.32012086250792,-1.00907531834069,0.163035057022492,1.19131975521653,1.01513366210915,-0.485557763142742,0.187851048978305,0.187851048979,NaN,1.67283820754518,0.538988919949226
513.6384,-0.139307352125225,0.755574339455509,NaN,NaN,-0.575674937687223,-0.527254621645552,NaN,NaN,-0.855873628397138,-0.477707753138929,-0.604214083848168,-0.477707753138343,1.11531702365763,0.248137380877038,1.66416012206105,NaN,1.4710661164885,-2.45613509905361,-2.65428252006545,-0.373345105387261,-2.65428252006625,-2.8203335446377,NaN,NaN,-1.04660710433242,0.94230018844338,NaN,1.82192403674986,-1.82192403675012,-0.410811111641013,1.3736781153554,-0.303374001813357,NaN,NaN,0.874787952018128,1.02153263681953,0.733768817900363,-3.48750618118947,-3.48750618119027,-0.61979476409859,-1.32358309816196,-1.01334736955552,0.131614245033677,1.21443078312819,0.996141792053443,-0.49345069803109,0.187924875431952,0.187924875432671,NaN,1.69604452762571,0.547732680454149
513.7408,-0.0887236636519873,0.743661307870908,NaN,NaN,-0.569104075715433,-0.481975044176152,NaN,NaN,-0.799889223508288,-0.41696420232515,-0.550372164862356,-0.416964202324561,1.12036893823658,0.264473248483816,1.68756411739357,NaN,1.45478093337419,-2.47605572654596,-2.66514780873726,-0.353434289961601,-2.66514780873805,-2.85635799106756,NaN,NaN,-1.02487458710542,0.982431441522675,NaN,1.79470368532831,-1.79470368532856,-0.472633117440299,1.29920650299997,-0.247431328025375,NaN,NaN,0.891307467852468,1.00432016859828,0.803396234605002,-3.49454770478968,-3.49454770479049,-0.621614767544027,-1.32665228631196,-1.01603052069885,0.0994236160870043,1.23711355088662,0.975989445353582,-0.50173977755071,0.187290186240562,0.187290186241305,NaN,1.71933150255536,0.556190856138458
513.8432,-0.0378812600068623,0.731135891494618,NaN,NaN,-0.561653041300834,-0.43523836218551,NaN,NaN,-0.742988642767588,-0.356114800979501,-0.496412429648478,-0.356114800978907,1.12443978046025,0.280723656978921,1.70964278101927,NaN,1.43808292769431,-2.49379025544075,-2.67427292026544,-0.332197352863117,-2.67427292026625,-2.8874945511742,NaN,NaN,-1.00173053407071,1.02366937516279,NaN,1.76684133905923,-1.76684133905948,-0.534073916025769,1.22373377175908,-0.192178682521513,NaN,NaN,0.907279621740651,0.985007953463133,0.872578506254352,-3.5001046203928,-3.50010462039362,-0.621769987023621,-1.32935430224476,-1.01713252724987,0.0666045936170892,1.25926055214039,0.954759667443609,-0.510391642894667,0.185963774702999,0.185963774703764,NaN,1.74265873010904,0.564365787719061
513.9456,0.0130691488410773,0.718052466596505,NaN,NaN,-0.553306085397793,-0.387148001906537,NaN,NaN,-0.685272419568722,-0.295310290379389,-0.442416677987165,-0.295310290378792,1.12758852929422,0.296793039226422,1.73037075251178,NaN,1.42099805488368,-2.50929357436677,-2.68167890075207,-0.309704458873588,-2.68167890075288,-2.91363788548412,NaN,NaN,-0.977320156180371,1.06588017881529,NaN,1.73845884850328,-1.73845884850352,-0.595025830676544,1.14751571332179,-0.137775301427142,NaN,NaN,0.922672078900475,0.963613765593671,0.941141250174758,-3.50418304185866,-3.50418304185949,-0.62026116076868,-1.33171481910134,-1.01666321845093,0.0333015840687306,1.28076298449694,0.932537934563739,-0.51937329458373,0.183964358279744,0.183964358280529,NaN,1.76598413463833,0.572260750372228
514.048,0.0639778457946803,0.704465191418681,NaN,NaN,-0.544047842115627,-0.337810778871585,NaN,NaN,-0.626841527193678,-0.234701166416409,-0.388465846177241,-0.234701166415806,1.12987753984049,0.312584178435939,1.74972520494368,NaN,1.40355192025735,-2.52252479868404,-2.68738735892854,-0.28603023247525,-2.68738735892936,-2.93469793054884,NaN,NaN,-0.951793409686084,1.10892427327298,NaN,1.70967967442853,-1.70967967442876,-0.655381562886823,1.07080842796079,-0.0843794154839337,NaN,NaN,0.937453230718226,0.940161761223531,1.00891477692417,-3.50678961955798,-3.50678961955881,-0.61709149312687,-1.3337592258042,-1.014634469442,-0.000338909060992384,1.30151144715373,0.909411650396963,-0.528652312788372,0.181312473325935,0.181312473326742,NaN,1.78926397069923,0.579879882798909
514.1504,0.114696651431205,0.690427736167754,NaN,NaN,-0.533863431455937,-0.287336448298165,NaN,NaN,-0.567796887188928,-0.174437083275813,-0.334639712118772,-0.174437083275209,1.13137210813379,0.32799868930206,1.76768579833865,NaN,1.38576962333454,-2.53344744086303,-2.69142016664602,-0.261253208971423,-2.69142016664684,-2.95060054039121,NaN,NaN,-0.925304152990227,1.15265705485757,NaN,1.68062820330151,-1.68062820330174,-0.715034558963227,0.993867148470257,-0.032147523895846,NaN,NaN,0.9515924016161,0.914682375008458,1.0757348163745,-3.5079312786972,-3.50793127869805,-0.612266646906957,-1.33551256737504,-1.01106017323861,-0.034169131389458,1.32139664279341,0.885469690196376,-0.538197054322298,0.17803036289016,0.178030362890989,NaN,1.81245281561024,0.58722811911855
514.2528,0.165079434057007,0.675993044527926,NaN,NaN,-0.522738565148364,-0.235837250868563,NaN,NaN,-0.508238884560726,-0.11466627539754,-0.281016620951858,-0.114666275396936,1.13213999438449,0.342937532170789,1.78423461521158,NaN,1.36767561158971,-2.54202956756465,-2.69379917867316,-0.235455265362728,-2.69379917867398,-2.96128804607251,NaN,NaN,-0.898009293169423,1.19692967093735,NaN,1.65142904983169,-1.65142904983191,-0.773879383320011,0.916945095715307,0.0187663355909446,NaN,NaN,0.965060080167188,0.887212205436677,1.14144320054217,-3.50761489665423,-3.50761489665508,-0.605794720909748,-1.33699950823272,-1.0059562080322,-0.0680408724443663,1.34031006553729,0.860801992630092,-0.547976827991708,0.174141864802699,0.174141864803556,NaN,1.83550355297807,0.594311128291828
