time,S1-D1,S1-D8,S1-D9,S1-D15,S2-D1,S2-D2,S2-D3,S2-D9,S3-D1,S3-D2,S3-D16,S4-D2,S4-D3,S4-D5,S5-D3,S5-D4,S5-D5,S6-D2,S6-D5,S6-D17,S7-D6,S7-D7,S8-D6,S8-D7,S8-D18,S9-D3,S9-D4,S9-D9,S9-D11,S9-D19,S10-D8,S10-D9,S10-D10,S10-D11,S11-D8,S11-D10,S11-D20,S12-D10,S12-D11,S12-D12,S13-D4,S13-D11,S13-D12,S14-D10,S14-D12,S14-D21,S15-D13,S15-D14,S16-D13,S16-D14,S16-D22
1411.1744,-0.182845713858342,-0.609306165759205,-0.438405018862087,0.0451582129088787,-0.164777535061174,-0.164777535060463,-1.60107641651237,1.38123228842605,-0.303649870963244,0.297537581137868,1.83060203281815,0.297537581139139,0.15340409554572,-1.03459766468709,-0.324174109354847,-0.904622796333672,1.386049647567,0.0963549949831904,-1.13533527545298,NaN,-1.9055886520379,0.413315802933912,-0.930076499766905,-0.403876384746624,0.100057061683855,-0.343535265414596,-0.343535265414599,2.35292671211466,-2.35292671211435,0.813185711496045,0.943038175966115,-0.616717635067762,0.233008681120697,-0.397828204185992,0.226802227253715,-0.248188651867424,-0.431224100080216,0.825515293055244,0.825515293055033,0.247660503418052,-0.829322902897251,-1.14800662318499,0.501263393717843,0.272097550978383,0.955600787913157,NaN,-0.687216920741353,-0.689725380656947,0.437722787837694,-0.437722787837905,-1.05562975443313
1411.2768,-0.180020547207537,-0.614051166639189,-0.438326030718565,0.0298485982671453,-0.160382377706934,-0.160382377706229,-1.5988439805923,1.3808238417117,-0.302022308209347,0.275843527193231,1.81735575479988,0.275843527194501,0.145573821349624,-1.02114071792023,-0.324678192868487,-0.931780442117886,1.3890216480139,0.0579951362240697,-1.14944671533552,NaN,-1.90985459706221,0.4139783751121,-0.932588688633749,-0.405529800860811,0.117552311224708,-0.322962922480371,-0.322962922480373,2.37918883175687,-2.37918883175655,0.816035568298786,0.923931473780234,-0.621165557241641,0.216436556381317,-0.39321229029956,0.246865110640002,-0.237232430671386,-0.459895256940328,0.842364611793893,0.842364611793674,0.25757656234553,-0.819859808821256,-1.10897681866077,0.479620011024978,0.298808112032885,0.958303091950517,NaN,-0.707211386387053,-0.624583574886549,0.467434260075061,-0.467434260075282,-1.04854481243064
1411.3792,-0.177892634610648,-0.619570800461832,-0.439186501874253,0.014295040594333,-0.155371293794728,-0.155371293794032,-1.59508585178206,1.37992066231036,-0.299453518020324,0.252885226909208,1.80395365960888,0.25288522691047,0.138543101240112,-1.00866618737314,-0.324961092621293,-0.9590596872038,1.39245412457082,0.0199409407430473,-1.16336491058579,NaN,-1.91373558532515,0.415545393295558,-0.935052383912834,-0.406014352123653,0.135252266793154,-0.303487793745871,-0.303487793745875,2.40478290859655,-2.4047829085962,0.818599274632981,0.903084783626247,-0.625660131313455,0.198605954091656,-0.388709425048449,0.267212467304176,-0.226268433169861,-0.488408633054128,0.859396690415852,0.859396690415625,0.267500594190325,-0.810352342458711,-1.06984239995366,0.457234328577249,0.32619013262588,0.960818439677749,NaN,-0.728016992282906,-0.560262420844143,0.496819123850963,-0.496819123851194,-1.04154330746849
1411.4816,-0.176492254539137,-0.625811707508555,-0.440986094185734,-0.00146702278252868,-0.149701729024414,-0.149701729023723,-1.58978951141911,1.37855158257035,-0.295909676196832,0.228790534879908,1.79044152892079,0.228790534881162,0.132243498648706,-0.99718474646002,-0.325082799840809,-0.986442661082615,1.39633330733372,-0.0177949630773426,-1.17706970112779,NaN,-1.91729485543581,0.417994869455169,-0.937465111495311,-0.405354856338987,0.153188473313687,-0.285096881746894,-0.285096881746898,2.42964740850696,-2.4296474085066,0.820905580623044,0.88062138507378,-0.630186757375937,0.179613938626716,-0.38434408103756,0.287811973025503,-0.215328395650423,-0.516680473148007,0.876584187199895,0.876584187199655,0.277386566020347,-0.800784360168932,-1.03066488727727,0.434141572383453,0.354212680725218,0.963156768798888,NaN,-0.74957348899882,-0.497041258945726,0.52580808441454,-0.525808084414787,-1.03460708309044
1411.584,-0.175845347945861,-0.632715241485264,-0.443718404132199,-0.0174001669456546,-0.143333086694959,-0.143333086694278,-1.58294846938699,1.37674610687257,-0.291361695646122,0.203691888443144,1.77686498757199,0.20369188844439,0.126601596221416,-0.986701896934076,-0.325105094478644,-1.0139114919618,1.40064326016488,-0.0552022576757397,-1.19054244026611,NaN,-1.92059948908528,0.421301381178383,-0.939825210274851,-0.403581189228483,0.171388477378238,-0.267771782972932,-0.267771782972937,2.45372216285454,-2.45372216285416,0.822982671512467,0.8566724180558,-0.634732423486066,0.159562001365938,-0.380140201455973,0.308632071799015,-0.204443343312944,-0.544625011014445,0.893900610460474,0.893900610460221,0.287185174541769,-0.79113593920911,-0.991504928183876,0.410380676682205,0.382841549398147,0.965329041784821,NaN,-0.771815766263221,-0.435194551904722,0.554334151149122,-0.554334151149373,-1.02771620262569
1411.6864,-0.175973150853923,-0.640217788719552,-0.447370811696501,-0.0334651972141168,-0.136226987902354,-0.136226987901682,-1.57456228304319,1.37453419799258,-0.285785412461678,0.177725693533632,1.76326926607776,0.177725693534869,0.121539754903471,-0.977217877668966,-0.325090891571766,-1.04144806078332,1.40536584187578,-0.0922726015684878,-1.20376600715066,NaN,-1.92372007697533,0.425436497180416,-0.942132021666512,-0.400727943685129,0.189875504705849,-0.25148892070699,-0.251488920706999,2.47694857583873,-2.47694857583833,0.824857910032085,0.831376163118727,-0.639285735003691,0.138555533097843,-0.376120986963978,0.32964209093667,-0.193643373116484,-0.572154872717013,0.911320361827637,0.911320361827369,0.296844087724634,-0.781383506089616,-0.952422061532551,0.385994182608818,0.412039154369334,0.96734699846895,NaN,-0.794674007856279,-0.374990126446223,0.582332920662945,-0.58233292066321,-1.02084910430191
1411.7888,-0.176891876996735,-0.648251118935716,-0.451924385322884,-0.0496213719515255,-0.128347524586678,-0.128347524586013,-1.56463652385502,1.37194605700773,-0.27916173140945,0.151031684447787,1.74969896170837,0.151031684449013,0.116976893367628,-0.968727599110909,-0.325103582268266,-1.06903374319038,1.41048065946803,-0.128999284654857,-1.21672479934888,NaN,-1.92673035646958,0.430369205118784,-0.94438605463122,-0.396834062042793,0.208668164432705,-0.236219817988891,-0.236219817988904,2.49926982723815,-2.49926982723773,0.826557598998573,0.804877271821197,-0.64383693860765,0.116703265026594,-0.372308691313927,0.350812345668323,-0.182957447583663,-0.599181497232404,0.928818752355429,0.928818752355141,0.306308204123502,-0.77149999499581,-0.913474505339693,0.361028128943138,0.441764433661195,0.969222900840235,NaN,-0.81807385453468,-0.316687446570718,0.609742838338304,-0.609742838338568,-1.0139827767716
1411.8912,-0.178612453353224,-0.656742766833957,-0.457353844923534,-0.0658266295104268,-0.119661504802037,-0.119661504801382,-1.55318269442448,1.36901189658612,-0.271476733293956,0.12375225613328,1.73619779396007,0.123752256134492,0.112829272709583,-0.96122060518631,-0.325206382488168,-1.09664915343198,1.41596502599732,-0.165376881550036,-1.22940470820698,NaN,-1.92970681952699,0.43606633071524,-0.946589126210671,-0.391942454996461,0.227780186420159,-0.221931409212452,-0.221931409212475,2.52063106059167,-2.52063106059124,0.8281067667597,0.777325950357532,-0.648377947539311,0.094116675966182,-0.368724427838059,0.372114230039508,-0.172413202465988,-0.62561556840588,0.946371994257371,0.946371994257061,0.315519923256198,-0.761455029109724,-0.874718967742278,0.335531927910854,0.471972763700231,0.970969277439168,NaN,-0.841936572092597,-0.260535935899997,0.636505432122755,-0.636505432123029,-1.00709295371886
1411.9936,-0.181140310735367,-0.665616445121413,-0.463627585013543,-0.082037821579909,-0.110138690070077,-0.110138690069429,-1.54021809855053,1.36576170428094,-0.262721749199056,0.0960317710290745,1.72280835240014,0.0960317710302751,0.109011281053709,-0.954681066673547,-0.325461695289873,-1.12427390048926,1.42179393718853,-0.201400903589451,-1.24179308587222,NaN,-1.93272829183958,0.442492944786384,-0.948744476315814,-0.386099610147938,0.247220202115907,-0.208586388089313,-0.208586388089341,2.54097955085303,-2.54097955085259,0.82952897661813,0.748877103200683,-0.652902363594673,0.070909373642036,-0.365387992428384,0.393520292513167,-0.162036773487582,-0.651367453003397,0.963957169693565,0.963957169693231,0.324419425334705,-0.751215119982647,-0.836210474886463,0.309558220085546,0.502615900508178,0.972598669554587,NaN,-0.866179235521855,-0.206773370994399,0.662565518816874,-0.662565518817135,-1.00015431860421
1412.096,-0.184475232662866,-0.674792490506722,-0.470707761348313,-0.0982109579803476,-0.0997520278476518,-0.0997520278470119,-1.52576566887467,1.36222499039971,-0.252893409886864,0.0680158431938959,1.70957183662216,0.068015843195085,0.105436215766955,-0.949087813039504,-0.325930491838055,-1.15188636493415,1.42794007974814,-0.23706744869792,-1.25387871186342,NaN,-1.93587548402983,0.449612756126304,-0.950856852439663,-0.379355188461622,0.266991582335618,-0.196143589546291,-0.196143589546315,2.56026485045994,-2.56026485045948,0.830846162824425,0.719689445868633,-0.657405484283127,0.0471964646151535,-0.3623177096584,0.415004297240592,-0.151852647321426,-0.676347644593353,0.981552179447801,0.981552179447444,0.332944964974389,-0.740743883440303,-0.798002203302681,0.283162705530127,0.533641948456066,0.974123378374593,NaN,-0.890714949231487,-0.155624366089815,0.687871395634241,-0.6878713956345,-0.993140705572782
