time,S1-D1,S1-D8,S1-D9,S1-D23,S2-D1,S2-D2,S2-D3,S2-D9,S2-D15,S3-D1,S3-D2,S3-D24,S4-D2,S4-D3,S4-D5,S4-D16,S5-D3,S5-D4,S5-D5,S5-D17,S6-D2,S6-D5,S6-D25,S7-D6,S7-D7,S7-D18,S8-D6,S8-D7,S8-D26,S9-D3,S9-D4,S9-D9,S9-D11,S9-D27,S10-D8,S10-D9,S10-D10,S10-D11,S10-D19,S11-D8,S11-D10,S11-D28,S12-D10,S12-D11,S12-D12,S12-D20,S13-D4,S13-D11,S13-D12,S13-D21,S14-D10,S14-D12,S14-D29,S15-D13,S15-D14,S15-D22,S16-D13,S16-D14,S16-D30
878.4896,-0.935225490876946,-1.11310010388353,-1.58487652997884,-0.114543028251575,-1.726642921165,-1.7266429211665,NaN,1.08296053727342,NaN,-0.589489792884664,-1.35660382097345,-0.589489792883912,-0.115115591463507,-0.946775072601547,NaN,NaN,NaN,-0.785490525290899,NaN,NaN,-0.606730768264299,0.234574531995528,NaN,-1.15179406891377,0.455126494967934,NaN,-0.208463522994568,-0.189602705644838,0.189602705641426,0.797973856812433,-1.34785905167718,NaN,-1.00235114242133,0.950456222161042,-0.26674610977074,0.602058779293807,-1.09318114370956,NaN,NaN,-0.706957666515991,1.84997593948162,0.463630782442679,-0.513837916552319,0.494388870842778,NaN,NaN,-1.11294299302125,1.0390037177632,NaN,NaN,-0.94997646004904,2.15588197521804,NaN,1.46437196886419,0.149164616443848,NaN,0.192157802364314,1.21041803526082,-0.674834971304268
878.592,-0.962935470605497,-1.08107218014367,-1.58638234101418,-0.102527688032447,-1.70750890272208,-1.70750890272355,NaN,1.07163496463457,NaN,-0.594881028483212,-1.35204809771336,-0.594881028482564,-0.133211582246245,-0.925777043463701,NaN,NaN,NaN,-0.762415544354849,NaN,NaN,-0.598237065932299,0.244933128195178,NaN,-1.14378321363677,0.457749725691388,NaN,-0.204568041907132,-0.214213557324188,0.214213557320806,0.780659549114056,-1.31919752253186,NaN,-0.972268327792131,0.918566042669876,-0.278252349866297,0.566131832045624,-1.09110406090693,NaN,NaN,-0.703577337332253,1.84932911690983,0.467790804936262,-0.512239977849495,0.490704265372661,NaN,NaN,-1.11317115182495,1.03864597747535,NaN,NaN,-0.950898771041972,2.17002413830387,NaN,1.50274215420445,0.128252062588821,NaN,0.218401185896314,1.19329826071089,-0.670022541269944
878.6944,-0.989692289482342,-1.05140760359521,-1.58871848959214,-0.0905796647311821,-1.68848894278074,-1.6884889427822,NaN,1.06038317664666,NaN,-0.599427615703569,-1.34732963573137,-0.599427615703003,-0.149781637540286,-0.906152143687738,NaN,NaN,NaN,-0.738358176985224,NaN,NaN,-0.58908271236316,0.25606234998728,NaN,-1.13560970910723,0.460200007136492,NaN,-0.200754673026495,-0.236460339338704,0.236460339335351,0.76357698279235,-1.28810964328676,NaN,-0.940802843432995,0.885744339646437,-0.291948291448228,0.527730432870917,-1.08837288190475,NaN,NaN,-0.699532586638014,1.84861813647325,0.472817484940202,-0.511213043184547,0.487656206829256,NaN,NaN,-1.11336592448484,1.03818711549904,NaN,NaN,-0.951594184077167,2.18439426873903,NaN,1.54029250701148,0.108655350587598,NaN,0.244129553430325,1.17583972234886,-0.664935773374396
878.7968,-1.01540940756469,-1.02426616025593,-1.59192205693505,-0.0787579300249239,-1.66973114883368,-1.66973114883512,NaN,1.04913983223197,NaN,-0.60309820289198,-1.34250005879721,-0.603098202891499,-0.164785909246779,-0.887968105021322,NaN,NaN,NaN,-0.713347898609455,NaN,NaN,-0.579258383551507,0.267961113441595,NaN,-1.12725450665536,0.462489021614678,NaN,-0.197025943247899,-0.25623162020424,0.256231620200917,0.746741122059437,-1.2546140426922,NaN,-0.907978697989554,0.852077875618581,-0.307777628598585,0.486971547510351,-1.08500391865281,NaN,NaN,-0.694851795094604,1.8477933817235,0.478633081348857,-0.51072865255657,0.48520390320656,NaN,NaN,-1.11353647312257,1.03764184835277,NaN,NaN,-0.952046148643946,2.1989074181208,NaN,1.57690905461341,0.0903574930481799,NaN,0.269332332091536,1.1580726569429,-0.659580297088418
878.8992,-1.04000499474884,-0.999799541568784,-1.59602852679132,-0.0671215583898782,-1.65138365528385,-1.65138365528527,NaN,1.03783593637983,NaN,-0.605864915985555,-1.33760903302583,-0.60586491598515,-0.178189214585337,-0.871288294576635,NaN,NaN,NaN,-0.687416822986049,NaN,NaN,-0.568758144780537,0.280625272613858,NaN,-1.11870150778838,0.464628478698281,NaN,-0.193384169271032,-0.273423749147394,0.273423749144101,0.730164194044951,-1.21873346981619,NaN,-0.873821517345473,0.81765694290227,-0.325677275121892,0.443980351753492,-1.08101455816464,NaN,NaN,-0.689568669658223,1.84680624708243,0.485153291755673,-0.510757502877161,0.483305472766801,NaN,NaN,-1.11369108674865,1.03702452433128,NaN,NaN,-0.952239496353477,2.21347452435824,NaN,1.61247670802196,0.0733352845982073,NaN,0.29400026385957,1.14002743763012,-0.653963483657489
879.0016,-1.06340224794842,-0.978150463057968,-1.60107144277185,-0.0557294600445904,-1.63359380844242,-1.63359380844381,NaN,1.02639931586563,NaN,-0.607703694626078,-1.33270405960268,-0.607703694625752,-0.189961198967808,-0.856171529564188,NaN,NaN,NaN,-0.660599609353618,NaN,NaN,-0.557579548967435,0.294047394131924,NaN,-1.10993765425827,0.46663007819359,NaN,-0.189831441887536,-0.287941362902123,0.287941362898861,0.713855685473285,-1.18049510187995,NaN,-0.838358819116687,0.782574645590782,-0.345577930906606,0.398889186295524,-1.07642329375652,NaN,NaN,-0.68372200740537,1.84560930615233,0.49228770915951,-0.511269452470201,0.481918082251084,NaN,NaN,-1.11383719412668,1.03634919818913,NaN,NaN,-0.952160560295381,2.22800294232391,NaN,1.64687987850099,0.0575595777889512,NaN,0.318125426428421,1.12173448019209,-0.648094432577119
879.104,-1.08552968710518,-0.959451782046398,-1.60708204677372,-0.044640094487624,-1.61650730158401,-1.61650730158538,NaN,1.01475511833542,NaN,-0.608594622150966,-1.32783028437715,-0.608594622150718,-0.200076481160036,-0.842671891920334,NaN,NaN,NaN,-0.632933355862778,NaN,NaN,-0.545723701574211,0.308216575492823,NaN,-1.10095294342305,0.468505473405462,NaN,-0.186369610689308,-0.29969788422927,0.299697884226043,0.697822360175781,-1.13993084121733,NaN,-0.801620284494925,0.746926145635167,-0.367404684619135,0.351836453168226,-1.07124975393296,NaN,NaN,-0.677355388960061,1.84415643648424,0.499940341918265,-0.512233500205522,0.480998054789662,NaN,NaN,-1.11398138296605,1.03562970234064,NaN,NaN,-0.951797294608284,2.24239699328954,NaN,1.68000309656082,0.0429955858324438,NaN,0.341701242334899,1.10322415097167,-0.641983943605684
879.2064,-1.10632143317681,-0.943825623630296,-1.61408890763267,-0.033911167376181,-1.60026725982584,-1.60026725982719,NaN,1.00282634492029,NaN,-0.608522240856834,-1.3230303312742,-0.608522240856662,-0.208514781438948,-0.830838544088135,NaN,NaN,NaN,-0.604457479188371,NaN,NaN,-0.533195293140557,0.323118312646747,NaN,-1.0917403772101,0.470266234926203,NaN,-0.183000268938834,-0.30861600703557,0.308616007032381,0.682068292599671,-1.09707759100933,NaN,-0.763638014566472,0.710807891381436,-0.391077635742026,0.302965482401954,-1.06551473046992,NaN,NaN,-0.670516818880247,1.84240292094692,0.508010188671901,-0.513617754262312,0.480500958903608,NaN,NaN,-1.11412942601295,1.03487970954027,NaN,NaN,-0.951139387195408,2.25655852512386,NaN,1.71173162031865,0.029603208621162,NaN,0.364722458921656,1.08452667564805,-0.635644468256361
879.3088,-1.12571747325117,-0.931382529823684,-1.62211755487248,-0.0235993158658989,-1.58501328291306,-1.58501328291438,NaN,0.990534419964734,NaN,-0.607475840426843,-1.31834416008179,-0.607475840426745,-0.215261034003352,-0.820715549735347,NaN,NaN,NaN,-0.575213586341179,NaN,NaN,-0.520002604956404,0.338734416162023,NaN,-1.08229586591083,0.47192381525429,NaN,-0.179724739136644,-0.314628159959985,0.314628159956833,0.666594909364721,-1.05197750411641,NaN,-0.724446762581923,0.674316847210717,-0.416512510932046,0.252423403990847,-1.05924020661667,NaN,NaN,-0.66325832903531,1.84030553736623,0.516391855195653,-0.515389403105705,0.480381685821372,NaN,NaN,-1.11428631334496,1.03411278374547,NaN,NaN,-0.950178360310446,2.27038747529819,NaN,1.741952021664,0.0173373758196429,NaN,0.387185092402547,1.06567204722381,-0.62909003802302
879.4112,-1.14366392549343,-0.922220646367696,-1.63119013864487,-0.0137597806142737,-1.57088045863783,-1.57088045863912,NaN,0.977799785150617,NaN,-0.605449709367594,-1.31380893763885,-0.605449709367549,-0.220305488842647,-0.812341701013818,NaN,NaN,NaN,-0.545245349359517,NaN,NaN,-0.506157494615867,0.355042965966365,NaN,-1.07261811455798,0.473489513757602,NaN,-0.17654405903059,-0.317676944500558,0.317676944497446,0.651401041697205,-1.0046782046973,NaN,-0.684084139632366,0.63754973990357,-0.443621249677358,0.200360057662622,-1.05244937789536,NaN,NaN,-0.655635556676742,1.83782263958129,0.524976199487729,-0.517514694497125,0.480594516480717,NaN,NaN,-1.11445628875736,1.03334241693886,NaN,NaN,-0.948907655528864,2.28378242803408,NaN,1.77055274041446,0.00614839931037703,NaN,0.409086345762074,1.04668992886982,-0.622336169664249
