time,S1-D1,S1-D8,S1-D9,S1-D23,S2-D1,S2-D2,S2-D3,S2-D9,S2-D15,S3-D1,S3-D2,S3-D24,S4-D2,S4-D3,S4-D5,S4-D16,S5-D3,S5-D4,S5-D5,S5-D17,S6-D2,S6-D5,S6-D25,S7-D6,S7-D7,S7-D18,S8-D6,S8-D7,S8-D26,S9-D3,S9-D4,S9-D9,S9-D11,S9-D27,S10-D8,S10-D9,S10-D10,S10-D11,S10-D19,S11-D8,S11-D10,S11-D28,S12-D10,S12-D11,S12-D12,S12-D20,S13-D4,S13-D11,S13-D12,S13-D21,S14-D10,S14-D12,S14-D29,S15-D13,S15-D14,S15-D22,S16-D13,S16-D14,S16-D30
199.8848,-0.826474989728337,-0.0419111410208304,-1.00844364671501,-0.00205919294496722,0.704658443259307,0.704658443255868,NaN,0.262794985260081,NaN,-0.342975396968635,-0.294158909050888,-0.3429753969697,-0.563847421140211,-0.613219323562117,NaN,NaN,NaN,0.194809933117665,NaN,NaN,0.370903610845732,0.247584745110531,NaN,-0.50507085393918,0.758171723060547,NaN,-0.136315159554198,0.437286636750482,-0.437286636751672,-0.0273258176811589,0.131771300482199,NaN,0.262140691970406,-0.435949620269579,-0.449469670888777,-0.958554118899332,0.476362081739834,NaN,NaN,-0.0251898957985973,-0.377865825234791,-0.418974717759848,-0.0251434264726811,-0.484350237710889,NaN,NaN,-0.17008560621819,-0.362033604071264,NaN,NaN,-0.34959932920759,-0.814837322202436,NaN,-1.25689120992027,-0.196383314636335,NaN,0.630579586328579,0.0232427413801584,-0.063868851548261
199.9872,-0.851488329399109,-0.0616519231578706,-1.05812094235415,-0.0077134262186226,0.693151836501498,0.693151836498045,NaN,0.242031507345646,NaN,-0.372682649230051,-0.301935911109355,-0.372682649231117,-0.588548399295995,-0.619830144599173,NaN,NaN,NaN,0.207940282906531,NaN,NaN,0.369249329560464,0.24594623138636,NaN,-0.515674631228836,0.766901003440056,NaN,-0.13561391703848,0.446662271955213,-0.446662271956378,-0.0309224853793828,0.121875764285142,NaN,0.242095341524364,-0.449499561586495,-0.461161403856371,-0.985831977747445,0.480257377196425,NaN,NaN,-0.0496873779901497,-0.368956650383235,-0.438848996922,-0.0313075541137824,-0.477746003074509,NaN,NaN,-0.172580823176341,-0.362455675355917,NaN,NaN,-0.354833253180264,-0.825820287841167,NaN,-1.27173720509095,-0.206850572715087,NaN,0.643569022362769,0.0187050483615237,-0.0587039551218861
200.0896,-0.876854721053966,-0.0817956473605965,-1.10862832556102,-0.0134485049112886,0.680594352905,0.680594352901532,NaN,0.221034350607739,NaN,-0.403896240744282,-0.309384839919994,-0.40389624074535,-0.613672735457478,-0.626220602976261,NaN,NaN,NaN,0.221310644107886,NaN,NaN,0.367211578674091,0.244196698507913,NaN,-0.525855333741452,0.775485433434688,NaN,-0.134939970766288,0.455981392668228,-0.455981392669365,-0.034714678821488,0.111803935277886,NaN,0.221238383349689,-0.463358763044707,-0.47289655714111,-1.01348575436074,0.483598076240183,NaN,NaN,-0.0751001508129626,-0.35973863062632,-0.459490571657518,-0.0375873761148473,-0.470796490368626,NaN,NaN,-0.175058005469086,-0.362810991243824,NaN,NaN,-0.35998862069248,-0.837137595775517,NaN,-1.28689254864344,-0.217284046547667,NaN,0.655891808307544,0.0141714257449377,-0.0535769879270843
200.192,-0.90256515692585,-0.102279865470894,-1.15989051740766,-0.0192690479379038,0.667051164133159,0.667051164129677,NaN,0.199866559039657,NaN,-0.436595277811374,-0.316485274620685,-0.436595277812444,-0.639207280299058,-0.63237914178979,NaN,NaN,NaN,0.234900145923178,NaN,NaN,0.36480822924188,0.242321990141933,NaN,-0.535596713796317,0.783922952437339,NaN,-0.134287395772047,0.465212774206885,-0.465212774207999,-0.0387176939461828,0.101584719618492,NaN,0.199609984157006,-0.477541563520545,-0.48466489831337,-1.04151935907255,0.48635197155597,NaN,NaN,-0.101413097915216,-0.350247296636513,-0.48091810491632,-0.043970463864597,-0.463535604406697,NaN,NaN,-0.177510520406849,-0.363081302226114,NaN,NaN,-0.365069803067839,-0.848829316624469,NaN,-1.30241739483948,-0.227670145814155,NaN,0.667499924805934,0.00964501353258818,-0.0484914646483333
200.2944,-0.928607359738922,-0.12303931863929,-1.21182550672104,-0.0251791270142837,0.652591509787696,0.6525915097842,NaN,0.178591277478283,NaN,-0.470751126801718,-0.3232178264492,-0.47075112680279,-0.665136203896305,-0.638293481543842,NaN,NaN,NaN,0.248687304136201,NaN,NaN,0.362058504172874,0.240307377465936,NaN,-0.544883499589793,0.792211112879909,NaN,-0.133650491991194,0.47432385587005,-0.474323855871138,-0.0429459291163672,0.091246942645471,NaN,0.177253521811888,-0.492060869640799,-0.496455260357425,-1.06993415148179,0.488488427721703,NaN,NaN,-0.12860817087327,-0.340517631912275,-0.50314621942745,-0.0504446024781622,-0.455996885580782,NaN,NaN,-0.179931266356111,-0.36324837944802,NaN,NaN,-0.370081852185781,-0.860933027437644,NaN,-1.31836866834511,-0.237995680414512,NaN,0.678347464932921,0.0051290388638554,-0.0434508913035895
200.3968,-0.954965615746375,-0.144006180070151,-1.26434460687832,-0.0311822568962456,0.637288339429119,0.63728833942561,NaN,0.157271602450822,NaN,-0.50632719822583,-0.329564249396473,-0.506327198226902,-0.691440929012667,-0.643950556580963,NaN,NaN,NaN,0.26265010503237,NaN,NaN,0.358982947443621,0.238137584767849,NaN,-0.55370140299116,0.800347033770507,NaN,-0.133023796409545,0.483280866154146,-0.483280866155207,-0.0474127839623272,0.0808194685353363,NaN,0.154215773375589,-0.506927768090368,-0.50825552682844,-1.09872851290417,0.489978565028949,NaN,NaN,-0.156664306229812,-0.330583934586706,-0.526185257023379,-0.0569978273235308,-0.448213357243171,NaN,NaN,-0.182312684034005,-0.363294051848529,NaN,NaN,-0.375030390826199,-0.873483485619147,NaN,-1.33479949829157,-0.248247751208783,NaN,0.688390817218582,0.000626813391149431,-0.0384587432991381
200.4992,-0.9816205994479,-0.165110317161948,-1.31735252300106,-0.0372813845483479,0.621217931793762,0.621217931790239,NaN,0.135970438770248,NaN,-0.543278764758041,-0.335507518636508,-0.543278764759112,-0.718100066222985,-0.649336450139653,NaN,NaN,NaN,0.276766062170528,NaN,NaN,0.355603386037066,0.235796834699844,NaN,-0.56203710734508,0.808327360110253,NaN,-0.132402088517318,0.49204897368471,-0.492048973685745,-0.0521305741441263,0.0703313764173876,NaN,0.130547143553872,-0.522151129717912,-0.520052630723099,-1.12789742526477,0.490795419887749,NaN,NaN,-0.185557336176051,-0.320479698602326,-0.550041050369769,-0.0636184491892301,-0.440217394689946,NaN,NaN,-0.184646772247458,-0.363200246015152,NaN,NaN,-0.379921502448525,-0.886512304446316,NaN,-1.35175867567835,-0.258413646984457,NaN,0.697588808145486,-0.00385827236042237,-0.0335184430688615
200.6016,-1.00854920186234,-0.186279568120807,-1.37074743830979,-0.0434788860431789,0.604459498858947,0.60445949885541,NaN,0.114750365948479,NaN,-0.581552819499447,-0.341031889849077,-0.581552819500513,-0.745089360523728,-0.654436328741231,NaN,NaN,NaN,0.291012243705506,NaN,NaN,0.351942880936437,0.233268905340049,NaN,-0.569878242274576,0.816148228163266,NaN,-0.131780391564237,0.500592461271892,-0.500592461272902,-0.0571104706815545,0.0598121896281813,NaN,0.106301929258389,-0.537737216542456,-0.53183256462071,-1.15743206550969,0.49091407288011,NaN,NaN,-0.215259901919849,-0.310237505147605,-0.574714708447106,-0.0702950754093205,-0.432040606263235,NaN,NaN,-0.186925103382278,-0.362949024396346,NaN,NaN,-0.384761618221659,-0.900047636349731,NaN,-1.36929014395853,-0.268480760247728,NaN,0.70590280658195,-0.00832275485804913,-0.0286333386209375
200.704,-1.03572437511651,-0.207440032569051,-1.42442113404256,-0.0497765765492994,0.587094780097125,0.587094780093573,NaN,0.09367351680567,NaN,-0.621087973672372,-0.346122952144998,-0.621087973673434,-0.772381650213714,-0.659234379913608,NaN,NaN,NaN,0.305365273211957,NaN,NaN,0.348025670441133,0.230537191892616,NaN,-0.577213347440849,0.823805235392158,NaN,-0.131153973419062,0.508874925817442,-0.508874925818425,-0.0623624674748132,0.0492921536747387,NaN,0.0815386158150505,-0.553689299831696,-0.543580404581278,-1.18731942694739,0.490311745393873,NaN,NaN,-0.245741370699657,-0.29988892278305,-0.600202415303475,-0.0770166302191254,-0.423713719769628,NaN,NaN,-0.189138835089315,-0.362522617776014,NaN,NaN,-0.389557400956755,-0.914113864811649,NaN,-1.38743252660814,-0.278436521912341,NaN,0.713296795704785,-0.0127631013432083,-0.0238066836896941
200.8064,-1.0631150015681,-0.22851637592699,-1.47825915230267,-0.0561757338698696,0.569207631339735,0.569207631336167,NaN,0.0728014671727471,NaN,-0.661814390787179,-0.350767683687515,-0.661814390788233,-0.799946833518969,-0.663713758495945,NaN,NaN,NaN,0.319801309299265,NaN,NaN,0.34387711174884,0.227584770521337,NaN,-0.584031822601766,0.831293414466944,NaN,-0.130518348259149,0.516859506913184,-0.516859506914141,-0.0678953749942409,0.038802553350937,NaN,0.0563201954626115,-0.570007296316744,-0.555280353507627,-1.2175419813126,0.488967872914565,NaN,NaN,-0.276967750042531,-0.289464423249146,-0.626495241687731,-0.083772370952732,-0.4152664751208,NaN,NaN,-0.191278717514924,-0.361903451483723,NaN,NaN,-0.394315628469902,-0.928731301191985,NaN,-1.40621868957773,-0.28826834519383,NaN,0.719737417619284,-0.0171757114766671,-0.0190416192323069
