time,S1-D1,S1-D8,S1-D9,S1-D15,S2-D1,S2-D2,S2-D3,S2-D9,S3-D1,S3-D2,S3-D16,S4-D2,S4-D3,S4-D5,S5-D3,S5-D4,S5-D5,S6-D2,S6-D5,S6-D17,S7-D6,S7-D7,S8-D6,S8-D7,S8-D18,S9-D3,S9-D4,S9-D9,S9-D11,S9-D19,S10-D8,S10-D9,S10-D10,S10-D11,S11-D8,S11-D10,S11-D20,S12-D10,S12-D11,S12-D12,S13-D4,S13-D11,S13-D12,S14-D10,S14-D12,S14-D21,S15-D13,S15-D14,S16-D13,S16-D14,S16-D22
1050.8288,-0.0307374520536623,-0.555295033192038,NaN,-0.193372828762601,0.850065862998135,0.850065862993331,NaN,NaN,0.234018649627887,0.162393855058338,NaN,-0.485078291748277,-0.691603729411043,-0.194011168330188,-0.71452598691552,0.109244760978147,0.104072928003999,0.196881012750398,-1.11567567261011,-0.435537511383107,-1.1156756726099,-0.241749800748518,-0.541035731555217,-1.40251340366532,-0.00778167382686195,-0.466656579196774,NaN,NaN,-0.501964777419917,0.0557655588779687,-1.93358466044532,1.68172931972973,-0.20445630399756,1.37857161967065,-1.45840898123032,0.427056394889279,1.02099946367122,-1.54161000072571,-1.5416100007244,0.698105305007161,NaN,0.352476097930373,0.661206978856435,-1.24980101860805,-0.935751828103987,0.561070639142342,-0.632041463403015,-0.63204146340313,0.586550529009289,-0.586550529008084,-1.33116301197111
1050.9312,0.00119429976973266,-0.570299345545469,NaN,-0.20618926471112,0.850368210407877,0.850368210403079,NaN,NaN,0.251496480487812,0.188539476378818,NaN,-0.463229639361436,-0.701323877447173,-0.186264381171851,-0.72046087633141,0.04719978533256,0.17339975980942,0.16573448563386,-1.1132815660927,-0.41688075310272,-1.11328156609246,-0.240488464473697,-0.54978243125867,-1.41489481522603,-0.0351142769756265,-0.42979005808396,NaN,NaN,-0.45759611836486,0.0254195314269682,-1.95442078552714,1.71013348691191,-0.190337839983997,1.29881576626706,-1.3893236490303,0.390615980533158,0.983365720036165,-1.51093979340625,-1.51093979340492,0.643370372254607,NaN,0.341421522311816,0.622233931609978,-1.2323120735572,-0.966406371901992,0.503691863696757,-0.616357445223662,-0.616357445223757,0.574445643680626,-0.574445643679464,-1.36034642094654
1051.0336,0.0343348782657479,-0.58693142023193,NaN,-0.219952344812115,0.849748612452463,0.849748612447667,NaN,NaN,0.268332707187934,0.214073105544905,NaN,-0.441968047614155,-0.710670606751966,-0.178823757850811,-0.726171120514007,-0.014755474992605,0.243404586817756,0.135121815778644,-1.10997009390692,-0.39772866218962,-1.10997009390666,-0.239522864982936,-0.557858817832049,-1.42672370813421,-0.0635758851807787,-0.392712564732299,NaN,NaN,-0.41402001805592,-0.00498472105459231,-1.97575577341859,1.73845467819396,-0.177092589561856,1.21767075897853,-1.31826921090633,0.354128562159653,0.944644622189589,-1.47807753820678,-1.47807753820543,0.588211953728667,NaN,0.331063221301291,0.583517110841474,-1.21440373981547,-0.996043137385547,0.445302385827245,-0.599623250043545,-0.599623250043603,0.562216388468848,-0.562216388467723,-1.3893667712671
1051.136,0.0685964129514406,-0.605156162534063,NaN,-0.23462647567776,0.848195973278377,0.848195973273573,NaN,NaN,0.284514128886292,0.238919726588452,NaN,-0.421365990742077,-0.719627361649959,-0.171671562243564,-0.731634480810647,-0.0764790388194709,0.313959543831313,0.10513361051962,-1.1057495609562,-0.378137803953297,-1.10574956095591,-0.238880926032401,-0.565212699492797,-1.43796681231081,-0.0931198245329551,-0.355465509290733,NaN,NaN,-0.37130029363851,-0.0354067589673312,-1.99757233833397,1.76664609812917,-0.164769142652612,1.13536374741068,-1.24542000379018,0.317715131827523,0.904879691395417,-1.44308278045217,-1.44308278045079,0.532750681935536,NaN,0.321418035394893,0.545131685585901,-1.19611050714418,-1.02460415771332,0.386049008715092,-0.581974276845755,-0.581974276845785,0.549901003701631,-0.549901003700555,-1.41819088290937
1051.2384,0.103888333255782,-0.624933675735223,NaN,-0.250172711112606,0.845698607688473,0.845698607683688,NaN,NaN,0.300028685584828,0.263004412498824,NaN,-0.40149507804088,-0.728177590044732,-0.164789541054374,-0.736828519052177,-0.137828768038343,0.384934360939402,0.0758591556861352,-1.10062865070124,-0.358163596072551,-1.10062865070092,-0.238589482583224,-0.571791740180686,-1.4485884442811,-0.123694903842824,-0.318091518405146,NaN,NaN,-0.32949992417427,-0.0658053642987822,-2.01985094240325,1.7946597837306,-0.153414595087462,1.05212563160392,-1.17095518450293,0.281497189369393,0.864115654957367,-1.40601879284934,-1.40601879284793,0.477105524382036,NaN,0.312500042773623,0.507151036939296,-1.17746748625213,-1.05203504639513,0.326079114667694,-0.563547075725453,-0.563547075725444,0.53753694283664,-0.537536942835605,-1.44678621223909
1051.3408,0.140117702322779,-0.64621933408676,NaN,-0.266548954564922,0.842244355485956,0.842244355481188,NaN,NaN,0.314865346723933,0.286252517242823,NaN,-0.382425814298265,-0.73630493144426,-0.158159179794975,-0.741730871512836,-0.198662978791969,0.456196780807567,0.0473859419455665,-1.09461653535937,-0.337860182160051,-1.09461653535902,-0.238674196552318,-0.577543706748476,-1.4585507603206,-0.155245684620442,-0.280634304894318,NaN,NaN,-0.288681004785371,-0.0961386365749625,-2.04256983914425,1.82244669333432,-0.14307447216173,0.96819007847735,-1.09505807776707,0.245596139536757,0.82239843820885,-1.36695235710108,-1.36695235709963,0.421393327315648,NaN,0.304320458622402,0.469646483612662,-1.15851019949486,-1.07828508157495,0.265540093234946,-0.544478633967127,-0.544478633967085,0.525160551615957,-0.525160551614963,-1.47512073579706
1051.4432,0.17718956254807,-0.668963855887133,NaN,-0.283710173786214,0.83782069963997,0.837820699635229,NaN,NaN,0.329013987601752,0.308589886361861,NaN,-0.364227353691942,-0.743993412371313,-0.151761964315246,-0.746319531864524,-0.258841052024259,0.527612993391765,0.0197992028567688,-1.08772297353882,-0.317280305935556,-1.08772297353843,-0.239159456834318,-0.58241674196701,-1.46781402223891,-0.18771276567582,-0.243138519309542,NaN,NaN,-0.248904695775803,-0.126364098399555,-2.06570512245181,1.84995678973227,-0.133792669486105,0.883792527640154,-1.01791549197099,0.210132701966771,0.779775163120109,-1.32595353363804,-1.32595353363657,0.365728371661076,NaN,0.296887536209084,0.432687018179975,-1.1392743734162,-1.10330727738618,0.204578795075279,-0.524905658027624,-0.524905658027564,0.512806759155601,-0.512806759154647,-1.50316283888961
1051.5456,0.215007296871575,-0.693113397118168,NaN,-0.301608644305487,0.832414874965553,0.832414874960825,NaN,NaN,0.342465263282638,0.329943086578178,NaN,-0.346967249524731,-0.751227644047149,-0.145579659304338,-0.750573142884872,-0.318224044490965,0.599048072415246,-0.0068185465254829,-1.07995840169058,-0.296475195735474,-1.07995840169017,-0.240068266873368,-0.586359660071908,-1.47633687675652,-0.221033097475302,-0.205649595627908,NaN,NaN,-0.210231166727502,-0.15643882849659,-2.08923077152252,1.87713911414266,-0.125611402341045,0.799169187681608,-0.939717018002687,0.175226323462446,0.736294126098416,-1.28309543195933,-1.28309543195783,0.310221941649115,NaN,0.290206468403396,0.396339061087768,-1.11979573761361,-1.12705843882123,0.143340986848514,-0.5049638733162,-0.504963873316123,0.500508785622614,-0.500508785621709,-1.53088123162332
1051.648,0.25347300308161,-0.718609673271593,NaN,-0.320194230614713,0.826013968223212,0.826013968218517,NaN,NaN,0.355210487530017,0.350239648081358,NaN,-0.330711206484925,-0.757993021998843,-0.139594605552554,-0.754471297298534,-0.376675297473209,0.670366407245369,-0.0323879711699699,-1.07133402289413,-0.275494474211038,-1.07133402289369,-0.241422111431602,-0.589322277566662,-1.48407665349295,-0.255140330807374,-0.168213596645292,NaN,NaN,-0.172719532288262,-0.186319626340349,-2.11311868645789,1.90394185020891,-0.118571157004599,0.714556027089328,-0.860654316151095,0.140994593404764,0.692004744024945,-1.23845398488123,-1.2384539848797,0.254981908327149,NaN,0.284279299155702,0.360666234746462,-1.1001098289805,-1.1494991952539,0.0819708009555981,-0.484787354445765,-0.484787354445676,0.48829786485768,-0.488297864856816,-1.55824489577768
1051.7504,0.292487875171538,-0.745390103960895,NaN,-0.339414702831135,0.818605020471828,0.818605020467163,NaN,NaN,0.367241522054571,0.369408311235324,NaN,-0.315522841970901,-0.764275928397333,-0.133790027490149,-0.757994845169656,-0.434061038534922,0.741432136082887,-0.056833368390224,-1.06186189189233,-0.254386102601502,-1.06186189189185,-0.243240794198135,-0.591255787999853,-1.49098967977285,-0.289965193354563,-0.130877056457711,NaN,NaN,-0.136427775799789,-0.215963199070522,-2.13733872148031,1.93031238759758,-0.112710639168391,0.630187767871069,-0.780920388680154,0.107552673192445,0.646957474988811,-1.19210771997746,-1.1921077199759,0.200112331926273,NaN,0.279104857781571,0.325729155303037,-1.08025179687805,-1.17059400935429,0.0206101929901991,-0.464507887169203,-0.464507887169089,0.476202982189097,-0.476202982188276,-1.58522305068788
