time,S1-D1,S1-D8,S1-D9,S1-D15,S2-D1,S2-D2,S2-D3,S2-D9,S3-D1,S3-D2,S3-D16,S4-D2,S4-D3,S4-D5,S5-D3,S5-D4,S5-D5,S6-D2,S6-D5,S6-D17,S7-D6,S7-D7,S8-D6,S8-D7,S8-D18,S9-D3,S9-D4,S9-D9,S9-D11,S9-D19,S10-D8,S10-D9,S10-D10,S10-D11,S11-D8,S11-D10,S11-D20,S12-D10,S12-D11,S12-D12,S13-D4,S13-D11,S13-D12,S14-D10,S14-D12,S14-D21,S15-D13,S15-D14,S16-D13,S16-D14,S16-D22
854.3232,0.302735016814223,0.963403813711624,0.938280179444999,-0.465714782347265,2.00707100506251,2.00707100506215,NaN,3.79584108732741,2.64226723449576,-2.40497201178366,0.665376279527988,-2.40497201178423,1.22733636430516,-1.30772093080231,0.237038185176782,NaN,2.48319190999296,1.62945421272795,-1.18156751888645,0.30096816272433,-1.18156751888528,0.156091556739295,3.41634223555678,2.89918639060825,-0.75276066470254,-1.64714881416864,NaN,1.55296681968217,-1.55296681968655,-0.83816349022095,-1.78540737471491,-2.94816296798048,-2.5357802839463,NaN,-1.22328237429755,-2.13202612903208,-0.068017555280662,0.295841252893777,0.295841252893838,-1.51964463227218,4.52173232392266,2.94589492224668,NaN,2.50658270549273,3.12567310005078,-1.62367588890535,3.68824429174636,3.68824429174616,0.985992906160632,-0.985992906160968,0.575338099594576
854.4256,0.28646515308394,0.963449298188984,0.928505613127439,-0.423316894314294,2.01275701507409,2.0127570150737,NaN,3.79816420889549,2.67167844310092,-2.3834422510093,0.676432446945638,-2.38344225100981,1.20104399121462,-1.28256398031908,0.230085691330677,NaN,2.44699586221297,1.61887847120278,-1.15881303887024,0.297372964234029,-1.15881303886908,0.159604610182788,3.40600862203615,2.8935218647966,-0.71407415020654,-1.61307425988331,NaN,1.53441965670006,-1.53441965670449,-0.802699896858744,-1.77971226865338,-2.94117117563101,-2.52909583941565,NaN,-1.24029230408975,-2.13045068383289,-0.0111812358912988,0.271870459999102,0.271870459999152,-1.45571694910659,4.43684944732378,2.95226653862515,NaN,2.5095659724576,3.12702121399837,-1.58784047831312,3.67861073976269,3.67861073976248,1.00021931206083,-1.00021931206116,0.617548384917011
854.528,0.270787656319819,0.964014374371784,0.919495819092296,-0.380364752142598,2.01857038986895,2.01857038986855,NaN,3.79927123100994,2.70010391452474,-2.36174730307579,0.687157732014388,-2.36174730307626,1.1742956563063,-1.25845868217061,0.222036494541303,NaN,2.41099545673487,1.60925234368319,-1.13464324470371,0.293751110175538,-1.13464324470257,0.163631879270513,3.39463273875859,2.88741056508207,-0.674790368974784,-1.57889090386326,NaN,1.51566630589771,-1.51566630590221,-0.766495859205475,-1.77513208177713,-2.93403703257193,-2.52284036066617,NaN,-1.25734071952069,-2.12842125110259,0.0455133474374199,0.248094260823828,0.248094260823866,-1.39192555260322,4.35069588340717,2.95682890369788,NaN,2.51103507530849,3.12682398698755,-1.5499358276222,3.66573938107305,3.66573938107284,1.01489754471977,-1.0148975447201,0.658286064638893
854.6304,0.255663344948393,0.965151081471345,0.911267994050298,-0.33686849869283,2.02458456578197,2.02458456578154,NaN,3.79918227038321,2.72750355517546,-2.33995756332553,0.697603569196879,-2.33995756332595,1.14709366803552,-1.23533637624316,0.212937697838272,NaN,2.37523875724808,1.60054031832548,-1.10900460096287,0.290091102989332,-1.10900460096175,0.168149371057706,3.38225309494523,2.88086510787459,-0.634906550035805,-1.54451193701449,NaN,1.49667467866342,-1.49667467866797,-0.729609190119612,-1.77167829634966,-2.92674029985286,-2.51700733764713,NaN,-1.27440318463908,-2.12587398849621,0.101947051345322,0.224539541973645,0.224539541973672,-1.32832705492934,4.26334180099761,2.95957018937855,NaN,2.51092840780645,3.12501635562998,-1.50995730577379,3.64962253215326,3.64962253215305,1.03005843488308,-1.0300584348834,0.697503423143257
854.7328,0.241055561962584,0.966911394304383,0.903840806436825,-0.292838210056853,2.03087071189221,2.03087071189177,NaN,3.79791700319715,2.75383767164734,-2.31814449735196,0.707822790363023,-2.31814449735233,1.11943943410575,-1.21312661241303,0.202836774970398,NaN,2.33976940449468,1.59270987186573,-1.08184568137472,0.286382438701885,-1.08184568137362,0.173134461855727,3.36890665229739,2.87389791818016,-0.594420133357475,-1.50984945055506,NaN,1.47741694815268,-1.47741694815727,-0.692096050580387,-1.7693600091835,-2.91925887064409,-2.51158807790509,NaN,-1.29145700972856,-2.12274494523262,0.158003400622388,0.201231840107559,0.201231840107564,-1.26497499347518,4.17485467411715,2.96048059081852,NaN,2.50918667970055,3.12153454908464,-1.46790493780678,3.63025516515418,3.63025516515398,1.04572943489276,-1.04572943489308,0.735158382534575
854.8352,0.22693032791454,0.969346921297583,0.897234251762428,-0.248284030611547,2.03749742763714,2.03749742763668,NaN,3.79549461440102,2.7790670456231,-2.29638050762018,0.717869554838775,-2.29638050762049,1.09133362260801,-1.19175734838528,0.19178158437447,NaN,2.30462651750429,1.58573133449706,-1.05311805448709,0.282615557946807,-1.05311805448602,0.178565967113529,3.35462868516168,2.86652117035515,-0.553328945332481,-1.47481500887382,NaN,1.45786979950888,-1.45786979951353,-0.654010956655244,-1.76818367989094,-2.91156881117884,-2.50657161484542,NaN,-1.3084812458335,-2.11897025149193,0.213568884069298,0.178195079066693,0.178195079066664,-1.20191988775542,4.08529933138253,2.95955228838068,NaN,2.50575313660949,3.11631648774554,-1.42378368083947,3.60763538609656,3.60763538609636,1.0619344779706,-1.06193447797091,0.771214542897246
854.9376,0.213256456524278,0.972508579444086,0.8914694673418,-0.203216319848217,2.04453042225842,2.04453042225794,NaN,3.79193374198261,2.80315299492685,-2.27473878425819,0.727799272545726,-2.27473878425845,1.06277629962933,-1.17115517160712,0.17982034635743,NaN,2.2698446322967,1.57957775361981,-1.02277715219987,0.278781826378597,-1.02277715219882,0.184424196475252,3.3394526450367,2.85874672084129,-0.511631377975879,-1.43932023564928,NaN,1.43801465520122,-1.43801465520593,-0.615406777439268,-1.76815289662077,-2.9036444190807,-2.50194463414117,NaN,-1.32545665505514,-2.11448630677781,0.268533270872242,0.155451304773524,0.155451304773486,-1.13920932201917,3.99473803952392,2.95677940703346,NaN,2.50057384598415,3.10930222153107,-1.37760371504396,3.58176499726316,3.58176499726297,1.07869386181139,-1.0786938618117,0.805641215056686
855.04,0.200005616558924,0.976446249788441,0.886568499351065,-0.157645800063698,2.05203217740843,2.05203217740794,NaN,3.7872524148509,2.8260574094057,-2.25329313224177,0.737668525369107,-2.25329313224197,1.03376702837244,-1.15124554868327,0.167001567898883,NaN,2.23545368377652,1.57422477538246,-0.990783094005379,0.274873532203463,-0.990783094004359,0.190690992070906,3.3234100339714,2.85058603506704,-0.469326562135005,-1.40327741058973,NaN,1.41783785857402,-1.41783785857878,-0.576334699759213,-1.76926816227477,-2.89545829437357,-2.49769141692638,NaN,-1.34236565244901,-2.10922996588312,0.322789969711512,0.133020412257829,0.133020412257763,-1.07688805777331,3.90323063864052,2.95215798762944,NaN,2.49359802149846,3.10043440260587,-1.32938073514102,3.55265013159866,3.55265013159849,1.09602415291294,-1.09602415291325,0.838413446253081
855.1424,0.187152348416209,0.981208421230273,0.882554033409745,-0.111583701300309,2.06006160176154,2.06006160176104,NaN,3.78146798993886,2.84774277009156,-2.23211776838983,0.747534989409062,-2.23211776838998,1.00430494346206,-1.13195309118171,0.153373934564137,NaN,2.20147902553672,1.56965055176908,-0.957101450279338,0.270883882560837,-0.957101450278358,0.197349752206832,3.30653029041199,2.84205011309501,-0.426414535387252,-1.36660007663685,NaN,1.39733080150684,-1.39733080151164,-0.536844170621785,-1.77152669548972,-2.88698141976986,-2.49379379516858,NaN,-1.35919222123397,-2.10313871964453,0.376236419507178,0.110919864936521,0.110919864936426,-1.01499816740579,3.81083472193216,2.94568597644112,NaN,2.48477837458371,3.08965878369752,-1.27913623281025,3.520301951957,3.52030195195684,1.11393811123759,-1.11393811123789,0.86951203052181
855.2448,0.17467406094499,0.986841830475294,0.879449110224024,-0.0650419095504458,2.06867368879875,2.06867368879824,NaN,3.77459709726727,2.86817217355431,-2.2112870896558,0.757457356028596,-2.21128708965588,0.974388832217277,-1.11320182541525,0.13898620602351,NaN,2.16794147249077,1.56583566505403,-0.921703960730211,0.266806989743454,-0.921703960729271,0.204385444827766,3.2888406880904,2.83314941790366,-0.382896414409622,-1.32920365607886,NaN,1.37649000159277,-1.3764900015976,-0.496982855586067,-1.77492224066012,-2.87818325227667,-2.49023111778009,NaN,-1.3759218119527,-2.09615087079104,0.428774473303008,0.0891644167448557,0.0891644167447449,-0.953579177573865,3.7176058440887,2.93736323313449,NaN,2.47407150764027,3.07692473388526,-1.22689776122561,3.48473738180433,3.48473738180419,1.132444630216,-1.1324446302163,0.898923496059877
