time,S1-D1,S1-D8,S1-D9,S1-D15,S2-D1,S2-D2,S2-D3,S2-D9,S3-D1,S3-D2,S3-D16,S4-D2,S4-D3,S4-D5,S5-D3,S5-D4,S5-D5,S6-D2,S6-D5,S6-D17,S7-D6,S7-D7,S8-D6,S8-D7,S8-D18,S9-D3,S9-D4,S9-D9,S9-D11,S9-D19,S10-D8,S10-D9,S10-D10,S10-D11,S11-D8,S11-D10,S11-D20,S12-D10,S12-D11,S12-D12,S13-D4,S13-D11,S13-D12,S14-D10,S14-D12,S14-D21,S15-D13,S15-D14,S16-D13,S16-D14,S16-D22,SART_Target,SART_NonTarget,SART_Probe,t_rel_s,eye_n,xp,yp,ps,xpl_i,xpr_i,ypl_i,ypr_i,psl_i,psr_i,blink_prop
2406.2976,3.43625283871179e-08,9.57387930853397e-08,1.30101321472675e-07,-1.08581694226781e-07,-4.50091160594501e-09,-4.50091160627518e-09,,-8.72788905220138e-07,-1.59425763686446e-06,-6.33245055565702e-08,-2.01488771347701e-08,-6.33245055568228e-08,-6.65982481734592e-08,1.77706927678639e-07,1.11108679505173e-07,,,-5.33750262382943e-07,-2.39651698531817e-07,-5.68760121699071e-07,-2.39651698531997e-07,2.51477743848068e-07,3.08254289776085e-07,5.59732033623809e-07,1.67112750667165e-07,1.0598203864402e-07,,,4.55178386093746e-07,1.37064739461305e-07,4.43539966487261e-07,-4.03137320222361e-07,4.04026462649751e-08,-2.54954653205404e-08,1.80036199427087e-07,1.54540734106741e-07,-5.31638948903414e-08,1.64671568059136e-07,1.64671568059712e-07,,,-1.51280131985009e-07,,1.73716322986809e-07,1.06409184531684e-07,3.71701181375977e-08,1.84983503439346e-07,1.84983503439222e-07,-2.06146485203073e-07,2.06146485202986e-07,1.32225993413489e-07,1,0,0,0,103,866.055339805825,469.808737864078,2110.50970873786,836.426213592233,895.684466019418,467.911650485437,471.705825242719,2161.87378640777,2059.14563106796,0
2406.4,3.59847112793921e-08,1.09127335429556e-07,1.45112046709175e-07,-1.07870331543588e-07,-3.62134110697744e-09,-3.6213411073136e-09,,-8.6718012027875e-07,-1.54792156386519e-06,-7.42780071118791e-08,-1.25181018338598e-08,-7.42780071121313e-08,-8.72788849419281e-08,1.88124916735822e-07,1.00846031793886e-07,,,-5.55495684510477e-07,-2.57122678992996e-07,-5.93069836640637e-07,-2.57122678993175e-07,2.18755029703363e-07,2.89059123661602e-07,5.07814153364631e-07,1.67934250621795e-07,9.57790901759251e-08,,,4.57714183347242e-07,1.47499013387385e-07,4.80381568009723e-07,-4.40072463805012e-07,4.0309104204779e-08,-1.54383213302801e-08,1.78942706922797e-07,1.63504385592715e-07,-2.88045955299357e-08,1.40621260027384e-07,1.40621260027962e-07,,,-1.31855723507856e-07,,1.69249244273122e-07,1.13001608476383e-07,2.02955229159679e-08,1.91576138639907e-07,1.9157613863978e-07,-2.10840932649077e-07,2.10840932648987e-07,1.2554351806257e-07,1,0,0,0.102400000000216,102,901.98137254902,501.039705882353,2116.34803921569,878.907843137255,925.054901960784,502.732352941177,499.34705882353,2168.03921568627,2064.6568627451,0
2406.5024,3.4751438042605e-08,1.24615874865439e-07,1.59367312908281e-07,-1.08563972846089e-07,-2.27119254046879e-09,-2.27119254081049e-09,,-8.59247529341419e-07,-1.49852733157415e-06,-8.53069064220305e-08,-4.34506534885606e-09,-8.53069064222819e-08,-1.05763784108186e-07,1.97181818935082e-07,9.14180348268875e-08,,,-5.80171822254536e-07,-2.74913835610218e-07,-6.14755997590502e-07,-2.74913835610398e-07,1.84489289220644e-07,2.6746927141005e-07,4.51958560630371e-07,1.65247872296972e-07,8.51322107038386e-08,,,4.58895419756757e-07,1.60018432693848e-07,5.19671510415994e-07,-4.78124630539819e-07,4.15468798762344e-08,-5.44525041214338e-09,1.78020635261167e-07,1.72575384849225e-07,2.08486381838962e-09,1.14444672573358e-07,1.14444672573937e-07,,,-1.14615947290933e-07,,1.64708992976224e-07,1.2045860444198e-07,1.66059552809849e-09,1.97608218915775e-07,1.97608218915645e-07,-2.14357669894799e-07,2.14357669894708e-07,1.17673642632475e-07,1,0,0,0.204799999999977,103,958.265533980583,539.840776699029,2115.00485436893,949.172815533981,967.358252427185,538.507766990291,541.173786407767,2162.45631067961,2067.55339805825,0
2406.6048,3.08405866071748e-08,1.41229083514181e-07,1.72069670121603e-07,-1.10780333919031e-07,-4.42075969769549e-10,-4.42075970116234e-10,,-8.49394470342361e-07,-1.45009329109556e-06,-9.60978727933001e-08,4.12741027683394e-09,-9.60978727935504e-08,-1.21178484199296e-07,2.04269723600811e-07,8.30912394015055e-08,,,-6.06148839317872e-07,-2.92176382582541e-07,-6.32608767199103e-07,-2.92176382582719e-07,1.49600130650879e-07,2.44683564756362e-07,3.94283695406929e-07,1.59293029962111e-07,7.44660908111733e-08,,,4.58519963375895e-07,1.73771453669272e-07,5.59015836862657e-07,-5.14896427470097e-07,4.41194093926104e-08,4.16822848373397e-09,1.77360730526765e-07,1.81528959010703e-07,3.64448152187121e-08,8.72139636218086e-08,8.72139636223884e-08,,,-1.00081476751837e-07,,1.59811234221941e-07,1.28318211479999e-07,-1.75197550351508e-08,2.02954989101949e-07,2.02954989101817e-07,-2.16697159244498e-07,2.16697159244405e-07,1.09440103588574e-07,0,0,0,0.307200000000194,102,958.239215686275,536.302941176471,2117.26960784314,951.638235294118,964.840196078431,536.637254901961,535.96862745098,2162.16666666667,2072.37254901961,0
2406.7072,2.48637631717215e-08,1.57737372563922e-07,1.82601135735901e-07,-1.14479412813864e-07,1.83299118793092e-09,1.8329911875801e-09,,-8.37734379092844e-07,-1.40570552212673e-06,-1.06355719148457e-07,1.25806955590486e-08,-1.06355719148705e-07,-1.33097015677586e-07,2.09151698467362e-07,7.60546827897674e-08,,,-6.3136749169305e-07,-3.07993768612395e-07,-6.45474320015489e-07,-3.07993768612572e-07,1.14736313642698e-07,2.2185249403907e-07,3.36588807681466e-07,1.50327211852867e-07,6.42707086640241e-08,,,4.56452110447796e-07,1.87898859182884e-07,5.95522415559336e-07,-5.47573226766239e-07,4.79491887931395e-08,1.31308614968847e-08,1.77017567531627e-07,1.90148429028718e-07,7.10180148375788e-08,6.00401084636895e-08,6.00401084642705e-08,,,-8.87048453305254e-08,,1.54361658415423e-07,1.361092230964e-07,-3.62061906703592e-08,2.07587753510863e-07,2.07587753510728e-07,-2.18006355778621e-07,2.18006355778527e-07,1.01641267682881e-07,0,0,0,0.409599999999955,103,958.891747572816,536.290291262136,2116.79611650485,956.673786407767,961.109708737864,538.152427184466,534.428155339806,2160.41747572816,2073.17475728155,0
2406.8096,1.77414885778846e-08,1.72818378443916e-07,1.90559867022066e-07,-1.19464713943643e-07,4.51084398202884e-09,4.51084398167488e-09,,-8.24146695927592e-07,-1.3673512360476e-06,-1.15824189809245e-07,2.06485411227401e-08,-1.15824189809492e-07,-1.41533287387555e-07,2.11885287233717e-07,7.03519998461528e-08,,,-6.536105376043e-07,-3.21450007099303e-07,-6.52245862086935e-07,-3.21450007099477e-07,8.02803865640916e-08,2.00028673063312e-07,2.80309059627111e-07,1.38674754060216e-07,5.50100122901435e-08,,,4.52624792526977e-07,2.01561871105323e-07,6.26232558294776e-07,-5.73281537356245e-07,5.29510209385657e-08,2.12200255458004e-08,1.76982995499391e-07,1.98203021045399e-07,1.02702828488805e-07,3.40103689399286e-08,3.40103689405108e-08,,,-8.08254576002596e-08,,1.48290094181364e-07,1.43412335882799e-07,-5.36441974111687e-08,2.1157500546027e-07,2.11575005460134e-07,-2.18534122808546e-07,2.1853412280845e-07,9.50037564259739e-08,0,0,0,0.512000000000171,102,959.105882352941,534.416666666667,2109.47058823529,957.890196078431,960.321568627451,538.625490196078,530.207843137255,2149.75490196078,2069.1862745098,0
2406.912,1.05161610923996e-08,1.85240307784461e-07,1.95756468877134e-07,-1.25413013570236e-07,7.56975529311114e-09,7.56975529275532e-09,,-8.08407905057413e-07,-1.3360470668114e-06,-1.24309916278637e-07,2.79531153139254e-08,-1.24309916278882e-07,-1.46848610455979e-07,2.1268607177792e-07,6.58374613219309e-08,,,-6.70803337853761e-07,-3.31715060340676e-07,-6.51896561451466e-07,-3.31715060340848e-07,4.63999485474519e-08,1.80147396679987e-07,2.26547345227154e-07,1.24798226221788e-07,4.70344596552804e-08,,,4.4704398553588e-07,2.13962564356175e-07,6.48532637065002e-07,-5.8948150404129e-07,5.90511330237403e-08,2.82549430992772e-08,1.77176110088797e-07,2.05431053188283e-07,1.28906084702679e-07,1.00792914194932e-08,1.0079291420078e-08,,,-7.66181356122827e-08,,1.41647613455485e-07,1.49890868294402e-07,-6.94016704902107e-08,2.15054594838997e-07,2.1505459483886e-07,-2.18566643872516e-07,2.1856664387242e-07,9.01461024664312e-08,0,0,0,0.614399999999932,102,961.282066631962,534.047683498178,2120.23125976054,958.696078431372,963.868054832552,552.322549019608,515.772817976748,2113.90196078431,2126.56055873677,0.274509803921569
2407.0144,4.15928568290438e-09,1.9402232956042e-07,1.98181615243603e-07,-1.31923372177855e-07,1.10226436337947e-08,1.10226436334384e-08,,-7.90331793676918e-07,-1.31211622109769e-06,-1.31707377203116e-07,3.41439073540463e-08,-1.31707377203359e-07,-1.4962232400893e-07,2.11809444078539e-07,6.21871200695991e-08,,,-6.81271234962261e-07,-3.38133536768656e-07,-6.435805188318e-07,-3.38133536768825e-07,1.3126385658097e-08,1.63012839752897e-07,1.76139225410714e-07,1.09342959329555e-07,4.05330371437091e-08,,,4.39796112545892e-07,2.24363722068541e-07,6.60463039691445e-07,-5.94305765592641e-07,6.61572740988275e-08,3.40936361013079e-08,1.77456055136839e-07,2.11549691238355e-07,1.4780883441808e-07,-1.10462104181931e-08,-1.10462104176046e-08,,,-7.60495160605592e-08,,1.34581827628657e-07,1.55298084592329e-07,-8.33394679117278e-08,2.18195289449173e-07,2.18195289449037e-07,-2.18360343248931e-07,2.18360343248836e-07,8.75455245642705e-08,0,0,0,0.716800000000148,103,957.935394496098,616.232614540159,1942.92240767708,953.927426160338,961.943362831858,621.796202531646,610.669026548673,1951.91561181435,1933.92920353982,1
2407.1168,-5.96425531312528e-10,1.985547448367e-07,1.9795831930567e-07,-1.38583947788084e-07,1.49020608476145e-08,1.49020608472593e-08,,-7.69864154847123e-07,-1.29543176572815e-06,-1.38016344892273e-07,3.89441790311536e-08,-1.38016344892514e-07,-1.50521798164186e-07,2.09502737589331e-07,5.89809394251332e-08,,,-6.83911902063037e-07,-3.40299891014469e-07,-6.26804483413502e-07,-3.40299891014634e-07,-1.95517422389694e-08,1.49251662907054e-07,1.29699920667807e-07,9.31135016958721e-08,3.55348662026373e-08,,,4.31044883637237e-07,2.32126566791119e-07,6.60891506442462e-07,-5.86785003194112e-07,7.41065032483693e-08,3.86415233064379e-08,1.77653147527259e-07,2.16294670833905e-07,1.58488907527374e-07,-2.89835673176123e-08,-2.89835673170188e-08,,,-7.88379371017201e-08,,1.27297331704353e-07,1.59474516790377e-07,-9.55416796178351e-08,2.21160139747066e-07,2.2116013974693e-07,-2.18087946278568e-07,2.18087946278475e-07,8.74968898544424e-08,0,0,0,0.81919999999991,102,962.054495788644,596.959333191661,1882.40101484005,959.670344171424,964.438647405865,605.011677835691,588.906988547632,1897.83031356002,1866.97171612008,0.0490196078431373
2407.2192,-3.38752002617102e-09,1.98677700047296e-07,1.9529018002141e-07,-1.45050841418678e-07,1.92217061326492e-08,1.92217061322964e-08,,-7.47114613420356e-07,-1.28552748907707e-06,-1.43342487476225e-07,4.22051398894274e-08,-1.43342487476464e-07,-1.50195891544287e-07,2.06029113437379e-07,5.58332218930796e-08,,,-6.78279913780673e-07,-3.38107892921696e-07,-6.01637525159555e-07,-3.38107892921857e-07,-5.15957470425358e-08,1.39224729163708e-07,8.76289821208936e-08,7.69748061935237e-08,3.19436722173959e-08,,,4.21008363039394e-07,2.36779667547241e-07,6.49561010625347e-07,-5.66946538417067e-07,8.26144722082972e-08,4.18675779325807e-08,1.77605991718656e-07,2.19473569651442e-07,1.60909755035957e-07,-4.36898398743215e-08,-4.36898398737215e-08,,,-8.44183735476212e-08,,1.2000291632051e-07,1.62344497054096e-07,-1.06230020156408e-07,2.24073606282704e-07,2.24073606282569e-07,-2.17807610384022e-07,2.17807610383931e-07,9.00638021102582e-08,0,0,0,0.921600000000126,103,966.515048543689,481.031553398058,2010.16990291262,970.295145631068,962.734951456311,484.901941747573,477.161165048544,2050.14563106796,1970.19417475728,0
