time,S1-D1,S1-D8,S1-D9,S1-D23,S2-D1,S2-D2,S2-D3,S2-D9,S2-D15,S3-D1,S3-D2,S3-D24,S4-D2,S4-D3,S4-D5,S4-D16,S5-D3,S5-D4,S5-D5,S5-D17,S6-D2,S6-D5,S6-D25,S7-D6,S7-D7,S7-D18,S8-D6,S8-D7,S8-D26,S9-D3,S9-D4,S9-D9,S9-D11,S9-D27,S10-D8,S10-D9,S10-D10,S10-D11,S10-D19,S11-D8,S11-D10,S11-D28,S12-D10,S12-D11,S12-D12,S12-D20,S13-D4,S13-D11,S13-D12,S13-D21,S14-D10,S14-D12,S14-D29,S15-D13,S15-D14,S15-D22,S16-D13,S16-D14,S16-D30,SART_Target,SART_NonTarget,SART_Probe,t_rel_s,eye_n,xp,yp,ps,xpl_i,xpr_i,ypl_i,ypr_i,psl_i,psr_i,blink_prop
1908.736,5.41026369015946e-07,-2.06507309065308e-07,3.34519059951338e-07,9.56903184750484e-07,-2.34049094030059e-07,-2.34049094029912e-07,,-2.55778220200436e-07,,-6.18144787152866e-07,1.70251835794801e-07,-6.18144787152249e-07,1.45140124201376e-07,-6.52833891187652e-08,,,,1.61431323719998e-07,,,1.50430409071608e-06,4.33328592670363e-07,,2.23100695573269e-07,9.29905013032773e-06,,-1.43631364331904e-05,5.0245850065877e-08,-5.02458500658164e-08,9.09949604796402e-07,2.52125550012039e-08,,3.42896259434374e-08,-2.71707300885976e-07,2.78332945667104e-07,6.62564478067673e-09,1.27837467538784e-07,,,-1.21700157060719e-07,-1.56099166698266e-07,-2.77799323758934e-07,1.01956146204252e-06,-1.90888537529326e-06,,,1.44513581141583e-05,2.62674852867407e-05,,,1.30332080823663e-06,-2.79191086799434e-07,,-3.53739048577445e-09,6.44247820289433e-07,,5.4966962013824e-07,-3.60223312984784e-05,1.83547673750669e-05,0,0,0,1.02400000000011,102,980.316176470588,559.25,2473.76470588235,987.785294117647,972.847058823529,534.275490196079,584.224509803922,2263.96078431373,2683.56862745098,0
1908.8384,5.27811926571145e-07,-1.99132820738298e-07,3.28679105833524e-07,8.87311816926027e-07,-2.30444671518043e-07,-2.30444671517857e-07,,-2.45821298153721e-07,,-6.29515938593785e-07,1.48883087909997e-07,-6.29515938593132e-07,1.43506251978682e-07,-5.7546956663493e-08,,,,1.71565908720225e-07,,,1.50752582751789e-06,4.58475218109887e-07,,2.3101853580302e-07,8.70964238633354e-06,,-1.32134477005329e-05,4.56372222399193e-08,-4.56372222397981e-08,7.99817696337228e-07,1.07288334535011e-09,,1.296265083825e-08,-3.39123661831604e-07,3.20008273259734e-07,-1.91153885722437e-08,6.50992296444515e-08,,,-1.30728682963167e-07,-1.52584933934573e-07,-2.83313616897677e-07,8.74844678537013e-07,-1.81518649784765e-06,,,1.44432631969035e-05,2.32387738401197e-05,,,1.21927600520816e-06,-2.53678607254466e-07,,2.25410366509196e-09,7.49721416668829e-07,,5.44563266297197e-07,-3.31032900044687e-05,1.68008669424723e-05,0,0,0,1.1264000000001,102,979.088235294118,556.391176470588,2504.77941176471,988.151960784314,970.024509803922,532.579411764706,580.202941176471,2289.24509803922,2720.3137254902,0
1908.9408,5.10126924207132e-07,-1.89922631412027e-07,3.20204292795757e-07,8.13408322986745e-07,-2.24143622669744e-07,-2.24143622669514e-07,,-2.37907123324245e-07,,-6.31423437304942e-07,1.27774171152645e-07,-6.31423437304249e-07,1.39737878951426e-07,-4.74178065671643e-08,,,,1.80534071254839e-07,,,1.50006901777181e-06,4.80961072899395e-07,,2.3625724354628e-07,8.14870901935374e-06,,-1.21082112437935e-05,3.81444560479465e-08,-3.81444560477575e-08,6.82179232610278e-07,-2.39695301555588e-08,,-6.13237785781907e-09,-4.02572342695214e-07,3.68239142349989e-07,-3.43332003455098e-08,-3.07144628257222e-09,,,-1.44508343608863e-07,-1.43408076618839e-07,-2.87916420227623e-07,6.70431953117004e-07,-1.65848351289942e-06,,,1.44311270623411e-05,2.02233588947836e-05,,,1.14410943799307e-06,-2.26709808257486e-07,,9.33525841808295e-09,8.31436473508491e-07,,5.40579785036853e-07,-3.02130600071613e-05,1.51827074881285e-05,0,1,0,1.22880000000009,103,979.273786407767,554.558737864078,2550.05825242718,988.704854368932,969.842718446602,533.47572815534,575.641747572816,2323.61165048544,2776.50485436893,0
1909.0432,4.89498732726934e-07,-1.79455225278127e-07,3.10043507449435e-07,7.38831730757561e-07,-2.15544531097833e-07,-2.15544531097559e-07,,-2.32004151321877e-07,,-6.24142706307463e-07,1.0791359874709e-07,-6.24142706306725e-07,1.34263807322766e-07,-3.53687419779701e-08,,,,1.8793287081532e-07,,,1.48244413035434e-06,4.9915212444246e-07,,2.38586915924462e-07,7.64744310030639e-06,,-1.10977353622975e-05,2.80428279415593e-08,-2.80428279413004e-08,5.63429597036894e-07,-4.89522590828023e-08,,-2.22504763910341e-08,-4.59475653597678e-07,4.21645462201623e-07,-3.78301913962458e-08,-7.36303882584245e-08,,,-1.62578416164425e-07,-1.28812281316552e-07,-2.91390697480882e-07,4.16664031574287e-07,-1.44849904256101e-06,,,1.44133899614787e-05,1.73557201171657e-05,,,1.07640375602247e-06,-1.99259052736477e-07,,1.80990264033138e-08,8.90961595340575e-07,,5.38077541549202e-07,-2.75058278944639e-05,1.35928361938434e-05,0,1,0,1.33120000000008,102,978.357843137255,551.48137254902,2612,987.348039215686,969.367647058824,531.239215686275,571.723529411765,2385.50980392157,2838.49019607843,0
1909.1456,4.67613296585363e-07,-1.68474311409659e-07,2.99138985176312e-07,6.67338253612214e-07,-2.05300454274358e-07,-2.05300454274043e-07,,-2.27735295504732e-07,,-6.08755610697586e-07,9.01331678228214e-08,-6.08755610696808e-07,1.27746729151332e-07,-2.21494062602207e-08,,,,1.93211952774312e-07,,,1.45461542004361e-06,5.11635953904997e-07,,2.37648118245742e-07,7.22796577529427e-06,,-1.02143408790874e-05,1.59211974506528e-08,-1.59211974503256e-08,4.49993232854534e-07,-7.29893766153387e-08,,-3.49464715617922e-08,-5.07378970867378e-07,4.78197311921611e-07,-2.9181658945868e-08,-1.43673193891688e-07,,,-1.84191647076379e-07,-1.09597004851405e-07,-2.93788651927674e-07,1.27956952841099e-07,-1.20034802935191e-06,,,1.43865848116415e-05,1.47429406817308e-05,,,1.01387807184265e-06,-1.72300214328505e-07,,2.87463124274041e-08,9.3095745408613e-07,,5.37041333753314e-07,-2.51028334481551e-05,1.21160398627484e-05,0,1,0,1.43360000000007,103,977.552912621359,549.78786407767,2680.03883495146,985.471844660194,969.633980582524,528.132038834951,571.443689320388,2463.80582524272,2896.27184466019,0
1909.248,4.46037818910409e-07,-1.57755136305577e-07,2.88282682605419e-07,6.02324767954614e-07,-1.94174992241499e-07,-1.94174992241148e-07,,-2.24470303963832e-07,,-5.8692960457527e-07,7.50256303480515e-08,-5.86929604574457e-07,1.20955511851543e-07,-8.65852353888442e-09,,,,1.95685409568058e-07,,,1.41578519708459e-06,5.17470564142753e-07,,2.33009462577274e-07,6.90018793510384e-06,,-9.46883135486469e-06,2.59250707782328e-09,-2.59250707743297e-09,3.47598608578358e-07,-9.53231547667338e-08,,-4.40794485803438e-08,-5.44051690792132e-07,5.35389158773107e-07,-8.66253201904601e-09,-2.10611754714564e-07,,,-2.08438130534972e-07,-8.6928050539443e-08,-2.95366181074291e-07,-1.78932671619661e-07,-9.31753698837922e-07,,,1.434703415384e-05,1.24556709903292e-05,,,9.54267095298531e-07,-1.46708722042657e-07,,4.12549054881698e-08,9.5506574221362e-07,,5.37243829582782e-07,-2.30803950339846e-05,1.08210427340729e-05,0,0,0,1.53600000000006,102,973.950980392157,550.995588235294,2738.41666666667,979.574509803922,968.327450980392,528.440196078431,573.550980392157,2537.93137254902,2938.90196078431,0
1909.3504,4.25948778348227e-07,-1.47933595096671e-07,2.78015183252124e-07,5.46450618041619e-07,-1.82851203298848e-07,-1.82851203298469e-07,,-2.21416980039923e-07,,-5.60487233622809e-07,6.29054545069232e-08,-5.60487233621967e-07,1.14622799042868e-07,4.24227551621095e-09,,,,1.94605272844404e-07,,,1.36430756101894e-06,5.16343021493628e-07,,2.24247490733166e-07,6.66044873256026e-06,,-8.84987316561432e-06,-1.10569151573516e-08,1.10569151577976e-08,2.60692232299637e-07,-1.15380182428367e-07,,-4.97669050516518e-08,-5.67570710804221e-07,5.90524896417735e-07,2.29541856135562e-08,-2.72374210749944e-07,,,-2.34400894764184e-07,-6.20571020472256e-08,-2.96457996811276e-07,-4.87318977680802e-07,-6.59621915689545e-07,,,1.42923098348846e-05,1.05238603893063e-05,,,8.96197165937443e-07,-1.2315911390171e-07,,5.53972259718829e-08,9.67633964837687e-07,,5.38415575460429e-07,-2.14637653969569e-05,9.75411800718082e-06,0,0,0,1.63840000000005,102,972.529901960784,550.659803921569,2769.03431372549,976.63137254902,968.428431372549,527.010784313726,574.308823529412,2580.36274509804,2957.70588235294,0
1909.4528,4.07919496322722e-07,-1.39351222824521e-07,2.68568273498753e-07,5.01306145170525e-07,-1.71750247037255e-07,-1.71750247036859e-07,,-2.17702093930798e-07,,-5.30898897132592e-07,5.38102608239099e-08,-5.30898897131731e-07,1.09321735875197e-07,1.59269208951192e-08,,,,1.89316793506e-07,,,1.29788441509977e-06,5.08611228467035e-07,,2.11040894320596e-07,6.49226969932846e-06,,-8.3250754085668e-06,-2.42403613208115e-08,2.42403613213036e-08,1.91985913837296e-07,-1.32807208616473e-07,,-5.22771554404383e-08,-5.7636906053539e-07,6.41079932955731e-07,6.47108724204274e-08,-3.27681777457785e-07,,,-2.61355863041899e-07,-3.60073810659267e-08,-2.97363244107685e-07,-7.83563872632921e-07,-3.96555258483949e-07,,,1.42227376840062e-05,8.93481115663943e-06,,,8.39843101707561e-07,-1.0205959681359e-07,,7.07837844907623e-08,9.7318655672933e-07,,5.40375905567129e-07,-2.02252642447518e-05,8.93461580630545e-06,0,0,0,1.74080000000004,103,979.35,542.645631067961,2767.29126213592,983.836893203883,974.863106796117,514.865048543689,570.426213592233,2580.90291262136,2953.67961165049,0
1909.5552,3.91837196434859e-07,-1.31978342864902e-07,2.59858853570496e-07,4.67167762767109e-07,-1.60931389357743e-07,-1.6093138935734e-07,,-2.12471741463528e-07,,-4.98936673395461e-07,4.7522532692537e-08,-4.9893667339459e-07,1.05395423870436e-07,2.61321482040032e-08,,,,1.7944715224685e-07,,,1.21407809064912e-06,4.9523203794319e-07,,1.93260774732659e-07,6.36928864894613e-06,,-7.84413986341877e-06,-3.63993633419558e-08,3.63993633424841e-08,1.42170424250961e-07,-1.4748462343568e-07,,-5.19125459549971e-08,-5.69309471183856e-07,6.85025832821824e-07,1.15716361638075e-07,-3.76290080981522e-07,,,-2.88937926195428e-07,-9.32668430397969e-09,-2.98264610499264e-07,-1.05971390560971e-06,-1.48258934378291e-07,,,1.41427968818196e-05,7.63411774534962e-06,,,7.87131815949372e-07,-8.35578012794655e-08,,8.69101223754421e-08,9.75664378323864e-07,,5.43140215880834e-07,-1.92879657741558e-05,8.35343008704971e-06,0,0,0,1.84320000000002,102,979.230392156863,545.235784313726,2766.13235294118,981.977450980392,976.483333333333,520.129411764706,570.342156862745,2574.76470588235,2957.5,0
1909.6576,3.76975284628222e-07,-1.25437042192205e-07,2.51538242436543e-07,4.4298708417882e-07,-1.50104449984137e-07,-1.50104449983737e-07,,-2.05022423634595e-07,,-4.64638049850891e-07,4.36051701123681e-08,-4.64638049850018e-07,1.02945227932123e-07,3.49615282635499e-08,,,,1.6505636336625e-07,,,1.11105161653903e-06,4.77594188263838e-07,,1.71038326328791e-07,6.26009912331224e-06,,-7.34541581087331e-06,-4.72476032658929e-08,4.72476032664478e-08,1.09931692534038e-07,-1.59535141954326e-07,,-4.89520872657462e-08,-5.45839124756643e-07,7.2100624378496e-07,1.75167119028423e-07,-4.19012773018191e-07,,,-3.17171681365826e-07,1.79939695314177e-08,-2.99177711834267e-07,-1.3146493078335e-06,8.72189006007913e-08,,,1.40617684638354e-05,6.53290873183091e-06,,,7.41421627464462e-07,-6.76173134574613e-08,,1.03195638078499e-07,9.77717110761673e-07,,5.47015453342516e-07,-1.85378869059583e-05,7.97612769272943e-06,0,0,0,1.94560000000001,103,980.997572815534,545.893203883495,2743.06310679612,983.310679611651,978.684466019418,522.294174757282,569.492233009709,2549.69902912621,2936.42718446602,0
