time,S1-D1,S1-D8,S1-D9,S1-D23,S2-D1,S2-D2,S2-D3,S2-D9,S2-D15,S3-D1,S3-D2,S3-D24,S4-D2,S4-D3,S4-D5,S4-D16,S5-D3,S5-D4,S5-D5,S5-D17,S6-D2,S6-D5,S6-D25,S7-D6,S7-D7,S7-D18,S8-D6,S8-D7,S8-D26,S9-D3,S9-D4,S9-D9,S9-D11,S9-D27,S10-D8,S10-D9,S10-D10,S10-D11,S10-D19,S11-D8,S11-D10,S11-D28,S12-D10,S12-D11,S12-D12,S12-D20,S13-D4,S13-D11,S13-D12,S13-D21,S14-D10,S14-D12,S14-D29,S15-D13,S15-D14,S15-D22,S16-D13,S16-D14,S16-D30,SART_Target,SART_NonTarget,SART_Probe,t_rel_s,eye_n,xp,yp,ps,xpl_i,xpr_i,ypl_i,ypr_i,psl_i,psr_i,blink_prop
1907.712,-3.50494002552346e-05,8.9500342360348e-08,-8.95003423599019e-08,4.86827925825761e-07,4.02767558372667e-07,1.76499532896053e-07,,-5.31885361981176e-06,,1.65660624674047e-06,-2.50454609531653e-07,3.33088520269274e-08,3.33088520270755e-08,5.40486977966292e-07,,,,-3.88340539235971e-06,,,1.65563444872177e-07,2.48818858850927e-07,,2.13284938305892e-08,5.75522223581257e-07,,-3.36591104765715e-08,-9.99832739791401e-07,-1.10224576247674e-07,3.91508588524082e-07,-1.10224576247772e-07,,1.55103949630163e-07,1.11077879882931e-07,5.22283763728602e-07,-5.22283763729326e-07,-1.73566947644182e-07,,,-2.14135287564131e-07,-3.77043183097475e-07,-7.22264887041296e-08,-4.49269671801543e-07,-2.23672435747693e-07,,,-2.48852042662663e-08,1.58635511114899e-07,,,-1.30515411663089e-06,1.10284037235458e-07,,-6.33549998489319e-07,6.9461413459025e-07,,9.48653117560049e-06,1.70151691908382e-05,-5.16327058834029e-07,0,1,0,0,103,1196.16019417476,571.221844660194,2281.65048543689,1181.58932038835,1210.73106796117,557.431067961165,585.012621359223,2100.79611650485,2462.50485436893,0
1907.8144,-3.59197705769114e-05,1.01233544881216e-07,-1.01233544880793e-07,5.60911700543709e-07,4.50756799462855e-07,1.54151437385787e-07,,-6.24628841817936e-06,,1.69791027096561e-06,-2.60818127237977e-07,2.31424183184193e-08,2.31424183185794e-08,5.30771307115943e-07,,,,-4.31389627362662e-06,,,1.7508291584007e-07,2.61220289714412e-07,,2.15144016067945e-08,6.1632319738801e-07,,-1.16268119033407e-08,-9.92861842493172e-07,-1.29979281571809e-07,4.1667655143001e-07,-1.29979281571902e-07,,1.52836264023012e-07,1.34739234375587e-07,5.49629379312863e-07,-5.49629379313589e-07,-2.32133320944062e-07,,,-2.21208276586935e-07,-3.9291247735535e-07,-1.01806820513054e-07,-4.9471929786834e-07,-2.50623878226798e-07,,,-4.90771808170537e-08,1.69828926551602e-07,,,-1.31492641649388e-06,4.46231521207128e-08,,-7.5923730966758e-07,6.66978126877512e-07,,1.15036743240409e-05,1.7574585566179e-05,-5.48079271237971e-07,0,1,0,0.102399999999989,102,1363.49754901961,574.331862745098,2233.39215686275,1353.10098039216,1373.89411764706,554.986274509804,593.677450980392,2110.09803921569,2356.6862745098,0
1907.9168,-3.65663708386404e-05,1.1151482051715e-07,-1.1151482051675e-07,6.25698241621956e-07,4.94760124424205e-07,1.28218480497284e-07,,-7.27615895608511e-06,,1.66466926493408e-06,-2.66377087404059e-07,1.43369364171411e-08,1.43369364173122e-08,5.19495131883679e-07,,,,-4.74413718055844e-06,,,1.83966808651999e-07,2.7381061082152e-07,,2.10334112988774e-08,6.53241884862341e-07,,8.42970358877711e-09,-9.87159468801767e-07,-1.48435174023334e-07,4.36658734328067e-07,-1.48435174023422e-07,,1.50567056268839e-07,1.54990680742399e-07,5.75550058850238e-07,-5.75550058850964e-07,-2.81057477941642e-07,,,-2.30899710429744e-07,-4.12247432558418e-07,-1.26864164442192e-07,-5.39111597000545e-07,-2.71375779878416e-07,,,-7.12251035324525e-08,1.80716627835883e-07,,,-1.317012274997e-06,-7.05137205914863e-09,,-8.67558257609273e-07,6.33786343589442e-07,,1.32838755780654e-05,1.79810360892962e-05,-5.6965397788907e-07,0,1,0,0.204799999999977,103,1026.78252427184,1118.28009708738,1359.79611650485,812.253398058253,1241.31165048544,1099.23106796117,1137.32912621359,1174.31067961165,1545.28155339806,0
1908.0192,-3.68677557370454e-05,1.19747363587478e-07,-1.19747363587097e-07,6.77657905545388e-07,5.33108222082785e-07,9.95283959508274e-08,,-8.49095818114994e-06,,1.41405845256074e-06,-2.66711556439814e-07,7.27483671077558e-09,7.2748367109556e-09,5.06958146352384e-07,,,,-5.16454759451126e-06,,,1.91691188696219e-07,2.86076628429832e-07,,1.99128041591594e-08,6.83350657788302e-07,,2.63521963026204e-08,-9.80233705083424e-07,-1.6457965439323e-07,4.5207856261637e-07,-1.64579654393315e-07,,1.48544907877572e-07,1.71698681307028e-07,5.98027236504731e-07,-5.98027236505455e-07,-3.16558570274994e-07,,,-2.42518719348581e-07,-4.3379387973592e-07,-1.46266282152806e-07,-5.80060161888659e-07,-2.84811124082208e-07,,,-8.95575347178484e-08,1.90803488093286e-07,,,-1.3124459052594e-06,-4.31878434596527e-08,,-9.55962434369981e-07,5.97040843379114e-07,,1.46876260217014e-05,1.8181726159269e-05,-5.80678800755845e-07,0,0,0,0.307199999999966,102,948.790196078431,890.292647058824,1681.05392156863,919.933333333333,977.647058823529,901.106862745098,879.478431372549,1474.42156862745,1887.6862745098,0
1908.1216,-3.67345969786642e-05,1.2532005020284e-07,-1.25320050202478e-07,7.13907587200858e-07,5.64188498165745e-07,6.95856695230653e-08,,-9.95356003296975e-06,,8.21780155162458e-07,-2.62166169176978e-07,2.23299098043458e-09,2.23299098062209e-09,4.93644925948882e-07,,,,-5.5650629952831e-06,,,1.97921787657122e-07,2.97716837496308e-07,,1.83032076881055e-08,7.03950722978195e-07,,4.2210454534441e-08,-9.69828833852983e-07,-1.77823965647089e-07,4.64024071730786e-07,-1.77823965647173e-07,,1.46870671467097e-07,1.84567263185525e-07,6.15404137904859e-07,-6.15404137905581e-07,-3.35782512346688e-07,,,-2.55416504182061e-07,-4.56418384573037e-07,-1.59234148650132e-07,-6.15652533223101e-07,-2.90265246381641e-07,,,-1.0250058162548e-07,1.99605306680195e-07,,,-1.30324489794175e-06,-6.38412985735647e-08,,-1.02421119355714e-06,5.58597282345754e-07,,1.55944204010966e-05,1.81385154334164e-05,-5.81610563903578e-07,0,0,0,0.409599999999955,102,971.462745098039,554.957352941177,2187.42647058824,980.669607843137,962.255882352941,520.403921568627,589.510784313726,1976.93137254902,2397.92156862745,0
1908.224,-3.61240979846612e-05,1.27666986243534e-07,-1.27666986243187e-07,7.32337276408898e-07,5.86426611277402e-07,4.04757781761945e-08,,-1.16877812044099e-05,,-1.95081215795764e-07,-2.53825347739501e-07,-6.26621553522265e-10,-6.26621553330306e-10,4.80175726993135e-07,,,,-5.93484631336265e-06,,,2.02488129515997e-07,3.08603110174184e-07,,1.64527276549702e-08,7.12758031062692e-07,,5.62594769786597e-08,-9.54190725249102e-07,-1.88073339141165e-07,4.73769671945219e-07,-1.88073339141249e-07,,1.45495883819754e-07,1.93061489878551e-07,6.26463701998178e-07,-6.26463701998896e-07,-3.37102088173908e-07,,,-2.69099499682407e-07,-4.79231849359975e-07,-1.65351078474266e-07,-6.44582927834172e-07,-2.87645593923455e-07,,,-1.08773379365203e-07,2.06667174095243e-07,,,-1.29221475026851e-06,-7.0473963309417e-08,,-1.07405767603675e-06,5.20071828427796e-07,,1.59164437535962e-05,1.78312480512991e-05,-5.73794480667984e-07,0,0,0,0.511999999999944,103,991.755339805825,552.826213592233,2275.28155339806,1002.09126213592,981.419417475728,523.847572815534,581.804854368932,2067.21359223301,2483.34951456311,0
1908.3264,-3.50457694887206e-05,1.26327503674769e-07,-1.26327503674432e-07,7.31688091810023e-07,5.98314262324528e-07,1.46622536084855e-08,,-1.36679845089965e-05,,-1.66404510404905e-06,-2.43320126654058e-07,-1.25352661201775e-09,-1.25352661182436e-09,4.67217484214018e-07,,,,-6.26251738665584e-06,,,2.05325095227316e-07,3.18704704758007e-07,,1.4654586393421e-08,7.08071356562909e-07,,6.89193685446903e-08,-9.32079253982093e-07,-1.95686159991853e-07,4.82494413761653e-07,-1.9568615999194e-07,,1.44255775424757e-07,1.9645004163195e-07,6.30467339722987e-07,-6.30467339723699e-07,-3.20181838654703e-07,,,-2.83247050342526e-07,-5.01626469156812e-07,-1.64555332019892e-07,-6.66181801176637e-07,-2.77480075531133e-07,,,-1.07418555683745e-07,2.11582779795003e-07,,,-1.28263486444437e-06,-6.55559052197644e-08,,-1.10858069498346e-06,4.82919493700913e-07,,1.56070666786247e-05,1.72582429645632e-05,-5.59388715723998e-07,0,0,0,0.614399999999932,102,991.560294117647,556.025,2333.42647058824,1002.26078431373,980.859803921569,530.960784313726,581.089215686275,2122.50980392157,2544.3431372549,0
1908.4288,-3.35590341289819e-05,1.21009170145551e-07,-1.21009170145222e-07,7.11601272746171e-07,5.98530138709625e-07,-5.33879444348897e-09,,-1.58194621175169e-05,,-3.55422220565927e-06,-2.32520355408798e-07,3.04779173997608e-10,3.04779174189646e-10,4.55354240145405e-07,,,,-6.53659806035409e-06,,,2.0642031926111e-07,3.2799567809627e-07,,1.31842433002634e-08,6.88925370362019e-07,,8.07719652531345e-08,-9.02615814435924e-07,-2.01327159039824e-07,4.9106181018961e-07,-2.01327159039917e-07,,1.42933007833106e-07,1.93974910178836e-07,6.27193394671862e-07,-6.27193394672569e-07,-2.85827462216934e-07,,,-2.97639564316099e-07,-5.23228447121494e-07,-1.57123559057959e-07,-6.80352006179387e-07,-2.608984965248e-07,,,-9.77991389142724e-08,2.14025310533297e-07,,,-1.27788071332828e-06,-5.2042345306097e-08,,-1.13148316326595e-06,4.48524124934167e-07,,1.46633841596054e-05,1.64346846695442e-05,-5.41160641285206e-07,0,0,0,0.716799999999921,103,991.108252427184,559.31213592233,2378.79126213592,1001.53398058252,980.682524271845,532.601941747573,586.022330097087,2172.20388349515,2585.3786407767,0
1908.5312,-3.17647852320457e-05,1.11662490055481e-07,-1.11662490055155e-07,6.72669914478406e-07,5.86154376133564e-07,-1.73771878775308e-08,,-1.80290023033646e-05,,-5.78351531657226e-06,-2.23211905166957e-07,3.92231559405616e-09,3.92231559424431e-09,4.4493908010378e-07,,,,-6.74619756803782e-06,,,2.05787377989212e-07,3.36368349003062e-07,,1.22405156273775e-08,6.55230907942419e-07,,9.25255398856237e-08,-8.651542712503e-07,-2.05759789003827e-07,4.99900996931771e-07,-2.05759789003928e-07,,1.41337243384491e-07,1.85098663901487e-07,6.16982758967573e-07,-6.16982758968276e-07,-2.35745588492278e-07,,,-3.12044837157251e-07,-5.43812839836571e-07,-1.43645424441393e-07,-6.874582642779e-07,-2.39542632640581e-07,,,-7.96074906892197e-08,2.13789688862369e-07,,,-1.28097082216742e-06,-3.28433610387734e-08,,-1.14658087093319e-06,4.1816407407463e-07,,1.3123829682777e-05,1.53906104743007e-05,-5.22166538500844e-07,0,0,0,0.81919999999991,102,987.539705882353,558.198039215686,2419.35294117647,996.73137254902,978.348039215686,529.417647058824,586.978431372549,2211.58823529412,2627.11764705882,0
1908.6336,-2.97932672653789e-05,9.85673515238476e-08,-9.85673515235217e-08,6.16489382194639e-07,5.60927212445382e-07,-2.00897340549877e-08,,-2.0162273856995e-05,,-8.23213202141067e-06,-2.16868255446769e-07,9.40664016639408e-09,9.40664016657569e-09,4.3597243944021e-07,,,,-6.88230410521146e-06,,,2.0345622193426e-07,3.43575105248881e-07,,1.18993066334714e-08,6.0787561472194e-07,,1.04895817332124e-07,-8.1932854396942e-07,-2.09648243769412e-07,5.0898921976929e-07,-2.09648243769525e-07,,1.39365062524597e-07,1.69730791895467e-07,6.00752614540203e-07,-6.00752614540903e-07,-1.72386443656155e-07,,,-3.26132163863042e-07,-5.6322952144926e-07,-1.24993821312607e-07,-6.88223342761808e-07,-2.15385156252104e-07,,,-5.29297211332477e-08,2.10836159121456e-07,,,-1.29403092698642e-06,-1.04205411854353e-08,,-1.15742292766507e-06,3.92851197506083e-07,,1.10635023577117e-05,1.41696222952544e-05,-5.05324317774953e-07,0,0,0,0.921599999999899,103,983.484951456311,559.112621359223,2450.90291262136,990.432038834951,976.53786407767,531.712621359223,586.512621359223,2246.64077669903,2655.16504854369,0
