time,S1-D1,S1-D8,S1-D9,S1-D15,S2-D1,S2-D2,S2-D3,S2-D9,S3-D1,S3-D2,S3-D16,S4-D2,S4-D3,S4-D5,S5-D3,S5-D4,S5-D5,S6-D2,S6-D5,S6-D17,S7-D6,S7-D7,S8-D6,S8-D7,S8-D18,S9-D3,S9-D4,S9-D9,S9-D11,S9-D19,S10-D8,S10-D9,S10-D10,S10-D11,S11-D8,S11-D10,S11-D20,S12-D10,S12-D11,S12-D12,S13-D4,S13-D11,S13-D12,S14-D10,S14-D12,S14-D21,S15-D13,S15-D14,S16-D13,S16-D14,S16-D22,SART_Target,SART_NonTarget,SART_Probe,t_rel_s,eye_n,xp,yp,ps,xpl_i,xpr_i,ypl_i,ypr_i,psl_i,psr_i,blink_prop
3031.8592,-1.12280908398081e-07,-8.69977822884057e-08,-1.9927869068674e-07,8.55791245920175e-08,2.02525310890073e-07,2.02525310889767e-07,-5.17363260415261e-06,-2.94807846740153e-06,-8.12171107155578e-06,-2.41841239771219e-07,,-2.97823184279995e-07,2.10365322361744e-07,1.31245389861314e-07,3.41610712223112e-07,-1.18743923050672e-07,-2.6398036373422e-08,-1.45141959423852e-07,-4.38234833259451e-08,-3.25919565821457e-08,-4.38234833259858e-08,-1.52354346749367e-05,2.1790747378301e-05,6.55531270338306e-06,,6.55406058465093e-07,6.48528698823312e-07,1.14449224898361e-06,,-8.64667765231806e-07,-1.34448676831764e-07,3.10904673371018e-07,1.76455996539416e-07,-1.55002583065311e-06,2.05978448062293e-06,5.09758649970434e-07,-1.21865544836081e-06,-1.92418708748968e-07,,,-1.13083084310907e-07,1.69520992444323e-07,1.38011101187643e-07,1.09552962227473e-07,2.47564063415068e-07,3.31462755393027e-07,9.87748408006115e-08,9.87748408005935e-08,9.10850719042411e-07,-1.10253814536302e-06,,0,1,0,0,103,980.815048543689,1116.32766990291,1947.28640776699,1018.8145631068,942.815533980582,1136.58446601942,1096.07087378641,2198.73786407767,1695.83495145631,0
3031.9616,-1.08713143482396e-07,-8.30108324951466e-08,-1.9172397597779e-07,7.79677705831288e-08,1.98567135449515e-07,1.98567135449202e-07,-5.08804843841127e-06,-2.8863645683902e-06,-7.9744130068031e-06,-2.38271751794268e-07,,-2.93858997547492e-07,2.16716034435118e-07,1.2289789707789e-07,3.39613931513057e-07,-1.26312972534135e-07,-2.52378276200978e-08,-1.51550800153992e-07,-3.48426415644684e-08,-3.57776144827751e-08,-3.48426415645147e-08,-1.52279803392998e-05,2.17641107672889e-05,6.53613042800813e-06,,6.42076786074124e-07,6.39398515713247e-07,1.14259644060613e-06,,-8.62404548747467e-07,-1.17124114859047e-07,2.98200686843716e-07,1.81076571984827e-07,-1.52897285605307e-06,2.05044992417931e-06,5.21477068126851e-07,-1.23595096629323e-06,-1.82465881876779e-07,,,-1.11413404574301e-07,1.70804469394718e-07,1.4138883826908e-07,1.06961268818216e-07,2.48350107087252e-07,3.27997690910536e-07,1.07880850666015e-07,1.07880850665997e-07,9.21700831850093e-07,-1.10268334888136e-06,,0,1,0,0.102400000000216,102,976.23137254902,1028.99705882353,1938.43137254902,1002.82058823529,949.642156862745,1039.58235294118,1018.41176470588,2210.94117647059,1665.92156862745,0
3032.064,-9.83586804424281e-08,-8.03160407444443e-08,-1.78674721187114e-07,7.34699828906036e-08,1.97561729347037e-07,1.97561729346717e-07,-4.98332530042259e-06,-2.82136590326659e-06,-7.80469120369079e-06,-2.32979313449291e-07,,-2.8832080716104e-07,2.23415259671018e-07,1.14014082946397e-07,3.37429342617459e-07,-1.31770833314066e-07,-2.42641326209986e-08,-1.56034965934826e-07,-2.57354375526409e-08,-3.88112918785457e-08,-2.57354375526934e-08,-1.52526945361666e-05,2.19306825109098e-05,6.6779879747624e-06,,6.25512092818362e-07,6.30648661750523e-07,1.1338425090462e-06,,-8.67729912169453e-07,-9.85172410265577e-08,2.85085898683648e-07,1.86568657657243e-07,-1.50323071665355e-06,2.03548374469342e-06,5.32253028040472e-07,-1.26373625595597e-06,-1.75206768386264e-07,,,-1.09677993830224e-07,1.73935750666696e-07,1.44685408155186e-07,1.03994414587979e-07,2.48679822743124e-07,3.26024282957211e-07,1.16544368265505e-07,1.16544368265486e-07,9.34509825429024e-07,-1.10258492754382e-06,,0,1,0,0.204799999999977,103,962.869417475728,545.104368932039,1845.9854368932,969.9,955.838834951456,535.019417475728,555.18932038835,2098.69902912621,1593.27184466019,0
3032.1664,-8.05735087494362e-08,-7.94024510139081e-08,-1.59975959763579e-07,7.24907152811746e-08,1.99588369981674e-07,1.99588369981346e-07,-4.85527643000721e-06,-2.75293571943896e-06,-7.60821214944777e-06,-2.25452036212828e-07,,-2.80744125542205e-07,2.30379892869605e-07,1.04486384694025e-07,3.34866277563669e-07,-1.34655740100404e-07,-2.35637934365721e-08,-1.58219533536739e-07,-1.67983322500343e-08,-4.167647597503e-08,-1.67983322500927e-08,-1.5335530529302e-05,2.23628871748167e-05,7.0273566455341e-06,,6.05034502367119e-07,6.22514604512234e-07,1.11706262813545e-06,,-8.82136606423833e-07,-7.90638607114117e-08,2.71894896663023e-07,1.92831035951757e-07,-1.47352343990269e-06,2.01467759691032e-06,5.41154157008224e-07,-1.30231293786036e-06,-1.71101078478794e-07,,,-1.07823121163241e-07,1.78803295691455e-07,1.47608169861909e-07,1.00576241357245e-07,2.48184411219117e-07,3.25280449271373e-07,1.2464922113632e-07,1.246492211363e-07,9.49968219017488e-07,-1.10251392489737e-06,,0,0,0,0.307200000000194,102,958.10931372549,542.299019607843,1823.08333333333,971.063725490196,945.154901960784,529.806862745098,554.791176470588,2080.11764705882,1566.04901960784,0
3032.2688,-5.53438373289016e-08,-8.05908734260565e-08,-1.35934710755185e-07,7.49324848954033e-08,2.04701597318551e-07,2.04701597318214e-07,-4.70046995359569e-06,-2.68093545679519e-06,-7.38140541039247e-06,-2.15344197354861e-07,,-2.70756533752488e-07,2.37378831362299e-07,9.41478746046903e-08,3.31526705967023e-07,-1.34632777264772e-07,-2.32310330373087e-08,-1.57863810301844e-07,-8.4561040121575e-09,-4.44739567021068e-08,-8.45610401222153e-09,-1.54941216351242e-05,2.31142873339112e-05,7.62016569880663e-06,,5.79757446109523e-07,6.15036065678943e-07,1.09146803575807e-06,,-9.06456680321982e-07,-5.930958156489e-08,2.58921751450853e-07,1.99612169886103e-07,-1.44057570709388e-06,1.98797123146061e-06,5.47395524367311e-07,-1.35132854282968e-06,-1.70498857396285e-07,,,-1.05775328766495e-07,1.85233838439675e-07,1.49817323142162e-07,9.66514245999027e-08,2.46468747742031e-07,3.24986160586335e-07,1.32097510438033e-07,1.3209751043801e-07,9.68879479298147e-07,-1.10282061847198e-06,,0,0,0,0.409599999999955,103,955.533495145631,540.026213592233,1813.05825242718,971.871844660194,939.195145631068,526.042718446602,554.009708737864,2077.8640776699,1548.25242718447,0
3032.3712,-2.32911189195322e-08,-8.39801496276714e-08,-1.07271268547422e-07,8.01672675848461e-08,2.12935018040401e-07,2.12935018040055e-07,-4.51707903648459e-06,-2.60507194825651e-06,-7.12215098474268e-06,-2.02564558403897e-07,,-2.58160623176631e-07,2.4409173456865e-07,8.28400909343475e-08,3.26931825503026e-07,-1.31541548609074e-07,-2.33446170892891e-08,-1.54886165698127e-07,-1.09861607054785e-09,-4.73488076178558e-08,-1.0986160706163e-09,-1.57318759492183e-05,2.42028503758726e-05,8.47097442667416e-06,,5.48922297487193e-07,6.08063226470504e-07,1.05679790551702e-06,,-9.40676723102459e-07,-3.98608786510427e-08,2.46391776708056e-07,2.06530898057147e-07,-1.40519466122588e-06,1.95558768458442e-06,5.50393023359117e-07,-1.40965723556134e-06,-1.73457203891736e-07,,,-1.03477969942972e-07,1.92940150863073e-07,1.51008452042882e-07,9.22067305527683e-08,2.43215182595621e-07,3.24073453332567e-07,1.38845310018444e-07,1.38845310018419e-07,9.91906811342087e-07,-1.10392952017247e-06,,0,0,0,0.512000000000171,102,953.602450980392,533.525490196078,1790.34803921569,970.564705882353,936.640196078431,525.853921568628,541.197058823529,2057.55882352941,1523.13725490196,0
3032.4736,1.43948035749819e-08,-8.94297584749974e-08,-7.50349549002247e-08,8.72632963871345e-08,2.24227173061289e-07,2.24227173060933e-07,-4.30585153951058e-06,-2.52495042839784e-06,-6.83080196790997e-06,-1.87338806613579e-07,,-2.43015679427703e-07,2.50206725656499e-07,7.04866705707033e-08,3.20693396227226e-07,-1.25447075557592e-07,-2.39338279253878e-08,-1.49380903482743e-07,5.07951201273196e-09,-5.03904258336277e-08,5.07951201266052e-09,-1.60342324879248e-05,2.55979726444029e-05,9.56374015649805e-06,,5.1228349775894e-07,6.01336817649105e-07,1.01349289850631e-06,,-9.83784498695916e-07,-2.13074617592288e-08,2.3442887989706e-07,2.13121418137956e-07,-1.3683703685989e-06,1.9181730699103e-06,5.49802701311964e-07,-1.47528116623964e-06,-1.79606755272351e-07,,,-1.009253612369e-07,2.01496268510748e-07,1.51007369612186e-07,8.72920418243846e-08,2.38299411436546e-07,3.21617939341508e-07,1.44928998822481e-07,1.44928998822453e-07,1.01923910335436e-06,-1.10625381836472e-06,,0,0,0,0.614399999999932,102,963.227941176471,531.185784313725,1731.40196078431,978.898039215686,947.557843137255,521.054901960784,541.316666666667,2001.32352941176,1461.48039215686,0
3032.576,5.60642205249022e-08,-9.65752584055824e-08,-4.05110378808802e-08,9.53661672053351e-08,2.38292169596245e-07,2.38292169595877e-07,-4.07091666175928e-06,-2.44041554188527e-06,-6.51133220364608e-06,-1.70224490963174e-07,,-2.25689997689095e-07,2.55507598990849e-07,5.71567384510356e-08,3.12664337441903e-07,-1.1667567267714e-07,-2.49457442348282e-08,-1.4162141691173e-07,1.01660132802221e-08,-5.35517260951225e-08,1.01660132801489e-08,-1.63696019639264e-05,2.72166677954163e-05,1.08470658315101e-05,,4.70383947430914e-07,5.94611212653682e-07,9.62831918312712e-07,,-1.03366495615371e-06,-4.15726935597719e-09,2.2305060434828e-07,2.1889333499242e-07,-1.33132742837791e-06,1.87691645331833e-06,5.45589024940984e-07,-1.54519388987789e-06,-1.88121758526893e-07,,,-9.81773688999848e-08,2.10355283186087e-07,1.4983325499207e-07,8.20356912960776e-08,2.31868946288128e-07,3.17287616531047e-07,1.50476572527156e-07,1.50476572527125e-07,1.05029369570422e-06,-1.11003604782323e-06,,0,0,0,0.716800000000148,103,978.049029126214,536.907766990291,1653.51941747573,992.925242718447,963.172815533981,524.02427184466,549.791262135922,1927.59223300971,1379.44660194175,0
3032.6784,9.97588704308973e-08,-1.04866537676449e-07,-5.10766724574165e-09,1.04058885387847e-07,2.54527335541703e-07,2.54527335541325e-07,-3.82008076477222e-06,-2.35199311601618e-06,-6.17207388078988e-06,-1.52057416411441e-07,,-2.0684593217129e-07,2.59923008477524e-07,4.31088435410611e-08,3.03031852018597e-07,-1.05804529774536e-07,-2.62242725586731e-08,-1.32028802332968e-07,1.45292637730764e-08,-5.66167394452198e-08,1.4529263773003e-08,-1.66952960547051e-05,2.89309738031544e-05,1.22356777484697e-05,,4.24597189104419e-07,5.87765159685694e-07,9.069418216268e-07,,-1.08709898415742e-06,1.12022603236629e-08,2.12191596884716e-07,2.23393857208489e-07,-1.29545712443858e-06,1.83358807630042e-06,5.38130951862394e-07,-1.61540319575602e-06,-1.97799959369513e-07,,,-9.53496294203681e-08,2.18909152684762e-07,1.47706893895736e-07,7.66475349008167e-08,2.24354428796539e-07,3.11641067360317e-07,1.55705578820361e-07,1.55705578820327e-07,1.08360343668063e-06,-1.1152113233122e-06,,0,0,0,0.81919999999991,102,971.248529411765,539.811764705882,1603.96568627451,985.656862745098,956.840196078431,528.439215686275,551.18431372549,1880.76470588235,1327.16666666667,0
3032.7808,1.43426266507357e-07,-1.13627901795124e-07,2.97983647120517e-08,1.13563979848916e-07,2.72048020883805e-07,2.72048020883417e-07,-3.56437611936643e-06,-2.26115053963991e-06,-5.8255266590078e-06,-1.33824970306169e-07,,-1.873408772705e-07,2.63539887387443e-07,2.88048241976648e-08,2.92344711585114e-07,-9.358288218367e-08,-2.75110104100144e-08,-1.2109389259344e-07,1.87507238394741e-08,-5.92185183200257e-08,1.87507238394018e-08,-1.69664239577994e-05,3.0585300319962e-05,1.36188763621831e-05,,3.76902577704863e-07,5.80862282533642e-07,8.48602005879081e-07,,-1.13994167493357e-06,2.453608770007e-08,2.01726679365875e-07,2.26262767066048e-07,-1.26209516778579e-06,1.7904212708186e-06,5.28326103033355e-07,-1.68113026604096e-06,-2.0722461319167e-07,,,-9.25872971117247e-08,2.26574749288547e-07,1.45003883369462e-07,7.14047010390235e-08,2.16408584408478e-07,3.06182429077086e-07,1.60909281304527e-07,1.6090928130449e-07,1.11697961751273e-06,-1.12140378037182e-06,,0,0,0,0.921600000000126,103,954.215533980583,530.947087378641,1579.60679611651,969.541747572816,938.88932038835,524.17572815534,537.718446601942,1854.5145631068,1304.69902912621,0
