time,S1-D1,S1-D8,S1-D9,S1-D15,S2-D1,S2-D2,S2-D3,S2-D9,S3-D1,S3-D2,S3-D16,S4-D2,S4-D3,S4-D5,S5-D3,S5-D4,S5-D5,S6-D2,S6-D5,S6-D17,S7-D6,S7-D7,S8-D6,S8-D7,S8-D18,S9-D3,S9-D4,S9-D9,S9-D11,S9-D19,S10-D8,S10-D9,S10-D10,S10-D11,S11-D8,S11-D10,S11-D20,S12-D10,S12-D11,S12-D12,S13-D4,S13-D11,S13-D12,S14-D10,S14-D12,S14-D21,S15-D13,S15-D14,S16-D13,S16-D14,S16-D22,t_rel_s,eye_n,xp,yp,ps,xpl_i,xpr_i,ypl_i,ypr_i,psl_i,psr_i,blink_prop
1050.624,0.0990758916200598,-0.485838627910494,-0.161347606238758,0.73321485887971,-0.48065225188947,-0.480652251887599,0.39874165772944,0.86283578881006,0.562657264210224,-0.582133045273746,0.723670283494604,-0.582133045274445,0.595179959426348,-1.43241615310861,0.238882625219256,0.0326132769028831,-0.392368381180845,-0.196524083407386,1.31114226973308,-0.803658479540318,1.31114226973352,0.466566382024044,0.227047266619035,0.658871084191411,0.948915831381056,-0.204726546754512,-0.204726546756461,0.619465149386379,-0.61946514938569,0.411670723069369,0.298282930471466,-0.492039544415113,,-0.0483866041415197,0.225873451963212,0.0937904369971926,1.06063771811727,-0.139753081607215,-0.139753081608056,-0.631097608715374,0.47758096207351,-0.160949565804993,-0.553976690888217,0.0335229322190072,-0.347680127148457,-0.111009300184457,1.48627645630297,1.48627645630061,-0.390077631202206,0.390077631200504,0.219200813723878,0,103,1682.12718446602,-133.493689320388,995.199029126214,1764.36310679612,1599.89126213592,-169.749514563107,-97.2378640776699,1112.41747572816,877.980582524272,0
1050.7264,0.0909144902247376,-0.481370176187439,-0.169668355524104,0.728074549576473,-0.487637516476688,-0.487637516474778,0.395642731602056,0.872747238734507,0.562353333941685,-0.580340178332777,0.73705883483656,-0.580340178333503,0.592546774618924,-1.43609943402632,0.235459442737379,0.0496837329971481,-0.412284913676733,-0.186674844057332,1.33397787348307,-0.850260046991085,1.33397787348351,0.465232871695273,0.241564370523484,0.663945842401156,0.963643137346274,-0.212831268505858,-0.212831268507763,0.621382369657239,-0.621382369656531,0.40804603344512,0.286994333205827,-0.499720041317052,,-0.0583856235262377,0.227528365094875,0.0838471766716538,1.06835004307386,-0.139845571088645,-0.139845571089479,-0.642753980250301,0.480637172635147,-0.166972483768405,-0.546616711584093,0.0122098173465856,-0.353928727713009,-0.111895845531327,1.48440751036719,1.48440751036483,-0.381447605514131,0.38144760551239,0.224308341951873,0.102399999999989,102,1617.88529411765,-99.9053921568628,1011.14215686275,1658.62941176471,1577.14117647059,-146.823529411765,-52.9872549019608,1149.8137254902,872.470588235294,0
1050.8288,0.0822448172277494,-0.476748636974692,-0.17858340486844,0.722229884656537,-0.494754546876237,-0.494754546874281,0.391893728912405,0.881514310034142,0.561196324176209,-0.578336071676572,0.748847659374768,-0.578336071677321,0.588536298427292,-1.43932059506309,0.230809835346997,0.0661484597232655,-0.431358538213563,-0.177092325721692,1.35583392328432,-0.897261392649666,1.35583392328475,0.462912955135993,0.255679452900645,0.667663411178252,0.977368476813657,-0.221255116047851,-0.221255116049707,0.623056709964511,-0.623056709963784,0.40369438309117,0.275411034729076,-0.507504112716759,,-0.068264358881724,0.228364485392057,0.0735031730639596,1.07500182883271,-0.139932124291656,-0.139932124292473,-0.653974941547479,0.483534377967227,-0.172794150156454,-0.53871901174217,-0.00893399214871044,-0.359734731297223,-0.112159929112335,1.48123916523298,1.48123916523063,-0.372813673146067,0.37281367314429,0.228871589411039,0.204799999999977,103,926.48786407767,256.496116504854,1001.94660194175,915.093203883495,937.882524271845,258.880582524272,254.111650485437,1012.57281553398,991.320388349515,0
1050.9312,0.0730592783510421,-0.471972245036394,-0.188101951309971,0.715637308540461,-0.501975473578321,-0.501975473576314,0.387481216393174,0.889159737709368,0.559179964064646,-0.576137579315451,0.758967867388986,-0.576137579316235,0.583128299711888,-1.44209577431163,0.224910374045173,0.0819588707010817,-0.449559079747587,-0.167820674524064,1.37663173919116,-0.944587867683608,1.37663173919159,0.459573610355948,0.269341604701389,0.669961174167416,0.989999648134524,-0.229972286090388,-0.229972286092213,0.624496336153042,-0.624496336152299,0.398573274619859,0.263536040737859,-0.515377700817365,,-0.0780062315484315,0.228374307088536,0.0627718107205305,1.08053088663911,-0.140000389974545,-0.140000389975344,-0.664717917601839,0.486277951845448,-0.178383816475849,-0.530304564029179,-0.0298432672266702,-0.365077990606739,-0.111838081267509,1.47681544838752,1.47681544838518,-0.364192281077091,0.364192281075277,0.232842160194645,0.307199999999966,102,882.443137254902,271.774019607843,965.421568627451,872.707843137255,892.178431372549,280.827450980392,262.720588235294,972.235294117647,958.607843137255,0
1051.0336,0.0633547992390592,-0.467041592899321,-0.198228512628094,0.708254134274732,-0.50927289358273,-0.50927289358068,0.382394409278282,0.895707225807863,0.556300553972924,-0.573759642095048,0.767355912289435,-0.573759642095859,0.576306236971829,-1.44444197233783,0.217741003984153,0.0970674553030367,-0.466857338750091,-0.158903245978768,1.39629442344934,-0.99216292315555,1.39629442344976,0.455186270960959,0.282499676039427,0.670781701829035,1.00144719271604,-0.238955641875867,-0.238955641877647,0.625709676017599,-0.62570967601684,0.392642818447554,0.251373510355147,-0.52332530902512,,-0.0875939474743324,0.227554013721136,0.0516696657537469,1.08487644639928,-0.140038003210328,-0.140038003211116,-0.674939774992838,0.48887506050251,-0.183709419816587,-0.521396666595831,-0.0504525556794412,-0.369939774902415,-0.110969055812186,1.4711849002147,1.47118490021236,-0.355600803662053,0.355600803660205,0.236173644758464,0.409599999999955,102,820.584803921569,311.345588235294,902.186274509804,805.982352941177,835.187254901961,320.873529411765,301.817647058824,909.088235294118,895.28431372549,0
1051.136,0.0531328886007837,-0.461959740310103,-0.208962908490537,0.700038831961816,-0.516619953026821,-0.516619953024722,0.376625194117945,0.901181080330449,0.552556895700212,-0.571215232846134,0.773954088460428,-0.571215232846962,0.568057373111945,-1.44637693303481,0.209285183896398,0.111427923770554,-0.483225234046212,-0.150382505173438,1.41474717898992,-1.0399083495281,1.41474717899033,0.449727099495909,0.295102499464595,0.67007317885342,1.01162495485023,-0.248176676497207,-0.248176676498946,0.626705338411268,-0.626705338410496,0.385866053632696,0.238928772431916,-0.531330029195469,,-0.0970095233281691,0.225903528545207,0.0402165098975699,1.0879793989273,-0.140032626149666,-0.140032626150426,-0.684596982535945,0.49133466197761,-0.188737688492788,-0.512020908485115,-0.070696492263381,-0.374302908714733,-0.109593627707567,1.46440026326926,1.46440026326693,-0.347057422493975,0.347057422492095,0.238821752963448,0.511999999999944,103,719.060194174757,390.44854368932,843.101941747573,700.014563106796,738.105825242718,407.66213592233,373.234951456311,850.184466019418,836.019417475728,0
1051.2384,0.0423996436045194,-0.456732277068337,-0.220300291352912,0.690951320011976,-0.523990404690199,-0.523990404688058,0.370168126830983,0.905605857330309,0.547950204595696,-0.568515347368042,0.77871099098422,-0.568515347368881,0.55837287258442,-1.44791899940543,0.199530014348875,0.124995340387479,-0.498635927528657,-0.142299931295273,1.43191762320498,-1.08774453310794,1.43191762320537,0.443177226212477,0.307099140976544,0.667789803194879,1.02045062050619,-0.257605462974014,-0.257605462975707,0.627492019671134,-0.627492019670347,0.378209244805934,0.22620832175982,-0.539373577274322,,-0.106234325000724,0.223426555314176,0.0284352946322544,1.08978253080989,-0.139971978865241,-0.139971978865978,-0.693645777887509,0.493667496754072,-0.193434256195166,-0.50220513974671,-0.0905101163501659,-0.378151917576184,-0.107754379399033,1.45651814549592,1.45651814549359,-0.338580994847633,0.338580994845717,0.240744416472526,0.614399999999932,102,721.547549019608,382.813235294118,795.656862745098,702.746078431373,740.349019607843,400.414705882353,365.211764705882,806.803921568628,784.509803921569,0
1051.3408,0.0311657018088692,-0.451367340749892,-0.232231222238307,0.680953256650252,-0.531358642922787,-0.531358642920601,0.363020411533255,0.909006036698596,0.542484011024352,-0.565669036798499,0.781581923193555,-0.565669036799332,0.547247884009204,-1.44908695084614,0.188466356284614,0.137726241294866,-0.513063921705885,-0.13469592539936,1.44773609407314,-1.1355907197557,1.44773609407351,0.435522953630721,0.318439170222994,0.663892153239322,1.02784622840868,-0.267210597357382,-0.267210597359027,0.628078403294322,-0.62807840329352,0.369642148791295,0.213219798231297,-0.547436332735089,,-0.115249115580334,0.220130605673279,0.0163521161474621,1.09023075650055,-0.139843865052348,-0.139843865053066,-0.70204234062333,0.495886065886864,-0.197763787005829,-0.491979443262379,-0.109829192838188,-0.381473176579301,-0.105495477807351,1.44759865715376,1.44759865715144,-0.330190908617372,0.330190908615427,0.241901864294541,0.716799999999921,103,838.190291262136,492.88640776699,770.771844660194,827.344660194175,849.035922330097,515.656310679612,470.116504854369,785.563106796117,755.980582524272,0
1051.4432,0.0194461482784762,-0.445875593122333,-0.244741782012345,0.670008335121366,-0.538699718252256,-0.538699718250036,0.35518186385659,0.911405721761028,0.536164054485443,-0.562683472722112,0.782529241699879,-0.562683472722921,0.534681615583757,-1.44989983041137,0.17608894493816,0.149578738267825,-0.526485123954936,-0.127609715995075,1.46213595148466,-1.18336527745956,1.46213595148502,0.426755932750215,0.329072939847065,0.658347525463111,1.03373865498694,-0.276959141920868,-0.276959141922462,0.62847305662148,-0.628473056620665,0.360138251463011,0.199971950737495,-0.555497381365872,,-0.124034107486815,0.216027010615625,0.00399616534071692,1.08927135578581,-0.139636199070337,-0.139636199071029,-0.709742972995209,0.498004589318257,-0.201690115928215,-0.481376103959221,-0.128590538318445,-0.384255059949426,-0.102862442702327,1.43770501607943,1.43770501607712,-0.321906919293799,0.321906919291823,0.242256677281582,0.81919999999991,102,863.196568627451,517.43137254902,740.730392156863,854.364705882353,872.028431372549,539.857843137255,495.004901960784,756.333333333333,725.127450980392,0
1051.5456,0.00726038539830605,-0.440270159176412,-0.257813710377682,0.658082588234269,-0.54598933343283,-0.54598933343057,0.346654859493177,0.912828357396518,0.52899816924656,-0.559564037643782,0.781522637343943,-0.55956403764458,0.520677410027054,-1.45037676925405,0.162396503966266,0.160512611931134,-0.538876875964017,-0.121079257058528,1.47505387950558,-1.23098595399312,1.47505387950591,0.416873316885875,0.338951865349265,0.651130245725723,1.03806007969592,-0.286816575070334,-0.286816575071883,0.628684327553543,-0.628684327552714,0.349674980890515,0.186474585793007,-0.563534567424624,,-0.132569014528768,0.211130916991483,-0.00860033183523913,1.08685422349113,-0.139337038700117,-0.139337038700783,-0.71670428971135,0.500038938797671,-0.205176408768817,-0.470429572439092,-0.146732358932019,-0.386488093026028,-0.0999019052563366,1.42690311455168,1.42690311454937,-0.313748964005701,0.313748964003694,0.241773826591879,0.921599999999899,102,862.819117647059,517.83431372549,721.828431372549,856.360784313726,869.277450980392,538.46568627451,497.202941176471,736.852941176471,706.803921568627,0
