time,S1-D1,S1-D8,S1-D9,S1-D23,S2-D1,S2-D2,S2-D3,S2-D9,S2-D15,S3-D1,S3-D2,S3-D24,S4-D2,S4-D3,S4-D5,S4-D16,S5-D3,S5-D4,S5-D5,S5-D17,S6-D2,S6-D5,S6-D25,S7-D6,S7-D7,S7-D18,S8-D6,S8-D7,S8-D26,S9-D3,S9-D4,S9-D9,S9-D11,S9-D27,S10-D8,S10-D9,S10-D10,S10-D11,S10-D19,S11-D8,S11-D10,S11-D28,S12-D10,S12-D11,S12-D12,S12-D20,S13-D4,S13-D11,S13-D12,S13-D21,S14-D10,S14-D12,S14-D29,S15-D13,S15-D14,S15-D22,S16-D13,S16-D14,S16-D30,t_rel_s,eye_n,xp,yp,ps,xpl_i,xpr_i,ypl_i,ypr_i,psl_i,psr_i,blink_prop
202.0352,-0.115128056933768,-0.340309043006602,0.340309043004026,-1.7977369013303,-0.598141074457123,-1.01069880403227,,0.145823883113755,,-0.183543072404691,-0.304004928047023,-1.17415892412687,-1.17415892412439,0.977596576698836,,,,0.471056290614376,,,-1.71076851878102,1.01243337257308,,-1.11598976158277,-0.458598530895733,,0.303969518655841,0.340915863562229,-1.35359367349763,0.464071217652374,-1.35359367349645,,-0.690368781141125,-0.763066806345919,0.103107995213625,-0.103107995215748,0.00386149105270822,,,-0.46846063025882,-0.96581641925424,-0.650236186523163,-1.04325541619028,1.28622387030836,,,0.331067212095883,-0.574936300653447,,,-0.589738883335518,0.238168893213095,,-1.27222495668359,-0.295553897355814,,-0.292545991947906,0.781514254875589,-0.0179134053530248,0,103,960.702912621359,521.367475728155,961.383495145631,966.605825242718,954.8,522.709708737864,520.025242718447,907.165048543689,1015.60194174757,0
202.1376,-0.115420299240308,-0.330528860224468,0.330528860221875,-1.79103137577527,-0.612249508033468,-1.00497264606901,,0.154114150382311,,-0.171913816248854,-0.319502509491258,-1.15274343214929,-1.15274343214679,0.988709124445237,,,,0.471345119826155,,,-1.71105011647587,1.00441338148425,,-1.11799568028498,-0.472694314775374,,0.310752614379218,0.343006821487678,-1.43564327329342,0.455260315091892,-1.43564327329224,,-0.686652498489577,-0.782972591205835,0.086036990707286,-0.0860369907093849,-0.0204831393962601,,,-0.510457827500646,-1.01187518610609,-0.659910788736508,-1.0839782203712,1.29377044837477,,,0.349116443018087,-0.578511172973308,,,-0.591273452083439,0.2634900175977,,-1.27028717529214,-0.283125303175163,,-0.297537956555269,0.793425797925593,0.00347343680965891,0.102399999999989,102,957.985294117647,524.532843137255,999.372549019608,964.144117647059,951.826470588235,523.855882352941,525.209803921569,943.333333333333,1055.41176470588,0
202.24,-0.116261378154345,-0.323245848496212,0.323245848493611,-1.78073331906706,-0.626536852451476,-0.997095043134389,,0.162098471168775,,-0.160320277651077,-0.335247841122776,-1.12990023816201,-1.12990023815949,0.998562574292382,,,,0.470818814136895,,,-1.71012903612841,0.993762880587213,,-1.11992316791407,-0.486909733357105,,0.316882894665444,0.344577400514008,-1.51678608318766,0.446247468187512,-1.51678608318649,,-0.68221789516515,-0.802277651164368,0.0676341908411561,-0.0676341908432289,-0.0458189277489997,,,-0.55189843462684,-1.05740546904832,-0.670538450580286,-1.12468408916926,1.30177604876843,,,0.36889770544488,-0.582712797536316,,,-0.592294592065957,0.288722437803153,,-1.2674556134896,-0.270011862220041,,-0.302705855533047,0.804364862675838,0.0259713810608232,0.204800000000006,103,955.466019417476,525.980097087379,1038.91747572816,962.196116504854,948.735922330097,523.669902912621,528.290291262136,983.883495145631,1093.95145631068,0
202.3424,-0.117664138448156,-0.318464668655614,0.318464668652997,-1.76682025302176,-0.640959237786564,-0.987076923316936,,0.1697312794627,,-0.148814572541792,-0.351231456478641,-1.10567191349533,-1.10567191349278,1.0071147751424,,,,0.46944772197215,,,-1.70796361864217,0.980492718298574,,-1.12178332814694,-0.501242472303438,,0.322314320053172,0.345600490774426,-1.59681048977323,0.437050714621429,-1.59681048977206,,-0.677043817345891,-0.820907446544021,0.0479240718842638,-0.0479240718863097,-0.0720999648015458,,,-0.592629098432307,-1.10226817834829,-0.682137138747871,-1.16527001457377,1.31027073682687,,,0.390426538689682,-0.587526243763093,,,-0.592783583245878,0.313876503094469,,-1.26374892983634,-0.256246533147216,,-0.308048122781831,0.814276766330716,0.0495815760815302,0.307199999999995,102,953.112745098039,528.975490196079,1068.14705882353,959.414705882353,946.810784313726,530.201960784314,527.749019607843,1011.70588235294,1124.58823529412,0
202.4448,-0.119641615330601,-0.316185975957403,0.316185975954775,-1.7492728275479,-0.655470066359463,-0.974932549048054,,0.176966057453671,,-0.137450102136831,-0.367441662760656,-1.08010446671333,-1.08010446671076,1.01432383035003,,,,0.467201593807127,,,-1.7045158589126,0.964615730901622,,-1.12358749110599,-0.515688058226284,,0.327001359586555,0.346049494941883,-1.67550108633005,0.427688739281784,-1.67550108632888,,-0.671109732036867,-0.838784324047984,0.026934941694553,-0.0269349416965707,-0.0992764724321137,,,-0.632493297223786,-1.14632195917147,-0.694721060835531,-1.20562959635799,1.31928008557998,,,0.41371445692559,-0.592934620910142,,,-0.592722591179562,0.338961263799417,,-1.25918472986335,-0.241863505165811,,-0.31356339250673,0.823106959144375,0.0743011081187697,0.409599999999983,103,949.764563106796,529.998058252427,1104.05339805825,956.666019417476,942.863106796116,531.346601941748,528.649514563107,1043.6213592233,1164.4854368932,0
202.5472,-0.122206993383227,-0.316406544315319,0.316406544312675,-1.72807466101888,-0.670020367980864,-0.960679434317021,,0.183755445403893,,-0.126281416881335,-0.383864572403593,-1.05324717973416,-1.05324717973158,1.02014824379159,,,,0.464049644815825,,,-1.69975150735538,0.946146760855236,,-1.125347217784,-0.530239837671894,,0.330898974495747,0.345898276729847,-1.75263942618034,0.418180781580682,-1.75263942617917,,-0.664395941340023,-0.855827971521051,0.00469867818685068,-0.0046986781888404,-0.127295006304438,,,-0.67133194044814,-1.18942352237711,-0.70830050045736,-1.24565323536479,1.3288250406519,,,0.438768903507568,-0.598919215175805,,,-0.592094756692668,0.363984204379052,,-1.25377945980251,-0.226898125104606,,-0.319250492391647,0.830801113950843,0.100122912930366,0.512000000000001,102,947.821078431373,534.133333333333,1151.80392156863,956.016666666667,939.625490196078,535.179411764706,533.087254901961,1084.45098039216,1219.1568627451,0
202.6496,-0.125373543094437,-0.319119311965586,0.319119311962932,-1.70321226441932,-0.684559185957025,-0.944338326086743,,0.190051377184045,,-0.115364059491756,-0.400484138923079,-1.02515245908043,-1.02515245907785,1.0245470778417,,,,0.459960650334416,,,-1.69364012684629,0.925102792931917,,-1.12707428595146,-0.544888960299223,,0.333962642702587,0.345121145907039,-1.82800484314975,0.408546540636343,-1.82800484314858,,-0.656883804552523,-0.871955931324974,-0.0187495082964453,0.018749508294484,-0.156098663387338,,,-0.708984024971256,-1.23142802683125,-0.722881655444268,-1.28522836906699,1.33892180896333,,,0.46559317378059,-0.605459616823688,,,-0.590884290525587,0.388950988300714,,-1.2475483320746,-0.211386826887722,,-0.325108424919296,0.837305251041243,0.127035694479419,0.614399999999989,102,828.223529411765,650.191176470588,955.558823529411,756.427450980392,900.019607843137,721.270588235294,579.111764705882,863.519607843138,1047.59803921569,0
202.752,-0.129154525208116,-0.324313327654991,0.324313327652317,-1.67467508540682,-0.699033979152505,-0.925933258639451,,0.195805243273332,,-0.104754386212829,-0.417282208040151,-0.995875707473475,-0.995875707470872,1.02748012519332,,,,0.454903085629414,,,-1.68615511032965,0.901503227281461,,-1.12878065550129,-0.55962437687891,,0.336148429639825,0.343692883691414,-1.90137534490279,0.398806082563057,-1.90137534490162,,-0.648555956930907,-0.887084153818789,-0.0433712747213119,0.043371274719378,-0.185627298106587,,,-0.745287346334486,-1.27218954030736,-0.73846650236225,-1.32423978076337,1.34958176039039,,,0.494186293821892,-0.612533832574081,,,-0.5890765751544,0.413865224965674,,-1.24050529371604,-0.195367062020722,,-0.331136336438574,0.842565904153726,0.155023845626741,0.716800000000006,103,660.48932038835,661.129611650486,993.145631067962,603.247572815534,717.731067961165,845.946601941748,476.312621359223,840.660194174757,1145.63106796117,0
202.8544,-0.13356305188904,-0.331973577090862,0.331973577088178,-1.64245570627994,-0.713391024280468,-0.905491687610891,,0.200968084149872,,-0.0945093641890968,-0.43423858945158,-0.965475211926502,-0.965475211923882,1.02890810127085,,,,0.448845322298143,,,-1.67727366937098,0.875370286992632,,-1.13047841013722,-0.574432857218606,,0.337413111143601,0.341588812499345,-1.97252858981474,0.388979754581184,-1.97252858981357,,-0.63939651647322,-0.901127580754387,-0.0691253011394514,0.0691253011375457,-0.215817749196615,,,-0.78007926751091,-1.31156159991531,-0.755052696411036,-1.3625700028983,1.36081133402115,,,0.52454285197317,-0.620118384856196,,,-0.586658268451996,0.438728272307442,,-1.23266304932767,-0.17887723082991,,-0.337333471440275,0.846530334454017,0.184067372455418,0.819199999999995,102,734.747549019608,428.810784313726,1315.1568627451,744.372549019608,725.122549019608,418.359803921569,439.261764705882,1216.21568627451,1414.09803921569,0
202.9568,-0.138611894269814,-0.342080674275101,0.342080674272401,-1.60655021816246,-0.727575802496209,-0.883044712339515,,0.205490820591942,,-0.0846863398289188,-0.451331147229306,-0.934012040403335,-0.934012040400692,1.02879286438826,,,,0.441755892050214,,,-1.6669768022882,0.846729545481576,,-1.13217967161292,-0.589299027564164,,0.337714355495387,0.338784915242674,-2.04124295305423,0.379088106997825,-2.04124295305306,,-0.629391276701587,-0.914000755867227,-0.0959673976058662,0.0959673976039882,-0.246604076307556,,,-0.813197549204394,-1.3493978761876,-0.772633496694421,-1.4000998135527,1.37261194745109,,,0.556652789091902,-0.628188402624888,,,-0.583617398645833,0.463539089370914,,-1.22403314799161,-0.161956615028982,,-0.343699108665495,0.849146800806384,0.214141830158178,0.921599999999984,103,733.010194174757,458.819417475728,1384.07766990291,739.24854368932,726.771844660194,446.195145631068,471.443689320388,1290.34951456311,1477.80582524272,0
