time,S1-D1,S1-D8,S1-D9,S1-D15,S2-D1,S2-D2,S2-D3,S2-D9,S3-D1,S3-D2,S3-D16,S4-D2,S4-D3,S4-D5,S5-D3,S5-D4,S5-D5,S6-D2,S6-D5,S6-D17,S7-D6,S7-D7,S8-D6,S8-D7,S8-D18,S9-D3,S9-D4,S9-D9,S9-D11,S9-D19,S10-D8,S10-D9,S10-D10,S10-D11,S11-D8,S11-D10,S11-D20,S12-D10,S12-D11,S12-D12,S13-D4,S13-D11,S13-D12,S14-D10,S14-D12,S14-D21,S15-D13,S15-D14,S16-D13,S16-D14,S16-D22,t_rel_s,eye_n,xp,yp,ps,xpl_i,xpr_i,ypl_i,ypr_i,psl_i,psr_i,blink_prop
1133.056,0.675961597343054,-1.09550376624436,-0.31289779160523,0.268840350874972,-1.13557850791172,-1.13557850791373,-1.26825865274532,-0.654434332243809,-1.59068835734494,-1.60175933411277,0.02556056756814,-1.60175933411322,-0.371932963741003,-0.985558225977502,-0.69300326794364,-0.490640837306669,,0.103594663914997,1.07026120901794,-0.687302041551239,,0.159685993935151,-0.345272757064964,-0.0470296890425441,0.584017770916777,0.846515858894248,,0.0216476006357129,-0.0216476006339339,1.23231145643771,0.711931482149543,0.715496407658911,0.722591042032828,0.205549824605549,0.149568046892761,0.234343621180939,1.01444339652329,-0.155267396350031,-0.155267396348498,1.48246808886479,0.676041814957375,1.82483740857796,,0.293786197212123,-0.854035749323687,0.391498723470555,,0.555573829128193,0.34940156418087,-0.34940156418147,-0.51192607595981,0,103,317.588349514563,492.681553398058,650.980582524272,321.34854368932,313.828155339806,490.635922330097,494.727184466019,620.601941747573,681.359223300971,0
1133.1584,0.671602099686598,-1.09450889206523,-0.315072165653345,0.250187717702753,-1.12823797211899,-1.12823797212098,-1.26766980877554,-0.662091915771652,-1.595376119314,-1.59033404786389,0.0200468940298169,-1.59033404786436,-0.350002580885169,-0.991905830808947,-0.679311195526862,-0.464753205586384,,0.113717713703108,1.02982101211904,-0.664735414687394,,0.154906596926013,-0.350105258546787,-0.0541398643934251,0.575574786175965,0.829885785242304,,0.0277716837046506,-0.0277716837028743,1.20945446947471,0.690318165461285,0.696027070111741,0.701614210750813,0.171729821320685,0.115447026336615,0.190145726183967,1.0072822882551,-0.183040312758324,-0.183040312756774,1.46985907990153,0.649936327228623,1.79593008045057,,0.264868585799227,-0.834127095057606,0.372505469400564,,0.556221300749309,0.32832917703644,-0.328329177037047,-0.506778290166739,0.102399999999989,102,319.420588235294,499.51862745098,650.686274509804,327.558823529412,311.282352941176,495.225490196078,503.811764705882,617.764705882353,683.607843137255,0
1133.2608,0.666466515817892,-1.09286983458158,-0.317311053663964,0.231040742106954,-1.12023420647599,-1.12023420647798,-1.2654656044364,-0.670174911535593,-1.59889591850232,-1.57803906085521,0.0134983907292312,-1.57803906085569,-0.328296947529673,-0.999157657857319,-0.666167993798645,-0.437604680816978,,0.123962819429446,0.988332512172255,-0.642611773903756,,0.151246088488399,-0.355347300836587,-0.0604508750680516,0.567245094190847,0.811610262877337,,0.0349036100277535,-0.0349036100259799,1.18631732618909,0.668439513647711,0.675879481439412,0.680192615413862,0.137529159306081,0.079760058148984,0.14474952965879,0.999997497624495,-0.211601510354012,-0.211601510352438,1.45691545538484,0.623093974215855,1.76622662499057,,0.235936315102399,-0.813295654209856,0.353287429439659,,0.55823729300371,0.305562383560852,-0.305562383561465,-0.500808304345849,0.204799999999977,103,902.056310679612,344.696116504854,608.747572815534,894.732038834952,909.380582524272,330.727184466019,358.665048543689,595.106796116505,622.388349514563,0
1133.3632,0.660525148988292,-1.09055399280876,-0.319611432775074,0.211437136432573,-1.11157371763238,-1.11157371763436,-1.26167170566367,-0.678659605070091,-1.60125475604312,-1.56487728975181,0.00592397693436269,-1.56487728975231,-0.306835471812453,-1.00731626535652,-0.653589226189377,-0.409262892127836,,0.134312672756322,0.945835997572731,-0.620905064627465,,0.14874051092377,-0.361011140080526,-0.0659364521002788,0.559036597996402,0.791745731597276,,0.0430152102069173,-0.0430152102051503,1.16293534302703,0.646334566747926,0.65508682588269,0.65836330098559,0.103003797261208,0.0426368877865766,0.0982716198102187,0.992581033891979,-0.240878049663383,-0.240878049661788,1.44364118234888,0.595597183059036,1.73578494209696,,0.207055984742757,-0.791549329858723,0.333863807173077,,0.561615647923064,0.281133991566205,-0.281133991566825,-0.493981495501251,0.307199999999966,102,972.059803921569,299.160784313726,496.936274509804,979.575490196079,964.544117647059,267.769607843137,330.551960784314,499.352941176471,494.519607843137,0
1133.4656,0.653751643795429,-1.08753029209915,-0.321969141078823,0.191416226521381,-1.10226494468244,-1.10226494468442,-1.25631882685809,-0.687519715035049,-1.60246243995011,-1.55085209990729,-0.00266230466623312,-1.55085209990781,-0.285634473643378,-1.01638052188005,-0.64158659605637,-0.379799990472841,,0.144748685717982,0.902376171104547,-0.599587678411393,,0.147420329250667,-0.367107721287475,-0.0705747202320678,0.550955817280748,0.770353052628044,,0.0520748672134833,-0.0520748672117191,1.13934389746231,0.624042770495143,0.633684622245569,0.636164545592314,0.068211365272969,0.0042139237895985,0.0508337202259802,0.985023512362687,-0.270793833094229,-0.270793833092616,1.4300401571421,0.567529587913551,1.70466365962379,,0.178294823059094,-0.768898951400863,0.314256324430723,,0.566345425234638,0.255083209717814,-0.255083209718441,-0.486265963158443,0.409599999999955,102,944.027450980392,225.544117647059,392.102941176471,953.841176470588,934.213725490196,187.996078431373,263.092156862745,395.039215686275,389.166666666667,0
1133.568,0.646123148493095,-1.08376927797002,-0.324378835885441,0.171018777878903,-1.09231821475867,-1.09231821476064,-1.24944267809067,-0.696726477744529,-1.60253159508126,-1.53596743924703,-0.0122413036020397,-1.53596743924758,-0.264707299410698,-1.0263456151258,-0.630168035997,-0.349292369119367,,0.155251084000288,0.858002242562678,-0.578630636316455,,0.147310334399826,-0.373646571418505,-0.0743482269132158,0.543007970314028,0.747497269082656,,0.0620477027746058,-0.062047702772849,1.11557837962681,0.601603965715353,0.611710727766455,0.613635855955134,0.0332111434159987,-0.0353662286388721,0.00256239813801948,0.977314299024412,-0.301269780555366,-0.301269780553725,1.41611627188148,0.538975763132734,1.67292201978578,,0.149720603814215,-0.74535836219649,0.294489333868691,,0.572410888391356,0.227455582908803,-0.227455582909434,-0.477632641228263,0.511999999999944,103,927.2,174.614077669903,331.655339805825,939.73786407767,914.66213592233,132.340776699029,216.887378640777,333.514563106796,329.796116504854,0
1133.6704,0.637620474551328,-1.0792431976429,-0.32683394530526,0.150286828027109,-1.08174568140299,-1.08174568140495,-1.24108387869463,-0.706248730817506,-1.60147764216702,-1.5202279623346,-0.0227888037810024,-1.52022796233517,-0.244064446763648,-1.03720306717706,-0.619337807411935,-0.317820359199452,,0.16579901789422,0.81276798704175,-0.55800377854848,,0.148429570103794,-0.380635688943371,-0.0772439475223542,0.535197076545489,0.72324735666681,,0.0728957671971476,-0.0728957671954,1.09167415884342,0.57905837529583,0.589205329776842,0.590817956190519,-0.00193598310408685,-0.0759552552451871,-0.0464112565041807,0.969441680055511,-0.332224019129293,-0.332224019127642,1.40187347587248,0.510020984448589,1.64061977928924,,0.121401562936913,-0.720944481644264,0.274589916417847,,0.579791513587075,0.198302882298372,-0.198302882299006,-0.468055392733526,0.614399999999932,102,933.770098039216,168.49362745098,300.872549019608,947.691176470588,919.849019607843,126.26862745098,210.71862745098,304.343137254902,297.401960784314,0
1133.7728,0.628228245480446,-1.07392607613552,-0.329326623115509,0.129263522639135,-1.07056125150365,-1.0705612515056,-1.23128784570401,-0.716053008106725,-1.59931876182378,-1.50363914503141,-0.034275593482393,-1.50363914503201,-0.223713701744881,-1.04894076294635,-0.609096614842071,-0.285467907937213,,0.176370684469777,0.766731763720445,-0.53767594653871,,0.150791287275159,-0.388081440095615,-0.0792532690655751,0.527526067646055,0.697675961678967,,0.084578232204918,-0.0845782322031814,1.0676665540721,0.556446581855762,0.566210918801632,0.567752763245989,-0.0371675907509346,-0.11739964893494,-0.0959519844670568,0.961393040055032,-0.363572095209532,-0.363572095207868,1.3873158265385,0.4807509999509,1.60781710613949,,0.0934063067134235,-0.69567735665355,0.254587943867907,,0.588462027185997,0.167682934011621,-0.167682934012256,-0.457511099632889,0.716799999999921,103,937.668932038835,166.452912621359,290.441747572816,952.454368932039,922.883495145631,127.997087378641,204.908737864078,294.271844660194,286.611650485437,0
1133.8752,0.617935024493718,-1.06779379204923,-0.331847717306532,0.107992947543943,-1.05878050307007,-1.05878050307201,-1.22010466913831,-0.726103661402818,-1.59607586494484,-1.48620739375947,-0.0466675676930405,-1.48620739376009,-0.203660290261247,-1.06154299919085,-0.599441739677782,-0.25232224396763,,0.186943455412702,0.719956485941168,-0.517615144442017,,0.154402930785026,-0.395988472462461,-0.0803719538083644,0.519996894737227,0.670859123000986,,0.0970515894398987,-0.0970515894381788,1.04359079521231,0.533809488090916,0.542772234433889,0.544483340567276,-0.0724198109907382,-0.159541268888746,-0.145920754909979,0.953155035452286,-0.395227218682001,-0.395227218680326,1.3724475230355,0.451251784524372,1.57457444944873,,0.0658037008756329,-0.669580210136982,0.23451608673645,,0.598392478100464,0.135659379346742,-0.135659379347378,-0.445979760924955,0.81919999999991,102,938.889215686275,161.673529411765,291.073529411765,952.943137254902,924.835294117647,119.677450980392,203.669607843137,296.156862745098,285.990196078431,0
1133.9776,0.606733416389556,-1.0608241539896,-0.334386755986927,0.0865199522573638,-1.04642059149258,-1.04642059149451,-1.20758897610773,-0.736363015773234,-1.59177257592609,-1.46794014803485,-0.0599258696465862,-1.4679401480355,-0.183907041222163,-1.07499055721516,-0.590367192560392,-0.21847352818399,,0.197494010200203,0.672509538080354,-0.497788677744146,,0.159266163327718,-0.404359652379434,-0.0806000821642331,0.512610627627093,0.642875977609468,,0.110269856788179,-0.11026985678647,1.01948196895547,0.511188253819688,0.51893617640748,0.521053823263922,-0.107627459275231,-0.202217954383032,-0.196175220762457,0.944713758456065,-0.42710054451584,-0.427100544514154,1.35727291739994,0.42160926309813,1.54095236781655,,0.0386627308906699,-0.642679484436702,0.214409756183505,,0.609548348555387,0.102301371198464,-0.102301371199101,-0.433444599114654,0.921599999999899,102,1057.96323529412,181.272549019608,300.088235294118,1071.69901960784,1044.22745098039,139.610784313725,222.93431372549,308.039215686275,292.137254901961,0
