time,S1-D1,S1-D8,S1-D9,S1-D15,S2-D1,S2-D2,S2-D3,S2-D9,S3-D1,S3-D2,S3-D16,S4-D2,S4-D3,S4-D5,S5-D3,S5-D4,S5-D5,S6-D2,S6-D5,S6-D17,S7-D6,S7-D7,S8-D6,S8-D7,S8-D18,S9-D3,S9-D4,S9-D9,S9-D11,S9-D19,S10-D8,S10-D9,S10-D10,S10-D11,S11-D8,S11-D10,S11-D20,S12-D10,S12-D11,S12-D12,S13-D4,S13-D11,S13-D12,S14-D10,S14-D12,S14-D21,S15-D13,S15-D14,S16-D13,S16-D14,S16-D22,t_rel_s,eye_n,xp,yp,ps,xpl_i,xpr_i,ypl_i,ypr_i,psl_i,psr_i,blink_prop
369.664,0.851395124475878,-0.986309901386721,-0.0607399045688166,-0.195035703565021,0.900743216728229,0.90074321672766,,-0.25119482387616,-0.308823623026444,0.333468954618654,1.31920369058786,0.333468954622454,0.238701097376769,-1.31991426596897,,,,0.74460121725359,1.20471567235724,0.171908524452468,1.20471567235743,,-0.629794767596983,1.16455214303971,-1.16209385939039,-1.4508192958599,,,-0.931559741689156,-1.26360187869054,0.208394445297337,-0.306448094401938,,-0.155510830006373,-0.789992766534272,,-0.805454241398458,,-0.718703725330316,,,-1.02681985663014,,,0.208738494834247,-0.761039563157271,-1.20214524888251,-1.2021452488822,,0.391603567185772,-0.33599037186719,0,103,954.01359223301,555.474757281553,572.956310679612,956.570873786408,951.456310679612,553.414563106796,557.534951456311,598.029126213592,547.883495145631,0
369.7664,0.837939970094016,-0.972872313085104,-0.0615024308839339,-0.175463387341693,0.898312944112725,0.898312944112157,,-0.244101808834377,-0.304804119042954,0.297023885004318,1.30962318976733,0.297023885008144,0.228801748410523,-1.31636616819296,,,,0.735344551834892,1.20115658995041,0.155804588236935,1.2011565899506,,-0.626875603223525,1.18917910211711,-1.13428508778493,-1.44028369834028,,,-0.927527874875221,-1.24982668941143,0.194437756222633,-0.312556826200038,,-0.148146904838836,-0.785110724575147,,-0.792367885808685,,-0.7193581909887,,,-1.04158109968886,,,0.183063215777515,-0.795264362768901,-1.23423291177346,-1.23423291177316,,0.364582819610929,-0.337958765257472,0.102399999999989,102,953.89362745098,551.908823529412,565.676470588235,953.439215686275,954.348039215686,545.120588235294,558.69705882353,589.745098039216,541.607843137255,0
369.8688,0.824159728201358,-0.959387675577586,-0.0625058162083843,-0.156212011973705,0.895912730585102,0.895912730584536,,-0.237346585299672,-0.301391795372375,0.261019939582203,1.30032147992237,0.261019939586057,0.218153661063031,-1.3134834902643,,,,0.724677406013839,1.19778592982654,0.140365523026216,1.19778592982672,,-0.62321272228415,1.2115472428116,-1.10713539342908,-1.43021326191849,,,-0.92403538176909,-1.23669409439676,0.181712867548685,-0.318265362536232,,-0.142069426765526,-0.780701947771744,,-0.779801193841241,,-0.719820958541841,,,-1.05567812344843,,,0.15819276286688,-0.828200864839461,-1.26565070806923,-1.26565070806893,,0.338454223775456,-0.339871122842034,0.204800000000034,103,957.012235337478,545.172007119095,554.874630224145,953.341000746826,960.68346992813,541.555563853622,548.788450384567,578.258401792382,531.490858655907,0
369.9712,0.810079478290006,-0.945856081064049,-0.0637286446256836,-0.137300266573923,0.893526911259885,0.893526911259321,,-0.230938978647315,-0.298583747631817,0.225499677078119,1.29132995978582,0.225499677081988,0.206824712997008,-1.31123189025834,,,,0.71267045947557,1.19458463556948,0.125588226412538,1.19458463556965,,-0.618817745761839,1.23169453339092,-1.08067676021378,-1.42059621310648,,,-0.921048447005331,-1.22421871285159,0.170231917182022,-0.323543487147892,,-0.137279316854638,-0.776742467575176,,-0.767774756892883,,-0.720093555200757,,,-1.06910730241568,,,0.134174267612224,-0.859785123507273,-1.29634747373796,-1.29634747373767,,0.313258657027884,-0.341698754213303,0.307200000000023,102,959.272886835387,560.620632145632,561.758283383283,951.158760683761,967.387012987013,558.189316239316,563.051948051948,583.057692307692,540.458874458875,0.284313725490196
370.0736,0.795726349841028,-0.932277359743449,-0.0651475337253266,-0.118745595828306,0.891140238855118,0.891140238854557,,-0.224886828573327,-0.2963733555655,0.190503835599972,1.28267851272441,0.190503835603858,0.194884559321968,-1.30957577598009,,,,0.699398156944523,1.19153324657617,0.111467063160288,1.19153324657632,,-0.613702601261734,1.24966562369543,-1.05493846637026,-1.4114195324172,,,-0.918531617729538,-1.21241257280776,0.160002241033992,-0.328363510978126,,-0.133774766087502,-0.773208112408677,,-0.756306871218347,,-0.72017692790763,,,-1.08186805497464,,,0.111050813240597,-0.889956478620532,-1.32627454876031,-1.32627454876002,,0.289032257223355,-0.343411580958472,0.409600000000012,103,962.322913197913,581.667321567322,574.771312021312,949.538034188034,975.107792207792,590.165811965812,573.168831168831,594.884615384615,554.658008658009,0.0388349514563107
370.176,0.781129244270951,-0.918651008736154,-0.0667373159072997,-0.100564188707852,0.88873794634867,0.888737946348113,,-0.219195914264281,-0.29475029598992,0.15607126915699,1.27439542821921,0.156071269160896,0.182404203185413,-1.30847841623855,,,,0.684938187828446,1.18861218504393,0.0979938743149244,1.18861218504408,,-0.607879405445462,1.26551133343283,-1.02994700501517,-1.40266891108385,,,-0.916447974419462,-1.20128508317457,0.151026614495175,-0.332700209368844,,-0.131551324643366,-0.770074530349767,,-0.745413464018608,,-0.720071398132049,,,-1.09396277123233,,,0.0888613717391814,-0.918657807394638,-1.35538606198057,-1.35538606198029,,0.265806699687066,-0.344978376837014,0.512000000000001,102,956.426669055346,586.817104572987,605.817382780618,952.181527568292,960.671810542399,588.633216021451,585.000993124523,627.851809954751,583.782955606485,0
370.2784,0.766318555933299,-0.904976120146882,-0.0684712198077344,-0.0827709753502274,0.886305807736617,0.886305807736064,,-0.213869876199109,-0.293700562472728,0.122238909211406,1.26650733360469,0.122238909215317,0.169455571112526,-1.30790203380464,,,,0.6693709721695,1.18580201069329,0.085157985646405,1.18580201069342,,-0.601360349832072,1.2792881316849,-1.00572600963616,-1.39432870477993,,,-0.914759295688117,-1.19084300898109,0.143303516100209,-0.33653074225347,,-0.130601989568288,-0.767317199247628,,-0.735108022798808,,-0.719776635016572,,,-1.10539671631363,,,0.0676407588602621,-0.945835766590393,-1.38363918480395,-1.38363918480367,,0.243609490967024,-0.346367014726127,0.614399999999989,102,953.111764705882,597.88431372549,651.117647058824,953.41568627451,952.807843137255,589.792156862745,605.976470588235,675.019607843137,627.21568627451,0
370.3808,0.751325916589685,-0.891251328935466,-0.0703210474851039,-0.0653796405519605,0.883830194046997,0.883830194046446,,-0.208910136707222,-0.293206474735843,0.0890417629658162,1.25903913366831,0.0890417629697429,0.156111113533605,-1.3078078953175,,,,0.652779166244351,1.18308365681858,0.0729462223611399,1.1830836568187,,-0.594157590563345,1.29105761321272,-0.982296200253141,-1.38638190038158,,,-0.913426218606476,-1.18109046199694,0.136827389319969,-0.339834579529535,,-0.130917294628954,-0.764911435216873,,-0.725401544458052,,-0.719291650314619,,,-1.11617791841176,,,0.0474196110855999,-0.971441004567254,-1.4109943716639,-1.41099437166361,,0.222464284042713,-0.347544724668938,0.716800000000035,103,951.177184466019,598.430097087379,690.116504854369,949.914563106796,952.439805825243,593.863106796117,602.997087378641,715.330097087379,664.902912621359,0
370.4832,0.736183973331995,-0.877474791949244,-0.0722573479112664,-0.0484026581871214,0.881298121482059,0.881298121481513,,-0.204315830367139,-0.29324668251091,0.056512944166703,1.25201395607059,0.0565129441706385,0.142443438150963,-1.30815640905164,,,,0.635247195409951,1.18043865756137,0.0613429405312767,1.18043865756148,,-0.586283148753247,1.30088597648024,-0.959675358828197,-1.37881010655002,,,-0.912408398910429,-1.17202891224699,0.131588888324207,-0.34259344247641,,-0.132485401744787,-0.762832407359036,,-0.716302514485594,,-0.718614818001015,,,-1.12631705043072,,,0.0282244000721865,-0.995428331137775,-1.43741559201722,-1.43741559201694,,0.202391215551064,-0.348478369515326,0.819200000000024,102,950.259668211963,605.804987399475,719.976554311425,946.972158524427,953.5471778995,603.336457294782,608.273517504168,748.13334995015,691.8197586727,0
370.5856,0.720926197491444,-0.8636441943809,-0.074249585885302,-0.0318513390395937,0.878697290720485,0.878697290719943,,-0.200083753993155,-0.293796176985057,0.0246837255235563,1.24545310496251,0.0246837255275069,0.128524974164412,-1.30890723175862,,,,0.616860818251967,1.17784936811673,0.0503300854161074,1.17784936811682,,-0.57774883458798,1.3088435089806,-0.937878332280249,-1.37159356921996,,,-0.911664674347682,-1.16365721994621,0.12757510997819,-0.344791256525126,,-0.135292191460295,-0.761055160399909,,-0.707816914489651,,-0.717743915946808,,,-1.1358273076083,,,0.0100774864633633,-1.01775684360922,-1.46287054137462,-1.46287054137432,,0.183407247055845,-0.349134737634111,0.921600000000012,103,949.444976154532,604.080777808276,730.898142112125,943.683474576271,955.206477732794,611.082203389831,597.079352226721,756.334745762712,705.461538461539,0.339805825242718
